secs,"watts",start_index,end_index
1,645,2376,2377
2,642,2375,2377
3,640,2376,2379
4,639,2375,2379
5,635,2375,2380
6,630,2375,2381
7,627,2376,2383
8,628,2375,2383
9,626,2375,2384
10,625,2375,2385
11,623,2375,2386
12,621,2375,2387
13,618,2374,2387
14,617,2375,2389
15,615,2374,2389
16,610,2374,2390
17,606,2374,2391
18,601,2374,2392
19,596,2373,2392
20,591,2372,2392
21,586,2372,2393
22,580,2371,2393
23,575,2370,2393
24,570,2368,2392
25,566,2368,2393
26,563,2367,2393
27,559,2366,2393
28,555,2365,2393
29,552,2364,2393
30,548,2364,2394
31,544,2363,2394
32,538,2362,2394
33,533,2361,2394
34,527,2360,2394
35,523,2359,2394
36,517,2358,2394
37,512,2357,2394
38,508,2356,2394
39,502,2355,2394
40,495,2354,2394
41,490,2356,2397
42,486,2356,2398
43,482,2356,2399
44,478,2356,2400
45,475,2356,2401
46,471,2356,2402
47,468,2356,2403
48,464,2356,2404
49,461,2356,2405
50,457,2355,2405
51,453,2355,2406
52,450,2355,2407
53,446,2355,2408
54,443,2354,2408
55,439,2353,2408
56,436,2353,2409
57,432,2351,2408
58,429,2351,2409
59,426,2350,2409
60,423,2349,2409
65,407,2345,2410
70,393,2340,2410
75,381,2335,2410
80,368,2331,2411
85,356,2325,2410
90,347,2321,2411
95,339,2347,2442
100,333,2347,2447
105,328,2349,2454
110,323,2347,2457
115,319,2347,2462
120,314,2337,2457
130,312,4533,4663
140,311,4534,4674
150,309,4525,4675
160,309,9487,9647
170,309,9482,9652
180,308,9786,9966
190,308,9784,9974
200,307,9786,9986
210,307,9784,9994
220,306,9743,9963
230,306,9739,9969
240,306,9480,9720
250,306,9707,9957
260,306,9705,9965
270,306,9696,9966
280,306,9694,9974
290,306,9675,9965
300,306,9673,9973
330,305,9664,9994
360,306,9596,9956
390,306,9595,9985
420,305,9542,9962
450,305,9486,9936
480,306,9486,9966
510,305,9475,9985
540,305,9562,10102
570,305,9532,10102
600,304,9506,10106
660,297,6230,6890
720,297,6181,6901
780,297,4542,5322
840,296,4490,5330
900,296,6200,7100
960,296,6181,7141
1020,295,4271,5291
1080,295,4252,5332
1140,294,4143,5283
1200,295,4135,5335
1260,283,0,5345
1320,272,0,5427
1380,261,4027,5330
1440,258,3973,5336
1500,255,3813,5236
1560,257,3821,5304
1620,258,3790,5333
1680,257,3733,5336
1740,255,3666,5329
1800,254,3612,5335
1860,251,3553,5336
1920,250,3493,5336
1980,246,3424,5327
2040,245,3373,5336
2100,242,3306,5329
2160,241,3250,5333
2220,239,3192,5335
2280,237,3133,5336
2340,238,3073,5336
2400,237,3013,5336
2460,236,2954,5337
2520,235,2892,5335
2580,234,2830,5333
2640,232,2774,5337
2700,231,2712,5335
2760,231,6164,8924
2820,232,4280,7100
2880,234,4261,7141
2940,235,4160,7100
3000,236,4139,7139
3060,233,0,7159
3120,230,0,7222
3180,229,2232,5335
3240,227,2173,5336
3300,227,2112,5335
3360,227,2050,5333
3420,227,1993,5336
3480,226,1933,5336
3540,226,1873,5336
3600,225,3621,7144
3900,221,3307,7130
4200,220,3018,7141
4500,218,2720,7143
4800,221,4131,8931
5100,216,2120,7143
5400,216,3608,8931
5700,214,3301,8924
6000,213,3008,8931
6300,212,2708,8931
6600,212,2356,8879
6900,211,2108,8931
7200,211,1823,8946
7500,208,1540,8946
7800,204,1271,8931
8100,202,1022,8946
8400,199,5934,13957
8700,197,4285,12608
9000,199,4139,12762
9300,200,4137,13060
9600,201,4130,13353
9900,200,4123,13646
10200,199,4122,13945
10500,199,3585,13631
10800,198,3007,13353
11100,198,2998,13644
11400,199,2355,13301
11700,199,2327,13573
12000,199,1862,13408
12300,198,1830,13676
12600,198,1756,13902
12900,196,1546,13975
13200,195,1829,14568
13500,194,1580,14602
13800,192,1267,14543
14100,191,1027,14567
14400,190,830,14634
14700,188,569,14634
15000,187,253,14590
15300,185,6,14634
