alpha,cl,cd,cdp,cm,top_xtr,bot_xtr,top_itr,bot_itr,cl_cd
-4.0,0.4289,0.01505,0.00611,-0.1945,0.7667,0.0597,17.2208,102.4924,28.498338870431894
-3.5,0.4818,0.01451,0.00568,-0.1942,0.7616,0.0662,17.5245,103.2001,33.204686423156446
-3.0,0.5388,0.01413,0.00531,-0.1945,0.7575,0.0736,17.7686,103.9191,38.131634819532906
-2.5,0.5987,0.01366,0.00484,-0.1956,0.7536,0.0835,18.0001,104.7725,43.82869692532943
-2.0,0.6473,0.01332,0.00471,-0.1944,0.7473,0.0956,18.3846,105.7014,48.5960960960961
-1.5,0.7031,0.01294,0.00441,-0.1945,0.7422,0.1161,18.69,107.1006,54.33539412673879
-1.0,0.7636,0.01253,0.0041,-0.1957,0.7382,0.1599,18.9333,109.6942,60.94173982442139
-0.5,0.8133,0.01228,0.00408,-0.1948,0.7315,0.2357,19.3515,113.8537,66.22964169381108
0.0,0.8676,0.01159,0.00395,-0.195,0.7255,0.4502,19.7242,125.5975,74.85763589301122
0.5,0.919,0.01098,0.004,-0.1938,0.7208,0.7836,20.0144,143.87,83.6976320582878
1.0,0.9599,0.01095,0.00404,-0.1905,0.7127,0.8444,20.5331,147.4572,87.662100456621
1.5,1.0114,0.01065,0.00367,-0.1891,0.7064,0.8969,20.9304,150.7394,94.96713615023475
2.0,1.0637,0.01048,0.00353,-0.1884,0.6979,0.9664,21.4699,155.9318,101.49809160305345
2.5,1.1271,0.01041,0.00323,-0.1902,0.6909,1.0,21.9167,160.0,108.27089337175792
3.0,1.1774,0.01052,0.00313,-0.1894,0.681,1.0,22.5491,160.0,111.92015209125475
3.5,1.2324,0.01053,0.00286,-0.1895,0.6714,1.0,23.1659,160.0,117.03703703703704
4.0,1.283,0.01059,0.00263,-0.1887,0.6598,1.0,23.9103,160.0,121.15203021718601
4.5,1.3282,0.01076,0.00249,-0.1868,0.6467,1.0,24.7501,160.0,123.43866171003718
5.0,1.3723,0.01097,0.00232,-0.1848,0.632,1.0,25.6883,160.0,125.09571558796718
5.5,1.4124,0.01123,0.00209,-0.1819,0.6141,1.0,26.8194,160.0,125.77025823686554
6.0,1.4435,0.0116,0.00186,-0.1773,0.5938,1.0,28.1106,160.0,124.43965517241381
6.5,1.47,0.01214,0.00173,-0.172,0.5724,1.0,29.4609,160.0,121.08731466227347
7.0,1.4945,0.01291,0.00165,-0.1666,0.5492,1.0,30.9079,160.0,115.76297443841983
7.5,1.5156,0.01392,0.00174,-0.1611,0.5249,1.0,32.4115,160.0,108.87931034482759
8.0,1.538,0.01514,0.00198,-0.1562,0.5028,1.0,33.7673,160.0,101.58520475561427
8.5,1.5603,0.01658,0.00235,-0.1518,0.4813,1.0,35.082,160.0,94.10735826296742
9.0,1.5825,0.01821,0.0029,-0.1478,0.4592,1.0,36.4335,160.0,86.90280065897858
9.5,1.6014,0.02018,0.00361,-0.1436,0.436,1.0,37.8472,160.0,79.35579781962339
10.0,1.6189,0.02239,0.00452,-0.1396,0.4107,1.0,39.3907,160.0,72.30460026797678
10.5,1.6349,0.02481,0.00556,-0.1357,0.3871,1.0,40.8417,160.0,65.89681580008062
11.0,1.651,0.02734,0.00673,-0.1321,0.3638,1.0,42.2704,160.0,60.387710314557424
11.5,1.6612,0.03042,0.00824,-0.1281,0.337,1.0,43.9288,160.0,54.60880999342538
12.0,1.6727,0.03359,0.00988,-0.1245,0.3103,1.0,45.5977,160.0,49.79755879726109
12.5,1.6803,0.03719,0.01184,-0.1209,0.2827,1.0,47.3339,160.0,45.181500403334226
13.0,1.6847,0.04123,0.01414,-0.1173,0.2554,1.0,49.0885,160.0,40.861023526558334
13.5,1.6888,0.04542,0.01662,-0.114,0.2285,1.0,50.8359,160.0,37.1818582122413
14.0,1.6915,0.04991,0.01938,-0.1108,0.2035,1.0,52.501,160.0,33.89100380685233
