"PointID","x","y","z","Pressure","Velocity_x","Velocity_y","Velocity_z"
0, 6.662683482584081e-01, -1.649999999790510e+01, 7.789776354620981e-01, 9.341216505167538e-02, 1.128760575770072e-02, 1.556961612942239e-02, -1.619465226247625e-01
1, 9.470832854277548e-01, -1.349999999828599e+01, 5.014345635193360e-01, -1.010453637098596e-01, 4.023956968656912e-01, -1.528599027794045e-02, -3.738072960745208e-01
2, 6.496916780335128e-01, -1.649999999790510e+01, 7.790187476790927e-01, 6.053703727449755e-01, 3.775194172379225e-01, -1.965754213096951e-01, 1.334484337249804e-02
3, 9.331110579345286e-01, -1.349999999828599e+01, 5.050674922348748e-01, 5.569443971412194e-04, 5.668888384120024e-01, 7.755320301911617e-03, -4.649165850947745e-02
4, 1.096138161280830e+00, -1.049999999866688e+01, 2.835546013389988e-01, -1.376593060390592e-01, -4.349961705712393e-03, 1.650005326303946e-02, -9.470406128644848e-02
5, 1.086250535362086e+00, -1.049999999866688e+01, 2.858536304177069e-01, 4.264376717187199e-01, 1.651209878211609e-01, 2.541379191968397e-02, -1.957391826983605e-02
6, 1.182983412589804e+00, -7.499999999047772e+00, 1.215641319295658e-01, -5.160104156856141e-02, -3.371358599416912e-03, 1.510561501400238e-01, -1.774664761470888e-01
7, 1.171812296761222e+00, -7.499999999047772e+00, 1.241615926672360e-01, 4.258194020330411e-01, 3.408539465162072e-01, -7.808883360226040e-02, -3.286169864542553e-02
8, 1.302329268834651e+00, -4.499999999428663e+00, 1.040340204057915e-02, -1.386391608190110e-01, -3.711856157812861e-03, 6.060622431757218e-02, -9.449670973525470e-02
9, 1.289969736426221e+00, -4.499999999428663e+00, 1.327718838871428e-02, 1.699554292967927e-01, 3.322414372244136e-01, -1.192306276065841e-02, -3.713165156472978e-02
10, 1.298218395015173e+00, 0.000000000000000e+00, -6.803674310716180e-02, -1.939259440804069e-01, -3.175496540490649e-03, 2.933945879954383e-02, -6.059208361409810e-02
11, 1.285858862606743e+00, 0.000000000000000e+00, -6.516295675902666e-02, 2.416502753246068e-01, 4.067052068033294e-01, 4.792758642217040e-02, -4.445738835736677e-02
12, 1.302329268834651e+00, 4.499999999428663e+00, 1.040340204057915e-02, -1.531637380694400e-01, -6.022229813507323e-03, -3.470349612597014e-02, -1.284647351245049e-01
13, 1.289969736426221e+00, 4.499999999428663e+00, 1.327718838871428e-02, 4.296683856598952e-01, 1.638381999528061e-01, -3.458821601747160e-02, -2.140737881311438e-02
14, 1.182983412589804e+00, 7.499999999047772e+00, 1.215641319295658e-01, -1.963424905261605e-01, -6.250740624527479e-03, -1.264777331062996e-02, -1.287440880027028e-01
15, 1.171812296761222e+00, 7.499999999047772e+00, 1.241615926672360e-01, 2.354690668129704e-01, 3.262266700348042e-01, -1.098950318903065e-01, -4.075814839982283e-02
16, 1.096138161280830e+00, 1.049999999866688e+01, 2.835546013389988e-01, 8.654184263883463e-02, -1.534908717443371e-02, 2.870477399581789e-02, -2.725205880775713e-01
17, 1.086250535362086e+00, 1.049999999866688e+01, 2.858536304177069e-01, 4.447724653753923e-01, 1.762037608997521e-01, 4.297007184890406e-03, -1.955479147099270e-02
18, 9.470832854277548e-01, 1.349999999828599e+01, 5.014345635193360e-01, -8.164584350915141e-02, 4.444824995316647e-01, -7.952866076399542e-02, -4.149181097710527e-01
19, 9.331110579345286e-01, 1.349999999828599e+01, 5.050674922348748e-01, 1.091019205239164e-01, 5.954738552007376e-01, -4.449339514311861e-02, -5.587398587427559e-02
20, 6.662683482584081e-01, 1.649999999790510e+01, 7.789776354620981e-01, -5.534783899839552e-02, 1.195810452486991e-02, -4.178904011542742e-02, -1.313548495657187e-01
21, 6.496916780335128e-01, 1.649999999790510e+01, 7.790187476790927e-01, 3.875985771771127e-01, 3.731270123788158e-01, 1.377086222820304e-01, 6.844450164915492e-03
22, 6.499562206024792e-01, -1.649999999790510e+01, 7.840665205914520e-01, 1.655842543175264e-01, 7.617796729723209e-01, -3.444006334310188e-03, -9.616250446214276e-02
23, 9.255791865254850e-01, -1.349999999828599e+01, 5.118536804500131e-01, -1.215436881597674e-01, 4.650772318199342e-01, -4.107033767627994e-02, -1.748332254756815e-01
24, 1.086434506722062e+00, -1.049999999866688e+01, 2.893640130882613e-01, -2.428381164831658e-02, 1.472903135757786e-01, -1.071545192998186e-03, -5.836656417630695e-02
25, 1.172020149021196e+00, -7.499999999047772e+00, 1.281276500107324e-01, 2.666051673580786e-01, 1.668317176299983e-01, 6.576886597376834e-02, -6.809921103033520e-02
26, 1.290199700626191e+00, -4.499999999428663e+00, 1.766516672695716e-02, 8.411386647295077e-02, 1.196945780005132e-01, -4.963232455605027e-02, -4.671682625395312e-02
27, 1.286088826806713e+00, 0.000000000000000e+00, -6.077497842078378e-02, 1.445787345147745e-02, 1.381027972887204e-01, -4.241429336726519e-02, -5.467564411308828e-02
28, 1.290199700626191e+00, 4.499999999428663e+00, 1.766516672695716e-02, 1.357624364159002e-01, 2.345018152070041e-01, -5.065092087368409e-02, -9.419192904575277e-02
29, 1.172020149021196e+00, 7.499999999047772e+00, 1.281276500107324e-01, 2.305375543237298e-01, 1.091226062622878e-01, -1.536087790598034e-02, -4.373429595839474e-02
30, 1.086434506722062e+00, 1.049999999866688e+01, 2.893640130882613e-01, -4.979055713399067e-02, 2.809516837451607e-01, 9.244538395257344e-02, -1.069109138644964e-01
31, 9.255791865254850e-01, 1.349999999828599e+01, 5.118536804500131e-01, -1.136398427395946e-01, 5.448148887906528e-01, -1.104542707043622e-01, -2.117302650993330e-01
32, 6.499562206024792e-01, 1.649999999790510e+01, 7.840665205914520e-01, 1.575214813642788e-01, 2.857689776661778e-01, 1.635242231606880e-01, -4.160634406310298e-02
41, 6.974700079438150e-01, -1.616666666461408e+01, 7.481395163573462e-01, 4.352080107995485e-02, 5.662341215042709e-02, -3.997040332191646e-02, -3.559484598108845e-01
42, 7.286716676292787e-01, -1.583333333132306e+01, 7.173013972525946e-01, 2.357638492287817e-02, 6.469683199728216e-02, 2.257094906750323e-02, -1.979695575850149e-01
43, 7.598733273147835e-01, -1.549999999803206e+01, 6.864632781478435e-01, -4.961801827589587e-02, 1.412788389886942e-01, 1.037360831761118e-01, -2.950811325671690e-01
44, 7.910749870003126e-01, -1.516666666474105e+01, 6.556251590430926e-01, -3.162860962728561e-02, 1.918328482061165e-01, 1.163410496713038e-01, -3.159254118976566e-01
45, 8.222766466858498e-01, -1.483333333145004e+01, 6.247870399383418e-01, -8.910810256785089e-02, 2.213541451706278e-01, 1.197421521469271e-01, -3.043223160631873e-01
46, 8.534783063713792e-01, -1.449999999815904e+01, 5.939489208335909e-01, 2.097095957799838e-02, 2.881098909774970e-01, 1.191591032797854e-01, -3.436295794996219e-01
47, 8.846799660568838e-01, -1.416666666486803e+01, 5.631108017288396e-01, -6.180506472414792e-02, 2.206346385112181e-01, 9.150661783932104e-02, -2.336366124389918e-01
48, 9.158816257423479e-01, -1.383333333157701e+01, 5.322726826240880e-01, -7.476210300259360e-02, 2.856496300974100e-01, 3.696510498790628e-02, -2.735596525799924e-01
49, 6.579800131459598e-01, -1.649999999790510e+01, 7.789981915703448e-01, 8.244988882015526e-01, 3.092510682275859e-01, -1.635452931615196e-01, 1.536764880108546e-02
50, 6.811827202448122e-01, -1.616666666461410e+01, 7.485797192963265e-01, 6.037567345657459e-01, 3.956463265590363e-01, 1.097893196153605e-02, -4.862038220864373e-02
51, 7.126737624560551e-01, -1.583333333132309e+01, 7.181406909136167e-01, 2.447599189674403e-01, 4.169600100769381e-01, 2.771229132191964e-02, -7.889287620088745e-02
52, 7.441648046672575e-01, -1.549999999803207e+01, 6.877016625309473e-01, 4.202769585950758e-01, 3.800415400524083e-01, -7.364267406300665e-02, -3.104474461544673e-02
53, 7.756558468784356e-01, -1.516666666474105e+01, 6.572626341483022e-01, 2.964874205750762e-01, 3.192765736581843e-01, 1.344019716365176e-01, -5.998783311781735e-02
54, 8.071468890896059e-01, -1.483333333145003e+01, 6.268236057656653e-01, 2.328981656371443e-01, 3.104230121242263e-01, 7.677396956646935e-02, -5.681510399313455e-02
55, 8.386379313007839e-01, -1.449999999815901e+01, 5.963845773830203e-01, 4.147501410847064e-01, 3.592628357030065e-01, 7.807245940288844e-02, -5.672701931550099e-02
56, 8.701289735119864e-01, -1.416666666486800e+01, 5.659455490003510e-01, 1.406467583130056e-01, 3.300106945696994e-01, 1.365320565237509e-01, -6.865381004299530e-02
57, 9.016200157232291e-01, -1.383333333157699e+01, 5.355065206176411e-01, -2.890488403456334e-02, 3.645646864069664e-01, 4.718789887966424e-02, -4.307634367236431e-02
58, 9.400971716811576e-01, -1.349999999828599e+01, 5.032510278771661e-01, -1.643314035334701e-02, 5.509994005599147e-01, -1.322046241949231e-03, -1.431811481368252e-01
59, 9.636449383003191e-01, -1.316666666499497e+01, 4.772256788327083e-01, -6.618518059685194e-02, 4.147417375006139e-01, -3.888765202913090e-02, -4.081354736784084e-01
60, 9.802065911728830e-01, -1.283333333170396e+01, 4.530167941460233e-01, -4.974713254198974e-02, 3.666554200227818e-01, -2.324829373072287e-02, -3.930942095086309e-01
61, 9.967682440454468e-01, -1.249999999841295e+01, 4.288079094592974e-01, -9.289920836584026e-02, 2.450185869582280e-01, -6.906732340927101e-02, -2.912529655722798e-01
62, 1.013329896918011e+00, -1.216666666512194e+01, 4.045990247725468e-01, -9.190813842020581e-02, 1.984275784938188e-01, -1.059332263147429e-01, -2.703745270221556e-01
63, 1.029891549790574e+00, -1.183333333183093e+01, 3.803901400857882e-01, 3.462957575687539e-02, 1.634892753526254e-01, -1.053421321151739e-01, -2.686718972358340e-01
64, 1.046453202663138e+00, -1.149999999853992e+01, 3.561812553990377e-01, -6.789857402076133e-02, 1.462403257645554e-01, -5.681603487328322e-02, -3.136950198024067e-01
65, 1.063014855535702e+00, -1.116666666524891e+01, 3.319723707123117e-01, -8.123943710945802e-02, 7.539508931970655e-02, -3.590744697152075e-02, -2.527225065699772e-01
66, 1.079576508408266e+00, -1.083333333195790e+01, 3.077634860256266e-01, -1.334765359372081e-01, 5.201664568935162e-03, -2.932384563887086e-02, -6.258083356055287e-02
67, 9.501265554264026e-01, -1.316666666499498e+01, 4.807103964773349e-01, -1.024288618403217e-01, 6.310280154496020e-01, 4.639191865839118e-03, -7.419608835147466e-02
68, 9.671420529183341e-01, -1.283333333170397e+01, 4.563533007198526e-01, 9.915621292679489e-04, 5.169224858913872e-01, -8.570877164711263e-03, -1.144631592373834e-01
69, 9.841575504103068e-01, -1.249999999841295e+01, 4.319962049624114e-01, -2.817691559467165e-02, 3.972810184030021e-01, -7.046090962615065e-02, -5.593912755209110e-02
70, 1.001173047902304e+00, -1.216666666512194e+01, 4.076391092049948e-01, -3.596193354019482e-02, 3.298778702676510e-01, -8.175467188644703e-02, -3.199724783168102e-02
71, 1.018188545394310e+00, -1.183333333183093e+01, 3.832820134475865e-01, 2.831942100672015e-01, 3.146352286188846e-01, -4.177587351057953e-03, -3.797319694427622e-02
72, 1.035204042886307e+00, -1.149999999853992e+01, 3.589249176901700e-01, 9.448818714175551e-02, 2.923260780142265e-01, -8.567112884045906e-02, -2.350175521093912e-02
73, 1.052219540378280e+00, -1.116666666524890e+01, 3.345678219327289e-01, 1.266414897873144e-01, 2.778836116205723e-01, -2.958681908617145e-02, -3.022966409493904e-02
74, 1.069235037870212e+00, -1.083333333195789e+01, 3.102107261752466e-01, 4.817830654824281e-01, 1.473008248485638e-01, -1.844094989522405e-02, -1.611010735120215e-02
75, 1.091194348321403e+00, -1.049999999866688e+01, 2.847041158781157e-01, 3.068397827781029e-01, 2.154403249552150e-01, 1.979186002751081e-02, -5.116540058725452e-02
76, 1.105787633648571e+00, -1.016666666537587e+01, 2.655556602935830e-01, -2.302738111938079e-01, -2.676655228287559e-03, 4.679900003943752e-02, -7.945092454316274e-02
77, 1.115437106016254e+00, -9.833333332084855e+00, 2.475567192481097e-01, -1.722146923792260e-01, -5.535667027373351e-03, 7.470128467882849e-02, -1.509231027575553e-01
78, 1.125086578383895e+00, -9.499999998793843e+00, 2.295577782025952e-01, -1.547803195782478e-01, -7.668445262081567e-03, -2.009932346571780e-02, -1.341351149219764e-01
79, 1.134736050751513e+00, -9.166666665502833e+00, 2.115588371570560e-01, -2.039977759612612e-01, 3.191700696264020e-04, -2.148257778084124e-02, 1.911642223699002e-02
80, 1.144385523119122e+00, -8.833333332211822e+00, 1.935598961115086e-01, -1.817252348624917e-01, 1.752893110480553e-04, 4.882471923128266e-02, -2.626090715779800e-02
81, 1.154034995486739e+00, -8.499999998920810e+00, 1.755609550659695e-01, -2.092445465047340e-01, -5.356182170492247e-03, -5.445901000056051e-02, -6.917997732263137e-02
82, 1.163684467854381e+00, -8.166666665629798e+00, 1.575620140204550e-01, -1.842762271047071e-01, -3.897086456314608e-03, -1.075402428267132e-01, -9.152143235956967e-03
83, 1.173333940222063e+00, -7.833333332338787e+00, 1.395630729749817e-01, -2.125465156962627e-01, -4.955133764968736e-03, -5.398232939531653e-02, -6.181656046710882e-02
84, 1.095757397739844e+00, -1.016666666537587e+01, 2.678878484453559e-01, 3.741461692323207e-01, 1.341375691996517e-01, 1.064812325559841e-01, -2.504277212231100e-02
85, 1.105264260117545e+00, -9.833333332084864e+00, 2.499220664730623e-01, 4.444552815790455e-01, 1.723639328241896e-01, 1.685219445858358e-02, -2.614582760326361e-02
86, 1.114771122495205e+00, -9.499999998793850e+00, 2.319562845008095e-01, 6.504100691833223e-02, 1.183974309062768e-01, 1.863498887460224e-02, -1.905116794275771e-02
87, 1.124277984872840e+00, -9.166666665502834e+00, 2.139905025285814e-01, 5.652729137190802e-01, 3.514171718515627e-01, -3.316701596525504e-02, -4.788034345568028e-02
88, 1.133784847250467e+00, -8.833333332211819e+00, 1.960247205563615e-01, 4.603897307361084e-01, 3.895322084224815e-01, 2.882388664538705e-02, -5.215957496920710e-02
89, 1.143291709628103e+00, -8.499999998920803e+00, 1.780589385841334e-01, 4.649743840578766e-01, 2.666635843022277e-01, -9.166317307433938e-02, -2.601919076659777e-02
90, 1.152798572005763e+00, -8.166666665629789e+00, 1.600931566118807e-01, 4.993412616185329e-01, 4.009126440637850e-01, -4.925103165121061e-02, -4.657423622475600e-02
91, 1.162305434383464e+00, -7.833333332338777e+00, 1.421273746395870e-01, 4.889607967086971e-01, 2.952691153292936e-01, -3.380278476450208e-02, -3.824400081474549e-02
92, 1.177397854675513e+00, -7.499999999047772e+00, 1.228628622984008e-01, 4.922441967972373e-01, 3.013730197036944e-01, -5.893054911038296e-02, -6.786203993214138e-02
93, 1.196244063283753e+00, -7.166666665756764e+00, 1.092129397196777e-01, -2.371542876386150e-01, -1.817535139650951e-03, 6.141238962943319e-02, -8.357340003327317e-02
94, 1.209504713977644e+00, -6.833333332465752e+00, 9.686174750979015e-02, -1.002790097756854e-01, -4.987615581934249e-03, 1.254889152806103e-01, -1.950759230174472e-01
95, 1.222765364671494e+00, -6.499999999174740e+00, 8.451055529990294e-02, -1.677615306077762e-01, -5.968262404929588e-03, 3.787281933216566e-02, -1.440332373933121e-01
96, 1.236026015365319e+00, -6.166666665883726e+00, 7.215936309001597e-02, -2.074397899954164e-01, -2.454171424130162e-04, 4.222236322639628e-02, -3.829768436389749e-02
97, 1.249286666059136e+00, -5.833333332592711e+00, 5.980817088012902e-02, -2.446749058871123e-01, -7.644030510705593e-03, 8.627820402189497e-03, -1.527257299802452e-01
98, 1.262547316752962e+00, -5.499999999301697e+00, 4.745697867024203e-02, -1.323298537956120e-01, -1.215750341789825e-02, -3.002295404402513e-02, -2.080765560894860e-01
