candidate_id,source,speed_mps,span_m,nearest_0p1m_span_m,nearest_0p05m_span_m,span_delta_to_baseline_m,aspect_ratio,wing_area_m2,mean_chord_m,mass_kg,cd0_total,oswald_e,clmax_effective,cl_required,cl_to_clmax_ratio,cl_band,stall_band,cd_induced,required_crank_power_w,power_margin_crank_w,power_delta_vs_baseline_w,power_delta_vs_baseline_pct,power_improvement_vs_baseline_pct,existing_artifact_power_w,existing_artifact_power_basis,manufacturable_read,reopen_trigger_read
baseline_A_release_total_fast_screen,Baseline A exact geometry + suspect P1 screening aggregate mass + tail CD0 charge,6.600,34.332286,34.3,34.35,0.000000,35.269412,33.420060,0.973429,106.828608,0.015610731,0.9564,1.650,1.267300,0.768061,normal,healthy,0.015155539,203.318928,-9.140404,0.000000,0.000000,-0.000000,174.600279,candidate_summary pre-tail main-wing P_crank,exact pathfinder screen using suspect aggregate; 0.30 m rib basis and 3 m structural panels already documented,baseline_reference_watch_fast_screen_power_margin_negative
baseline_A_pre_tail_reference,"Baseline A exact geometry + suspect P1 screening aggregate mass without tail CD0 increment, for decomposition only",6.600,34.332286,34.3,34.35,0.000000,35.269412,33.420060,0.973429,106.828608,0.013258731,0.9564,1.650,1.267300,0.768061,normal,healthy,0.015155539,187.775733,6.402791,-15.543195,-7.644736,7.644736,178.881840,candidate_summary conservative pre-tail P_crank,not a release candidate by itself; isolates tail drag/power charge,decomposition_only_not_candidate
baseline_A_span_rounded_0p1m,"Baseline A rounded to nearest 0.1 m span grid, same AR/CD0/suspect P1 screening aggregate mass",6.600,34.300000,34.3,34.30,-0.032286,35.269412,33.357233,0.972514,106.828608,0.015610731,0.9564,1.650,1.269687,0.769507,normal,healthy,0.015212682,203.313628,-9.135104,-0.005300,-0.002607,0.002607,,quick-screen only,span rounding delta is small; not evidence of external-shape reopen,below_power_reopen_trigger
seed_near_34p3_AR37_CD0p016,"current mission seed neighborhood at rounded Baseline span, AR 37, CD0 0.016, e 0.95",6.600,34.300000,34.3,34.30,-0.032286,37.000000,31.797027,0.927027,106.828608,0.016000000,0.9500,1.650,1.331988,0.807265,normal,caution,0.016066647,201.621026,-7.442502,-1.697902,-0.835093,0.835093,,WO-003 quick-screen using suspect P1 screening aggregate mass; source seed pool uses 96-101 kg,near span but higher AR than Baseline A; would need new geometry/structure trace,below_power_reopen_trigger
seed_near_34p3_AR38_CD0p016,"current mission seed neighborhood at rounded Baseline span, AR 38, CD0 0.016, e 0.95",6.600,34.300000,34.3,34.30,-0.032286,38.000000,30.960263,0.902632,106.828608,0.016000000,0.9500,1.650,1.367987,0.829083,high_but_possible,caution,0.016500881,198.973631,-4.795108,-4.345297,-2.137183,2.137183,,WO-003 quick-screen using suspect P1 screening aggregate mass; source seed pool uses 96-101 kg,higher AR and smaller mean chord; not yet realized through AVL/loaded-Z/torsion chain,below_power_reopen_trigger
seed_primary_6p6_span35_AR39_CD0p016,"candidate_seed_pool exploration-primary family, re-evaluated at suspect P1 screening aggregate mass/e=0.95",6.600,35.000000,35.0,35.00,0.667714,39.000000,31.410256,0.897436,106.828608,0.016000000,0.9500,1.650,1.348389,0.817206,normal,caution,0.015620410,196.396949,-2.218425,-6.921979,-3.404493,3.404493,,WO-003 quick-screen using suspect P1 screening aggregate mass; source seed pool row median margin is at 96-101 kg,"promising Stage-0 seed, but no current smooth geometry/CG/torsion/3 m splice release chain",below_power_reopen_trigger
seed_best_power_6p6_span35_AR40_CD0p016,"best nearby fast-model power check inside current Stage-0 bounds, re-evaluated at suspect P1 screening aggregate mass/e=0.95",6.600,35.000000,35.0,35.00,0.667714,40.000000,30.625000,0.875000,106.828608,0.016000000,0.9500,1.650,1.382963,0.838160,high_but_possible,caution,0.016020934,193.912516,0.266008,-9.406412,-4.626432,4.626432,,WO-003 quick-screen using suspect P1 screening aggregate mass; source seed pool uses 96-101 kg,"largest quick-screen power improvement found, but CL band is high_but_possible and requires upstream reselection",below_power_reopen_trigger
seed_primary_6p7_span35_AR40_CD0p016,"candidate_seed_pool exploration-primary speed-shift row, re-evaluated at suspect P1 screening aggregate mass/e=0.95",6.700,35.000000,35.0,35.00,0.667714,40.000000,30.625000,0.875000,106.828608,0.016000000,0.9500,1.650,1.341989,0.813327,normal,caution,0.015085661,196.935751,-2.750392,-6.383177,-3.139490,3.139490,,WO-003 quick-screen using suspect P1 screening aggregate mass; source seed pool row is pre-gate only,speed-shift seed; not a direct same-speed dominance claim,below_power_reopen_trigger
seed_primary_6p5_span35_AR38_CD0p016,"candidate_seed_pool exploration-primary lower-speed row, re-evaluated at suspect P1 screening aggregate mass/e=0.95",6.500,35.000000,35.0,35.00,0.667714,38.000000,32.236842,0.921053,106.828608,0.016000000,0.9500,1.650,1.354551,0.820940,high_but_possible,caution,0.016178332,195.938616,-1.760092,-7.380312,-3.629919,3.629919,,WO-003 quick-screen using suspect P1 screening aggregate mass; source seed pool row is pre-gate only,lower-speed seed; no evidence it carries current tail/closure/manufacturing assumptions,below_power_reopen_trigger
seed_best_power_6p6_span35_AR40_CD0p016_e090_sensitivity,same AR40 seed with e=0.90 sensitivity,6.600,35.000000,35.0,35.00,0.667714,40.000000,30.625000,0.875000,106.828608,0.016000000,0.9000,1.650,1.382963,0.838160,high_but_possible,caution,0.016910986,199.302496,-5.123972,-4.016432,-1.975434,1.975434,,WO-003 quick-screen using suspect P1 screening aggregate mass,shows the apparent AR40 advantage depends strongly on keeping high e,below_power_reopen_trigger
