rib_id,y_m,rib_type,mandatory_reason,material_family,bond_risk_status,risk_reasons,local_fem_required,data_needed
R000,-17.324041,mandatory_contract_rib,tip_boundary,balsa_sheet_3mm,needs_data_torque_or_mandatory_zone,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing;mandatory_station_load_path,true,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R001,-17.026978,materialized_spacing_rib,,balsa_sheet_3mm,needs_data,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing,false,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R002,-16.729916,materialized_spacing_rib,,balsa_sheet_3mm,needs_data,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing,false,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R003,-16.432853,materialized_spacing_rib,,balsa_sheet_3mm,needs_data,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing,false,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R004,-16.13579,materialized_spacing_rib,,balsa_sheet_3mm,needs_data,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing,false,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R005,-15.838728,materialized_spacing_rib,,balsa_sheet_3mm,needs_data,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing,false,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R006,-15.541665,materialized_spacing_rib,,balsa_sheet_3mm,needs_data,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing,false,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R007,-15.244603,materialized_spacing_rib,,balsa_sheet_3mm,needs_data,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing,false,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R008,-14.94754,materialized_spacing_rib,,balsa_sheet_3mm,needs_data,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing,false,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R009,-14.650478,materialized_spacing_rib,,balsa_sheet_3mm,needs_data,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing,false,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R010,-14.353415,materialized_spacing_rib,,balsa_sheet_3mm,needs_data,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing,false,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R011,-14.056352,materialized_spacing_rib,,balsa_sheet_3mm,needs_data,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing,false,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R012,-13.75929,materialized_spacing_rib,,balsa_sheet_3mm,needs_data,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing,false,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R013,-13.462227,mandatory_contract_rib,spar_joint,balsa_sheet_3mm,needs_data_torque_or_mandatory_zone,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing;mandatory_station_load_path,true,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R014,-13.166917,materialized_spacing_rib,,balsa_sheet_3mm,needs_data,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing,false,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
