bay_id,start_rib_id,end_rib_id,y_start_m,y_end_m,y_mid_m,bay_length_m,target_spacing_m,chord_mid_m,bay_length_over_chord,materialized_physical_ribs,spacing_status,shape_sag_status,bond_risk_status,local_fem_required,fem_trigger_reasons,torque_critical_zone
B000,R000,R001,-17.324041,-17.026978,-17.17551,0.297063,0.3,0.645004,0.46056,true,target_spacing_materialized,unknown_requires_test,needs_data_torque_or_mandatory_zone,true,mandatory_rib_boundary_load_transfer,false
B001,R001,R002,-17.026978,-16.729916,-16.878447,0.297062,0.3,0.660588,0.449694,true,target_spacing_materialized,unknown_requires_test,needs_data,false,,false
B002,R002,R003,-16.729916,-16.432853,-16.581384,0.297063,0.3,0.676678,0.439002,true,target_spacing_materialized,unknown_requires_test,needs_data,false,,false
B003,R003,R004,-16.432853,-16.13579,-16.284322,0.297063,0.3,0.692534,0.428951,true,target_spacing_materialized,unknown_requires_test,needs_data,false,,false
B004,R004,R005,-16.13579,-15.838728,-15.987259,0.297062,0.3,0.705654,0.420974,true,target_spacing_materialized,unknown_requires_test,needs_data,false,,false
B005,R005,R006,-15.838728,-15.541665,-15.690196,0.297063,0.3,0.718773,0.413292,true,target_spacing_materialized,unknown_requires_test,needs_data,false,,false
B006,R006,R007,-15.541665,-15.244603,-15.393134,0.297062,0.3,0.731683,0.405998,true,target_spacing_materialized,unknown_requires_test,needs_data,false,,false
B007,R007,R008,-15.244603,-14.94754,-15.096072,0.297063,0.3,0.743697,0.399441,true,target_spacing_materialized,unknown_requires_test,needs_data,false,,false
B008,R008,R009,-14.94754,-14.650478,-14.799009,0.297062,0.3,0.755711,0.393089,true,target_spacing_materialized,unknown_requires_test,needs_data,false,,false
B009,R009,R010,-14.650478,-14.353415,-14.501946,0.297063,0.3,0.767725,0.386939,true,target_spacing_materialized,unknown_requires_test,needs_data,false,,false
B010,R010,R011,-14.353415,-14.056352,-14.204884,0.297063,0.3,0.779739,0.380978,true,target_spacing_materialized,unknown_requires_test,needs_data,false,,false
B011,R011,R012,-14.056352,-13.75929,-13.907821,0.297062,0.3,0.791255,0.375432,true,target_spacing_materialized,unknown_requires_test,needs_data,false,,false
B012,R012,R013,-13.75929,-13.462227,-13.610758,0.297063,0.3,0.802391,0.370222,true,target_spacing_materialized,unknown_requires_test,needs_data_torque_or_mandatory_zone,true,mandatory_rib_boundary_load_transfer,false
B013,R013,R014,-13.462227,-13.166917,-13.314572,0.29531,0.3,0.813494,0.363014,true,target_spacing_materialized,unknown_requires_test,needs_data_torque_or_mandatory_zone,true,mandatory_rib_boundary_load_transfer,false
B014,R014,R015,-13.166917,-12.871607,-13.019262,0.29531,0.3,0.824565,0.35814,true,target_spacing_materialized,unknown_requires_test,needs_data,false,,false
B015,R015,R016,-12.871607,-12.576297,-12.723952,0.29531,0.3,0.835636,0.353396,true,target_spacing_materialized,unknown_requires_test,needs_data,false,,false
B016,R016,R017,-12.576297,-12.280987,-12.428642,0.29531,0.3,0.846706,0.348775,true,target_spacing_materialized,unknown_requires_test,needs_data,false,,false
B017,R017,R018,-12.280987,-11.985677,-12.133332,0.29531,0.3,0.857777,0.344274,true,target_spacing_materialized,unknown_requires_test,needs_data,false,,false
B018,R018,R019,-11.985677,-11.690367,-11.838022,0.29531,0.3,0.868407,0.340059,true,target_spacing_materialized,unknown_requires_test,needs_data,false,,false
B019,R019,R020,-11.690367,-11.395056,-11.542711,0.295311,0.3,0.878749,0.336058,true,target_spacing_materialized,unknown_requires_test,needs_data,false,,false
B020,R020,R021,-11.395056,-11.099746,-11.247401,0.29531,0.3,0.88909,0.332148,true,target_spacing_materialized,unknown_requires_test,needs_data,false,,false
B021,R021,R022,-11.099746,-10.804436,-10.952091,0.29531,0.3,0.899432,0.328329,true,target_spacing_materialized,unknown_requires_test,needs_data,false,,false
B022,R022,R023,-10.804436,-10.509126,-10.656781,0.29531,0.3,0.909774,0.324597,true,target_spacing_materialized,unknown_requires_test,needs_data_torque_or_mandatory_zone,true,mandatory_rib_boundary_load_transfer,false
B023,R023,R024,-10.509126,-10.215579,-10.362353,0.293547,0.3,0.920085,0.319043,true,target_spacing_materialized,unknown_requires_test,needs_data_torque_or_mandatory_zone,true,mandatory_rib_boundary_load_transfer,false
B024,R024,R025,-10.215579,-9.922032,-10.068805,0.293547,0.3,0.930365,0.315518,true,target_spacing_materialized,unknown_requires_test,needs_data,false,,false
B025,R025,R026,-9.922032,-9.628484,-9.775258,0.293548,0.3,0.940645,0.312071,true,target_spacing_materialized,unknown_requires_test,needs_data,false,,false
B026,R026,R027,-9.628484,-9.334937,-9.481711,0.293547,0.3,0.950925,0.308696,true,target_spacing_materialized,unknown_requires_test,needs_data,false,,false
B027,R027,R028,-9.334937,-9.04139,-9.188163,0.293547,0.3,0.961205,0.305395,true,target_spacing_materialized,unknown_requires_test,needs_data,false,,false
B028,R028,R029,-9.04139,-8.747843,-8.894616,0.293547,0.3,0.971427,0.302181,true,target_spacing_materialized,unknown_requires_test,needs_data,false,,false
