rib_id,y_m,abs_y_m,chord_m,rib_type,bay_prev_m,bay_next_m,main_spar_xc,rear_spar_xc,mandatory_reason,material_family,material_family_category,estimated_mass_kg,shape_sag_status,bond_risk_status,local_fem_required,fem_trigger_reasons,torque_critical_zone
R000,-17.324041,17.324041,0.645004,mandatory_contract_rib,,0.297063,0.246702,0.690168,tip_boundary,balsa_sheet_3mm,balsa_baseline,0.009605632288652428,unknown_requires_test,needs_data_torque_or_mandatory_zone,true,tip_boundary_airfoil_skin_closure_detail,false
R001,-17.026978,17.026978,0.652542,materialized_spacing_rib,0.297063,0.297063,0.249904,0.69916,,balsa_sheet_3mm,balsa_baseline,0.00984713108082451,unknown_requires_test,needs_data,false,,false
R002,-16.729916,16.729916,0.668633,materialized_spacing_rib,0.297063,0.297063,0.24998,0.699627,,balsa_sheet_3mm,balsa_baseline,0.010373867048980462,unknown_requires_test,needs_data,false,,false
R003,-16.432853,16.432853,0.684724,materialized_spacing_rib,0.297063,0.297063,0.25058,0.700724,,balsa_sheet_3mm,balsa_baseline,0.010915998946185623,unknown_requires_test,needs_data,false,,false
R004,-16.13579,16.13579,0.699094,materialized_spacing_rib,0.297063,0.297063,0.249962,0.699386,,balsa_sheet_3mm,balsa_baseline,0.011417375699023163,unknown_requires_test,needs_data,false,,false
R005,-15.838728,15.838728,0.712214,materialized_spacing_rib,0.297063,0.297063,0.249826,0.699391,,balsa_sheet_3mm,balsa_baseline,0.011889773280645206,unknown_requires_test,needs_data,false,,false
R006,-15.541665,15.541665,0.725333,materialized_spacing_rib,0.297063,0.297063,0.250281,0.69985,,balsa_sheet_3mm,balsa_baseline,0.012373175830087811,unknown_requires_test,needs_data,false,,false
R007,-15.244603,15.244603,0.73769,materialized_spacing_rib,0.297063,0.297063,0.250068,0.699454,,balsa_sheet_3mm,balsa_baseline,0.01284109102785857,unknown_requires_test,needs_data,false,,false
R008,-14.94754,14.94754,0.749704,materialized_spacing_rib,0.297063,0.297063,0.249998,0.69947,,balsa_sheet_3mm,balsa_baseline,0.013306897131337068,unknown_requires_test,needs_data,false,,false
R009,-14.650478,14.650478,0.761718,materialized_spacing_rib,0.297063,0.297063,0.249744,0.6992,,balsa_sheet_3mm,balsa_baseline,0.01378236724479305,unknown_requires_test,needs_data,false,,false
R010,-14.353415,14.353415,0.773732,materialized_spacing_rib,0.297063,0.297063,0.250167,0.69941,,balsa_sheet_3mm,balsa_baseline,0.014267569387666086,unknown_requires_test,needs_data,false,,false
R011,-14.056352,14.056352,0.785687,materialized_spacing_rib,0.297063,0.297063,0.250698,0.700513,,balsa_sheet_3mm,balsa_baseline,0.014760364260035724,unknown_requires_test,needs_data,false,,false
R012,-13.75929,13.75929,0.796823,materialized_spacing_rib,0.297063,0.297063,0.248201,0.697605,,balsa_sheet_3mm,balsa_baseline,0.015231622991769842,unknown_requires_test,needs_data,false,,false
R013,-13.462227,13.462227,0.807959,mandatory_contract_rib,0.297063,0.29531,0.24772,0.695717,spar_joint,balsa_sheet_3mm,balsa_baseline,0.01571161978715947,unknown_requires_test,needs_data_torque_or_mandatory_zone,true,spar_joint_load_transfer,false
R014,-13.166917,13.166917,0.81903,materialized_spacing_rib,0.29531,0.29531,0.249741,0.69811,,balsa_sheet_3mm,balsa_baseline,0.01619750368002816,unknown_requires_test,needs_data,false,,false
R015,-12.871607,12.871607,0.8301,materialized_spacing_rib,0.29531,0.29531,0.250082,0.698474,,balsa_sheet_3mm,balsa_baseline,0.016692138018681864,unknown_requires_test,needs_data,false,,false
R016,-12.576297,12.576297,0.841171,materialized_spacing_rib,0.29531,0.29531,0.249891,0.698437,,balsa_sheet_3mm,balsa_baseline,0.017195580219618336,unknown_requires_test,needs_data,false,,false
R017,-12.280987,12.280987,0.852241,materialized_spacing_rib,0.29531,0.29531,0.24994,0.698415,,balsa_sheet_3mm,balsa_baseline,0.01770788769933538,unknown_requires_test,needs_data,false,,false
R018,-11.985677,11.985677,0.863236,materialized_spacing_rib,0.29531,0.29531,0.25044,0.698746,,balsa_sheet_3mm,balsa_baseline,0.018225926232089483,unknown_requires_test,needs_data,false,,false
R019,-11.690367,11.690367,0.873578,materialized_spacing_rib,0.29531,0.29531,0.250201,0.698598,,balsa_sheet_3mm,balsa_baseline,0.01872482747031869,unknown_requires_test,needs_data,false,,false
R020,-11.395056,11.395056,0.88392,materialized_spacing_rib,0.29531,0.29531,0.250262,0.698612,,balsa_sheet_3mm,balsa_baseline,0.019231798759456194,unknown_requires_test,needs_data,false,,false
R021,-11.099746,11.099746,0.894261,materialized_spacing_rib,0.29531,0.29531,0.250229,0.698501,,balsa_sheet_3mm,balsa_baseline,0.0197468902047316,unknown_requires_test,needs_data,false,,false
R022,-10.804436,10.804436,0.904603,materialized_spacing_rib,0.29531,0.29531,0.249631,0.698545,,balsa_sheet_3mm,balsa_baseline,0.020270151911374528,unknown_requires_test,needs_data,false,,false
R023,-10.509126,10.509126,0.914945,mandatory_contract_rib,0.29531,0.293547,0.249466,0.699454,spar_joint,balsa_sheet_3mm,balsa_baseline,0.02080163398461457,unknown_requires_test,needs_data_torque_or_mandatory_zone,true,spar_joint_load_transfer,false
R024,-10.215579,10.215579,0.925225,materialized_spacing_rib,0.293547,0.293547,0.24995,0.699676,,balsa_sheet_3mm,balsa_baseline,0.021338139662437115,unknown_requires_test,needs_data,false,,false
R025,-9.922032,9.922032,0.935505,materialized_spacing_rib,0.293547,0.293547,0.250057,0.699747,,balsa_sheet_3mm,balsa_baseline,0.021882866573486464,unknown_requires_test,needs_data,false,,false
R026,-9.628484,9.628484,0.945785,materialized_spacing_rib,0.293547,0.293547,0.249891,0.699807,,balsa_sheet_3mm,balsa_baseline,0.02243586393098003,unknown_requires_test,needs_data,false,,false
R027,-9.334937,9.334937,0.956065,materialized_spacing_rib,0.293547,0.293547,0.249651,0.699582,,balsa_sheet_3mm,balsa_baseline,0.022997180948135215,unknown_requires_test,needs_data,false,,false
R028,-9.04139,9.04139,0.966344,materialized_spacing_rib,0.293547,0.293547,0.250198,0.699842,,balsa_sheet_3mm,balsa_baseline,0.023566866838169418,unknown_requires_test,needs_data,false,,false
R029,-8.747843,8.747843,0.976304,materialized_spacing_rib,0.293547,0.293547,0.250225,0.699898,,balsa_sheet_3mm,balsa_baseline,0.02412912096212636,unknown_requires_test,needs_data,false,,false
R030,-8.454296,8.454296,0.986057,materialized_spacing_rib,0.293547,0.293547,0.250033,0.699799,,balsa_sheet_3mm,balsa_baseline,0.024689074565951874,unknown_requires_test,needs_data,false,,false
R031,-8.160749,8.160749,0.99581,materialized_spacing_rib,0.293547,0.293547,0.250052,0.699464,,balsa_sheet_3mm,balsa_baseline,0.02525684438185535,unknown_requires_test,needs_data,false,,false
R032,-7.867201,7.867201,1.005562,materialized_spacing_rib,0.293547,0.293547,0.250245,0.700296,,balsa_sheet_3mm,balsa_baseline,0.025832474705779786,unknown_requires_test,needs_data,false,,false
R033,-7.573654,7.573654,1.015315,mandatory_contract_rib,0.293547,0.008913,0.250217,0.701171,wire_attach;spar_joint,balsa_sheet_3mm,balsa_baseline,0.02641600983366815,unknown_requires_test,needs_data_torque_or_mandatory_zone,true,wire_attach_local_load_path;spar_joint_load_transfer,false
R034,-7.564741,7.564741,1.015611,mandatory_contract_rib,0.008913,0.290859,0.250213,0.701152,wire_attach,balsa_sheet_3mm,balsa_baseline,0.026433852407697887,unknown_requires_test,needs_data_torque_or_mandatory_zone,true,wire_attach_local_load_path,false
R035,-7.273882,7.273882,1.025275,materialized_spacing_rib,0.290859,0.290859,0.250072,0.70055,,balsa_sheet_3mm,balsa_baseline,0.02702012373385641,unknown_requires_test,needs_data,false,,false
R036,-6.983023,6.983023,1.034939,materialized_spacing_rib,0.290859,0.290859,0.250038,0.700504,,balsa_sheet_3mm,balsa_baseline,0.027614243648731523,unknown_requires_test,needs_data,false,,false
R037,-6.692164,6.692164,1.044602,materialized_spacing_rib,0.290859,0.290859,0.249891,0.700532,,balsa_sheet_3mm,balsa_baseline,0.02821625524245054,unknown_requires_test,needs_data,false,,false
R038,-6.401305,6.401305,1.054266,materialized_spacing_rib,0.290859,0.290859,0.24971,0.700381,,balsa_sheet_3mm,balsa_baseline,0.02882620160514075,unknown_requires_test,needs_data,false,,false
R039,-6.110446,6.110446,1.063929,materialized_spacing_rib,0.290859,0.290859,0.250099,0.700548,,balsa_sheet_3mm,balsa_baseline,0.02944412582692944,unknown_requires_test,needs_data,false,,false
R040,-5.819587,5.819587,1.073354,materialized_spacing_rib,0.290859,0.290859,0.250163,0.700581,,balsa_sheet_3mm,balsa_baseline,0.030056710128400516,unknown_requires_test,needs_data,false,,false
R041,-5.528728,5.528728,1.08265,materialized_spacing_rib,0.290859,0.290859,0.250005,0.700535,,balsa_sheet_3mm,balsa_baseline,0.030669709161073987,unknown_requires_test,needs_data,false,,false
R042,-5.237869,5.237869,1.091945,materialized_spacing_rib,0.290859,0.290859,0.24992,0.700502,,balsa_sheet_3mm,balsa_baseline,0.031290325916284716,unknown_requires_test,needs_data,false,,false
