rib_id,y_m,rib_type,mandatory_reason,material_family,material_structural_role,hybrid_next_step_candidate,notes
R000,-17.324041,mandatory_contract_rib,tip_boundary,balsa_sheet_3mm,screening_baseline_not_final_signoff,true,Candidate local reinforcement station for hybrid rib stiffness sweep.
R001,-17.026978,materialized_spacing_rib,,balsa_sheet_3mm,screening_baseline_not_final_signoff,false,Materialized spacing rib; still not shape/bond signoff.
R002,-16.729916,materialized_spacing_rib,,balsa_sheet_3mm,screening_baseline_not_final_signoff,false,Materialized spacing rib; still not shape/bond signoff.
R003,-16.432853,materialized_spacing_rib,,balsa_sheet_3mm,screening_baseline_not_final_signoff,false,Materialized spacing rib; still not shape/bond signoff.
R004,-16.13579,materialized_spacing_rib,,balsa_sheet_3mm,screening_baseline_not_final_signoff,false,Materialized spacing rib; still not shape/bond signoff.
R005,-15.838728,materialized_spacing_rib,,balsa_sheet_3mm,screening_baseline_not_final_signoff,false,Materialized spacing rib; still not shape/bond signoff.
R006,-15.541665,materialized_spacing_rib,,balsa_sheet_3mm,screening_baseline_not_final_signoff,false,Materialized spacing rib; still not shape/bond signoff.
R007,-15.244603,materialized_spacing_rib,,balsa_sheet_3mm,screening_baseline_not_final_signoff,false,Materialized spacing rib; still not shape/bond signoff.
R008,-14.94754,materialized_spacing_rib,,balsa_sheet_3mm,screening_baseline_not_final_signoff,false,Materialized spacing rib; still not shape/bond signoff.
R009,-14.650478,materialized_spacing_rib,,balsa_sheet_3mm,screening_baseline_not_final_signoff,false,Materialized spacing rib; still not shape/bond signoff.
R010,-14.353415,materialized_spacing_rib,,balsa_sheet_3mm,screening_baseline_not_final_signoff,false,Materialized spacing rib; still not shape/bond signoff.
R011,-14.056352,materialized_spacing_rib,,balsa_sheet_3mm,screening_baseline_not_final_signoff,false,Materialized spacing rib; still not shape/bond signoff.
R012,-13.75929,materialized_spacing_rib,,balsa_sheet_3mm,screening_baseline_not_final_signoff,false,Materialized spacing rib; still not shape/bond signoff.
R013,-13.462227,mandatory_contract_rib,spar_joint,balsa_sheet_3mm,screening_baseline_not_final_signoff,true,Candidate local reinforcement station for hybrid rib stiffness sweep.
R014,-13.166917,materialized_spacing_rib,,balsa_sheet_3mm,screening_baseline_not_final_signoff,false,Materialized spacing rib; still not shape/bond signoff.
R015,-12.871607,materialized_spacing_rib,,balsa_sheet_3mm,screening_baseline_not_final_signoff,false,Materialized spacing rib; still not shape/bond signoff.
R016,-12.576297,materialized_spacing_rib,,balsa_sheet_3mm,screening_baseline_not_final_signoff,false,Materialized spacing rib; still not shape/bond signoff.
R017,-12.280987,materialized_spacing_rib,,balsa_sheet_3mm,screening_baseline_not_final_signoff,false,Materialized spacing rib; still not shape/bond signoff.
R018,-11.985677,materialized_spacing_rib,,balsa_sheet_3mm,screening_baseline_not_final_signoff,false,Materialized spacing rib; still not shape/bond signoff.
R019,-11.690367,materialized_spacing_rib,,balsa_sheet_3mm,screening_baseline_not_final_signoff,false,Materialized spacing rib; still not shape/bond signoff.
R020,-11.395056,materialized_spacing_rib,,balsa_sheet_3mm,screening_baseline_not_final_signoff,false,Materialized spacing rib; still not shape/bond signoff.
R021,-11.099746,materialized_spacing_rib,,balsa_sheet_3mm,screening_baseline_not_final_signoff,false,Materialized spacing rib; still not shape/bond signoff.
R022,-10.804436,materialized_spacing_rib,,balsa_sheet_3mm,screening_baseline_not_final_signoff,false,Materialized spacing rib; still not shape/bond signoff.
R023,-10.509126,mandatory_contract_rib,spar_joint,balsa_sheet_3mm,screening_baseline_not_final_signoff,true,Candidate local reinforcement station for hybrid rib stiffness sweep.
R024,-10.215579,materialized_spacing_rib,,balsa_sheet_3mm,screening_baseline_not_final_signoff,false,Materialized spacing rib; still not shape/bond signoff.
R025,-9.922032,materialized_spacing_rib,,balsa_sheet_3mm,screening_baseline_not_final_signoff,false,Materialized spacing rib; still not shape/bond signoff.
R026,-9.628484,materialized_spacing_rib,,balsa_sheet_3mm,screening_baseline_not_final_signoff,false,Materialized spacing rib; still not shape/bond signoff.
R027,-9.334937,materialized_spacing_rib,,balsa_sheet_3mm,screening_baseline_not_final_signoff,false,Materialized spacing rib; still not shape/bond signoff.
