bay_id,y_start_m,y_end_m,bay_length_m,chord_mid_m,bay_length_over_chord,placeholder_method,shape_sag_status,risk_reasons,data_needed
B000,-17.324041,-17.026978,0.297063,0.645004,0.46056,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B001,-17.026978,-16.729916,0.297062,0.660588,0.449694,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B002,-16.729916,-16.432853,0.297063,0.676678,0.439002,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B003,-16.432853,-16.13579,0.297063,0.692534,0.428951,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B004,-16.13579,-15.838728,0.297062,0.705654,0.420974,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B005,-15.838728,-15.541665,0.297063,0.718773,0.413292,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B006,-15.541665,-15.244603,0.297062,0.731683,0.405998,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B007,-15.244603,-14.94754,0.297063,0.743697,0.399441,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B008,-14.94754,-14.650478,0.297062,0.755711,0.393089,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B009,-14.650478,-14.353415,0.297063,0.767725,0.386939,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B010,-14.353415,-14.056352,0.297063,0.779739,0.380978,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B011,-14.056352,-13.75929,0.297062,0.791255,0.375432,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B012,-13.75929,-13.462227,0.297063,0.802391,0.370222,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
