case_id,family_key,material_category,material_family_group,rib_core_thickness_m,rib_core_thickness_mm,rib_spacing_profile,torque_zone_spacing_m,effective_spacing_m,local_reinforcement,rear_stiffness_scale,rear_spar_participation,cap_face_collar_stiffness_proxy,legacy_cap_face_collar_stiffness_proxy,effective_gj_ratio_vs_balsa_selected,legacy_effective_gj_ratio_vs_balsa_selected,fast_model_direct_twist_deg,fast_model_bounded_twist_deg,legacy_fast_model_direct_twist_deg,legacy_fast_model_bounded_twist_deg,fast_physics_components,legacy_fast_physics_components,twist_bound_deg,direct_stress_test_status,bounded_twist_status,trade_metrics,mass_delta_vs_balsa_baseline_kg,manufacturability_score,selection_status,blockers,evidence_status,fem_calibration_required,structural_bracing_credit,claim_boundary,pareto_front
eps_balsa_cap_hybrid_10mm__t10p0mm__uniform_0p30__carbon_face_collar_y2p328__rear75,eps_balsa_cap_hybrid_10mm,capped_hybrid_foam_rib,hybrid_foam_balsa_cap,0.01,10.0,uniform_0p30,0.3,0.3,carbon_face_collar_y2p328,0.75,bounded_75pct_screening,1.1,1.36,2.514886,3.109314,2.782336,1.673592,2.250418,1.353641,"{""local_reinforcement_factor"": 1.1, ""model_id"": ""link_limited_torsion_cell_v2"", ""spacing_factor"": 1.0, ""thickness_factor"": 1.0, ""total_stiffness_factor"": 1.1}","{""local_reinforcement_factor"": 1.36, ""model_id"": ""hybrid_main_rear_torsion_cell_scale_v1"", ""spacing_factor"": 1.0, ""thickness_factor"": 1.0, ""total_stiffness_factor"": 1.36}",3.0,clears_bound,clears_bound,"{""C_n_beta"": 0.01403, ""cg_x_m"": 0.75, ""forward_rebalance_mass_kg"": 56.0, ""manufacturability_score"": 0.55, ""mass_cg_status"": ""final_cg_screening_row_remains_available_with_rebalance"", ""mass_kg"": 5.715042, ""required_forward_rebalance_m"": 0.079276, ""rib_mass_delta_vs_baseline_kg"": 2.685371, ""static_margin"": 0.094301, ""tail_delta_H_margin_deg"": 4.792985, ""tail_delta_V_margin_deg"": 16.716831, ""uncompensated_cg_x_m"": 0.792135}",2.685371,0.55,candidate,[],fast_model_result_needs_FEM_calibration,True,True,Fast-model candidate. Requires FEM calibration before any structural pass claim.,True
eps_balsa_cap_hybrid_10mm__t10p0mm__uniform_0p30__glass_face_collar_y2p328__rear75,eps_balsa_cap_hybrid_10mm,capped_hybrid_foam_rib,hybrid_foam_balsa_cap,0.01,10.0,uniform_0p30,0.3,0.3,glass_face_collar_y2p328,0.75,bounded_75pct_screening,1.07,1.27,2.446298,2.90355,2.860345,1.720516,2.409897,1.449568,"{""local_reinforcement_factor"": 1.07, ""model_id"": ""link_limited_torsion_cell_v2"", ""spacing_factor"": 1.0, ""thickness_factor"": 1.0, ""total_stiffness_factor"": 1.07}","{""local_reinforcement_factor"": 1.27, ""model_id"": ""hybrid_main_rear_torsion_cell_scale_v1"", ""spacing_factor"": 1.0, ""thickness_factor"": 1.0, ""total_stiffness_factor"": 1.27}",3.0,clears_bound,clears_bound,"{""C_n_beta"": 0.01403, ""cg_x_m"": 0.75, ""forward_rebalance_mass_kg"": 56.0, ""manufacturability_score"": 0.61, ""mass_cg_status"": ""final_cg_screening_row_remains_available_with_rebalance"", ""mass_kg"": 5.785042, ""required_forward_rebalance_m"": 0.079276, ""rib_mass_delta_vs_baseline_kg"": 2.755371, ""static_margin"": 0.094301, ""tail_delta_H_margin_deg"": 4.792985, ""tail_delta_V_margin_deg"": 16.716831, ""uncompensated_cg_x_m"": 0.791903}",2.755371,0.61,candidate,[],fast_model_result_needs_FEM_calibration,True,True,Fast-model candidate. Requires FEM calibration before any structural pass claim.,True
eps_balsa_cap_hybrid_10mm__t10p0mm__torque_zone_0p24_outboard_0p36__carbon_face_collar_y2p328__rear75,eps_balsa_cap_hybrid_10mm,capped_hybrid_foam_rib,hybrid_foam_balsa_cap,0.01,10.0,torque_zone_0p24_outboard_0p36,0.24,0.285,carbon_face_collar_y2p328,0.75,bounded_75pct_screening,1.1,1.36,2.586844,3.358059,2.704939,1.627038,2.083721,1.253371,"{""local_reinforcement_factor"": 1.1, ""model_id"": ""link_limited_torsion_cell_v2"", ""spacing_factor"": 1.028613, ""thickness_factor"": 1.0, ""total_stiffness_factor"": 1.131474}","{""local_reinforcement_factor"": 1.36, ""model_id"": ""hybrid_main_rear_torsion_cell_scale_v1"", ""spacing_factor"": 1.08, ""thickness_factor"": 1.0, ""total_stiffness_factor"": 1.4688}",3.0,clears_bound,clears_bound,"{""C_n_beta"": 0.01403, ""cg_x_m"": 0.75, ""forward_rebalance_mass_kg"": 56.0, ""manufacturability_score"": 0.49, ""mass_cg_status"": ""final_cg_screening_row_remains_available_with_rebalance"", ""mass_kg"": 6.036945, ""required_forward_rebalance_m"": 0.079276, ""rib_mass_delta_vs_baseline_kg"": 3.007274, ""static_margin"": 0.094301, ""tail_delta_H_margin_deg"": 4.792985, ""tail_delta_V_margin_deg"": 16.716831, ""uncompensated_cg_x_m"": 0.791068}",3.007274,0.49,candidate,[],fast_model_result_needs_FEM_calibration,True,True,Fast-model candidate. Requires FEM calibration before any structural pass claim.,True
eps_balsa_cap_hybrid_10mm__t8p0mm__dense_torque_zone_0p20__carbon_face_collar_y2p328__rear75,eps_balsa_cap_hybrid_10mm,capped_hybrid_foam_rib,hybrid_foam_balsa_cap,0.008,8.0,dense_torque_zone_0p20,0.2,0.245,carbon_face_collar_y2p328,0.75,bounded_75pct_screening,1.1,1.36,2.36213,2.846095,2.962265,1.781821,2.458547,1.478831,"{""local_reinforcement_factor"": 1.1, ""model_id"": ""link_limited_torsion_cell_v2"", ""spacing_factor"": 1.117829, ""thickness_factor"": 0.840253, ""total_stiffness_factor"": 1.033185}","{""local_reinforcement_factor"": 1.36, ""model_id"": ""hybrid_main_rear_torsion_cell_scale_v1"", ""spacing_factor"": 1.17, ""thickness_factor"": 0.782346, ""total_stiffness_factor"": 1.244869}",3.0,clears_bound,clears_bound,"{""C_n_beta"": 0.01403, ""cg_x_m"": 0.75, ""forward_rebalance_mass_kg"": 56.0, ""manufacturability_score"": 0.38, ""mass_cg_status"": ""final_cg_screening_row_remains_available_with_rebalance"", ""mass_kg"": 5.586281, ""required_forward_rebalance_m"": 0.079276, ""rib_mass_delta_vs_baseline_kg"": 2.55661, ""static_margin"": 0.094301, ""tail_delta_H_margin_deg"": 4.792985, ""tail_delta_V_margin_deg"": 16.716831, ""uncompensated_cg_x_m"": 0.792562}",2.55661,0.38,candidate,[],fast_model_result_needs_FEM_calibration,True,True,Fast-model candidate. Requires FEM calibration before any structural pass claim.,True
eps_balsa_cap_hybrid_10mm__t10p0mm__torque_zone_0p24_outboard_0p36__balsa_cap_collar_y2p328__rear75,eps_balsa_cap_hybrid_10mm,capped_hybrid_foam_rib,hybrid_foam_balsa_cap,0.01,10.0,torque_zone_0p24_outboard_0p36,0.24,0.285,balsa_cap_collar_y2p328,0.75,bounded_75pct_screening,1.02,1.14,2.39871,2.814843,2.917091,1.754649,2.485842,1.49525,"{""local_reinforcement_factor"": 1.02, ""model_id"": ""link_limited_torsion_cell_v2"", ""spacing_factor"": 1.028613, ""thickness_factor"": 1.0, ""total_stiffness_factor"": 1.049185}","{""local_reinforcement_factor"": 1.14, ""model_id"": ""hybrid_main_rear_torsion_cell_scale_v1"", ""spacing_factor"": 1.08, ""thickness_factor"": 1.0, ""total_stiffness_factor"": 1.2312}",3.0,clears_bound,clears_bound,"{""C_n_beta"": 0.01403, ""cg_x_m"": 0.75, ""forward_rebalance_mass_kg"": 56.0, ""manufacturability_score"": 0.65, ""mass_cg_status"": ""final_cg_screening_row_remains_available_with_rebalance"", ""mass_kg"": 5.866945, ""required_forward_rebalance_m"": 0.079276, ""rib_mass_delta_vs_baseline_kg"": 2.837274, ""static_margin"": 0.094301, ""tail_delta_H_margin_deg"": 4.792985, ""tail_delta_V_margin_deg"": 16.716831, ""uncompensated_cg_x_m"": 0.791631}",2.837274,0.65,candidate,[],fast_model_result_needs_FEM_calibration,True,True,Fast-model candidate. Requires FEM calibration before any structural pass claim.,True
eps_balsa_cap_hybrid_10mm__t10p0mm__torque_zone_0p24_outboard_0p36__glass_face_collar_y2p328__rear75,eps_balsa_cap_hybrid_10mm,capped_hybrid_foam_rib,hybrid_foam_balsa_cap,0.01,10.0,torque_zone_0p24_outboard_0p36,0.24,0.285,glass_face_collar_y2p328,0.75,bounded_75pct_screening,1.07,1.27,2.516294,3.135834,2.780778,1.672656,2.231386,1.342193,"{""local_reinforcement_factor"": 1.07, ""model_id"": ""link_limited_torsion_cell_v2"", ""spacing_factor"": 1.028613, ""thickness_factor"": 1.0, ""total_stiffness_factor"": 1.100616}","{""local_reinforcement_factor"": 1.27, ""model_id"": ""hybrid_main_rear_torsion_cell_scale_v1"", ""spacing_factor"": 1.08, ""thickness_factor"": 1.0, ""total_stiffness_factor"": 1.3716}",3.0,clears_bound,clears_bound,"{""C_n_beta"": 0.01403, ""cg_x_m"": 0.75, ""forward_rebalance_mass_kg"": 56.0, ""manufacturability_score"": 0.55, ""mass_cg_status"": ""final_cg_screening_row_remains_available_with_rebalance"", ""mass_kg"": 6.106945, ""required_forward_rebalance_m"": 0.079276, ""rib_mass_delta_vs_baseline_kg"": 3.077274, ""static_margin"": 0.094301, ""tail_delta_H_margin_deg"": 4.792985, ""tail_delta_V_margin_deg"": 16.716831, ""uncompensated_cg_x_m"": 0.790835}",3.077274,0.55,candidate,[],fast_model_result_needs_FEM_calibration,True,True,Fast-model candidate. Requires FEM calibration before any structural pass claim.,True
eps_balsa_cap_hybrid_10mm__t12p0mm__uniform_0p30__carbon_face_collar_y2p328__rear75,eps_balsa_cap_hybrid_10mm,capped_hybrid_foam_rib,hybrid_foam_balsa_cap,0.012,12.0,uniform_0p30,0.3,0.3,carbon_face_collar_y2p328,0.75,bounded_75pct_screening,1.1,1.36,2.89921,3.799828,2.413505,1.451738,1.841467,1.107654,"{""local_reinforcement_factor"": 1.1, ""model_id"": ""link_limited_torsion_cell_v2"", ""spacing_factor"": 1.0, ""thickness_factor"": 1.15282, ""total_stiffness_factor"": 1.268102}","{""local_reinforcement_factor"": 1.36, ""model_id"": ""hybrid_main_rear_torsion_cell_scale_v1"", ""spacing_factor"": 1.0, ""thickness_factor"": 1.222079, ""total_stiffness_factor"": 1.662028}",3.0,clears_bound,clears_bound,"{""C_n_beta"": 0.01403, ""cg_x_m"": 0.75, ""forward_rebalance_mass_kg"": 56.0, ""manufacturability_score"": 0.5, ""mass_cg_status"": ""final_cg_screening_row_remains_available_with_rebalance"", ""mass_kg"": 6.78805, ""required_forward_rebalance_m"": 0.079276, ""rib_mass_delta_vs_baseline_kg"": 3.758379, ""static_margin"": 0.094301, ""tail_delta_H_margin_deg"": 4.792985, ""tail_delta_V_margin_deg"": 16.716831, ""uncompensated_cg_x_m"": 0.788576}",3.758379,0.5,candidate,[],fast_model_result_needs_FEM_calibration,True,True,Fast-model candidate. Requires FEM calibration before any structural pass claim.,True
eps_balsa_cap_hybrid_10mm__t12p0mm__uniform_0p30__balsa_cap_collar_y2p328__rear75,eps_balsa_cap_hybrid_10mm,capped_hybrid_foam_rib,hybrid_foam_balsa_cap,0.012,12.0,uniform_0p30,0.3,0.3,balsa_cap_collar_y2p328,0.75,bounded_75pct_screening,1.02,1.14,2.688358,3.18515,2.602799,1.5656,2.196838,1.321412,"{""local_reinforcement_factor"": 1.02, ""model_id"": ""link_limited_torsion_cell_v2"", ""spacing_factor"": 1.0, ""thickness_factor"": 1.15282, ""total_stiffness_factor"": 1.175876}","{""local_reinforcement_factor"": 1.14, ""model_id"": ""hybrid_main_rear_torsion_cell_scale_v1"", ""spacing_factor"": 1.0, ""thickness_factor"": 1.222079, ""total_stiffness_factor"": 1.39317}",3.0,clears_bound,clears_bound,"{""C_n_beta"": 0.01403, ""cg_x_m"": 0.75, ""forward_rebalance_mass_kg"": 56.0, ""manufacturability_score"": 0.66, ""mass_cg_status"": ""final_cg_screening_row_remains_available_with_rebalance"", ""mass_kg"": 6.61805, ""required_forward_rebalance_m"": 0.079276, ""rib_mass_delta_vs_baseline_kg"": 3.588379, ""static_margin"": 0.094301, ""tail_delta_H_margin_deg"": 4.792985, ""tail_delta_V_margin_deg"": 16.716831, ""uncompensated_cg_x_m"": 0.78914}",3.588379,0.66,candidate,[],fast_model_result_needs_FEM_calibration,True,True,Fast-model candidate. Requires FEM calibration before any structural pass claim.,True
eps_balsa_cap_hybrid_10mm__t12p0mm__uniform_0p30__glass_face_collar_y2p328__rear75,eps_balsa_cap_hybrid_10mm,capped_hybrid_foam_rib,hybrid_foam_balsa_cap,0.012,12.0,uniform_0p30,0.3,0.3,glass_face_collar_y2p328,0.75,bounded_75pct_screening,1.07,1.27,2.820141,3.548368,2.481173,1.492441,1.971965,1.186149,"{""local_reinforcement_factor"": 1.07, ""model_id"": ""link_limited_torsion_cell_v2"", ""spacing_factor"": 1.0, ""thickness_factor"": 1.15282, ""total_stiffness_factor"": 1.233517}","{""local_reinforcement_factor"": 1.27, ""model_id"": ""hybrid_main_rear_torsion_cell_scale_v1"", ""spacing_factor"": 1.0, ""thickness_factor"": 1.222079, ""total_stiffness_factor"": 1.552041}",3.0,clears_bound,clears_bound,"{""C_n_beta"": 0.01403, ""cg_x_m"": 0.75, ""forward_rebalance_mass_kg"": 56.0, ""manufacturability_score"": 0.56, ""mass_cg_status"": ""final_cg_screening_row_remains_available_with_rebalance"", ""mass_kg"": 6.85805, ""required_forward_rebalance_m"": 0.079276, ""rib_mass_delta_vs_baseline_kg"": 3.828379, ""static_margin"": 0.094301, ""tail_delta_H_margin_deg"": 4.792985, ""tail_delta_V_margin_deg"": 16.716831, ""uncompensated_cg_x_m"": 0.788344}",3.828379,0.56,candidate,[],fast_model_result_needs_FEM_calibration,True,True,Fast-model candidate. Requires FEM calibration before any structural pass claim.,True
eps_balsa_cap_hybrid_10mm__t10p0mm__dense_torque_zone_0p20__carbon_face_collar_y2p328__rear75,eps_balsa_cap_hybrid_10mm,capped_hybrid_foam_rib,hybrid_foam_balsa_cap,0.01,10.0,dense_torque_zone_0p20,0.2,0.245,carbon_face_collar_y2p328,0.75,bounded_75pct_screening,1.1,1.36,2.811212,3.637897,2.489053,1.497181,1.923435,1.156958,"{""local_reinforcement_factor"": 1.1, ""model_id"": ""link_limited_torsion_cell_v2"", ""spacing_factor"": 1.117829, ""thickness_factor"": 1.0, ""total_stiffness_factor"": 1.229612}","{""local_reinforcement_factor"": 1.36, ""model_id"": ""hybrid_main_rear_torsion_cell_scale_v1"", ""spacing_factor"": 1.17, ""thickness_factor"": 1.0, ""total_stiffness_factor"": 1.5912}",3.0,clears_bound,clears_bound,"{""C_n_beta"": 0.01403, ""cg_x_m"": 0.75, ""forward_rebalance_mass_kg"": 56.0, ""manufacturability_score"": 0.43, ""mass_cg_status"": ""final_cg_screening_row_remains_available_with_rebalance"", ""mass_kg"": 6.895351, ""required_forward_rebalance_m"": 0.079276, ""rib_mass_delta_vs_baseline_kg"": 3.86568, ""static_margin"": 0.094301, ""tail_delta_H_margin_deg"": 4.792985, ""tail_delta_V_margin_deg"": 16.716831, ""uncompensated_cg_x_m"": 0.788221}",3.86568,0.43,candidate,[],fast_model_result_needs_FEM_calibration,True,True,Fast-model candidate. Requires FEM calibration before any structural pass claim.,False
