case_name,geometry_variant,solver,Sref,Bref,Cref,alpha_deg,CL,CDi,CDtot,Cm,st_path,fs_path,stdout_log_path,returncode,e_CDi,CDo,E_reported,L_D_reported
policy_A_performance_candidate,base_body_axis,AVL,33.420058469,34.332285818,0.985105727,-2.0,0.47507,0.00221,0.00221,-0.11303,/Volumes/Samsung SSD/hpa-mdo/output/geometry_exports/phase7_avl_vsp_parity/raw/policy_A_performance_candidate/avl_base/alpha_m02.st,,/Volumes/Samsung SSD/hpa-mdo/output/geometry_exports/phase7_avl_vsp_parity/raw/policy_A_performance_candidate/avl_base/alpha_m02_stdout.log,0,0.9216686863485304,,,
policy_A_performance_candidate,base_body_axis,AVL,33.420058469,34.332285818,0.985105727,-1.0,0.57719,0.00312,0.00312,-0.1147,/Volumes/Samsung SSD/hpa-mdo/output/geometry_exports/phase7_avl_vsp_parity/raw/policy_A_performance_candidate/avl_base/alpha_m01.st,,/Volumes/Samsung SSD/hpa-mdo/output/geometry_exports/phase7_avl_vsp_parity/raw/policy_A_performance_candidate/avl_base/alpha_m01_stdout.log,0,0.9636845498368803,,,
policy_A_performance_candidate,base_body_axis,AVL,33.420058469,34.332285818,0.985105727,0.0,0.67913,0.00424,0.00424,-0.11748,/Volumes/Samsung SSD/hpa-mdo/output/geometry_exports/phase7_avl_vsp_parity/raw/policy_A_performance_candidate/avl_base/alpha_p00.st,,/Volumes/Samsung SSD/hpa-mdo/output/geometry_exports/phase7_avl_vsp_parity/raw/policy_A_performance_candidate/avl_base/alpha_p00_stdout.log,0,0.9817295609366617,,,
policy_A_performance_candidate,base_body_axis,AVL,33.420058469,34.332285818,0.985105727,1.0,0.78084,0.00556,0.00556,-0.12136,/Volumes/Samsung SSD/hpa-mdo/output/geometry_exports/phase7_avl_vsp_parity/raw/policy_A_performance_candidate/avl_base/alpha_p01.st,,/Volumes/Samsung SSD/hpa-mdo/output/geometry_exports/phase7_avl_vsp_parity/raw/policy_A_performance_candidate/avl_base/alpha_p01_stdout.log,0,0.9896946164234479,,,
policy_A_performance_candidate,base_body_axis,AVL,33.420058469,34.332285818,0.985105727,2.0,0.88228,0.00709,0.00709,-0.12634,/Volumes/Samsung SSD/hpa-mdo/output/geometry_exports/phase7_avl_vsp_parity/raw/policy_A_performance_candidate/avl_base/alpha_p02.st,,/Volumes/Samsung SSD/hpa-mdo/output/geometry_exports/phase7_avl_vsp_parity/raw/policy_A_performance_candidate/avl_base/alpha_p02_stdout.log,0,0.9908742163603712,,,
policy_A_performance_candidate,base_body_axis,AVL,33.420058469,34.332285818,0.985105727,3.0,0.98341,0.00882,0.00882,-0.1324,/Volumes/Samsung SSD/hpa-mdo/output/geometry_exports/phase7_avl_vsp_parity/raw/policy_A_performance_candidate/avl_base/alpha_p03.st,,/Volumes/Samsung SSD/hpa-mdo/output/geometry_exports/phase7_avl_vsp_parity/raw/policy_A_performance_candidate/avl_base/alpha_p03_stdout.log,0,0.9895837363699659,,,
policy_A_performance_candidate,base_body_axis,AVL,33.420058469,34.332285818,0.985105727,4.0,1.08419,0.01074,0.01074,-0.13956,/Volumes/Samsung SSD/hpa-mdo/output/geometry_exports/phase7_avl_vsp_parity/raw/policy_A_performance_candidate/avl_base/alpha_p04.st,,/Volumes/Samsung SSD/hpa-mdo/output/geometry_exports/phase7_avl_vsp_parity/raw/policy_A_performance_candidate/avl_base/alpha_p04_stdout.log,0,0.9877758570358741,,,
policy_A_performance_candidate,base_body_axis,AVL,33.420058469,34.332285818,0.985105727,5.0,1.18458,0.01285,0.01285,-0.14778,/Volumes/Samsung SSD/hpa-mdo/output/geometry_exports/phase7_avl_vsp_parity/raw/policy_A_performance_candidate/avl_base/alpha_p05.st,,/Volumes/Samsung SSD/hpa-mdo/output/geometry_exports/phase7_avl_vsp_parity/raw/policy_A_performance_candidate/avl_base/alpha_p05_stdout.log,0,0.9855474941144801,,,
policy_A_performance_candidate,base_body_axis,AVL,33.420058469,34.332285818,0.985105727,6.0,1.28454,0.01516,0.01516,-0.15707,/Volumes/Samsung SSD/hpa-mdo/output/geometry_exports/phase7_avl_vsp_parity/raw/policy_A_performance_candidate/avl_base/alpha_p06.st,,/Volumes/Samsung SSD/hpa-mdo/output/geometry_exports/phase7_avl_vsp_parity/raw/policy_A_performance_candidate/avl_base/alpha_p06_stdout.log,0,0.9823086258444239,,,
policy_A_performance_candidate,base_body_axis,AVL,33.420058469,34.332285818,0.985105727,7.0,1.38402,0.01765,0.01765,-0.16742,/Volumes/Samsung SSD/hpa-mdo/output/geometry_exports/phase7_avl_vsp_parity/raw/policy_A_performance_candidate/avl_base/alpha_p07.st,,/Volumes/Samsung SSD/hpa-mdo/output/geometry_exports/phase7_avl_vsp_parity/raw/policy_A_performance_candidate/avl_base/alpha_p07_stdout.log,0,0.9794717536574795,,,
