case_name,solver,alpha_deg,eta,y_m,chord_m,local_cl,local_cd,local_cm_c4,lprime_proxy,lprime_norm,source
policy_A_performance_candidate,AVL,4.83981,0.0006586079475911268,0.0113,1.2579,1.2572,0.0118,-0.1219,1.5814318800000002,1.0,trimmed_to_CL_req
policy_A_performance_candidate,AVL,4.83981,0.005915814750486671,0.1015,1.2524,1.2509,0.018,-0.1224,1.56662716,0.9906384080229872,trimmed_to_CL_req
policy_A_performance_candidate,AVL,4.83981,0.01637777285602714,0.281,1.2414,1.2568,0.0185,-0.1239,1.56019152,0.9865689061485214,trimmed_to_CL_req
policy_A_performance_candidate,AVL,4.83981,0.03195122804154476,0.5482,1.225,1.2651,0.0183,-0.125,1.5497475,0.9799647519436625,trimmed_to_CL_req
policy_A_performance_candidate,AVL,4.83981,0.05247298541737093,0.9003,1.2035,1.2757,0.0177,-0.1256,1.53530495,0.9708321739409982,trimmed_to_CL_req
policy_A_performance_candidate,AVL,4.83981,0.07775653653817012,1.3341,1.177,1.2884,0.0168,-0.1259,1.5164468,0.9589074427916552,trimmed_to_CL_req
policy_A_performance_candidate,AVL,4.83981,0.10755708906943942,1.8454,1.1457,1.3031,0.0158,-0.1262,1.49296167,0.9440568948186372,trimmed_to_CL_req
policy_A_performance_candidate,AVL,4.83981,0.14158322356534206,2.4292,1.11,1.3206,0.0147,-0.1267,1.4658660000000001,0.9269232639979409,trimmed_to_CL_req
policy_A_performance_candidate,AVL,4.83981,0.1762912795645028,3.0247,1.0808,1.3319,0.0139,-0.1269,1.43951752,0.9102621100568682,trimmed_to_CL_req
policy_A_performance_candidate,AVL,4.83981,0.21088859617424552,3.6183,1.06,1.3347,0.0132,-0.1266,1.414782,0.8946208925546637,trimmed_to_CL_req
policy_A_performance_candidate,AVL,4.83981,0.24810285940760257,4.2568,1.0376,1.3385,0.0128,-0.1265,1.3888276000000002,0.8782089305041707,trimmed_to_CL_req
policy_A_performance_candidate,AVL,4.83981,0.2875727091517363,4.934,1.0138,1.3425,0.0125,-0.1265,1.3610265000000001,0.8606292292526694,trimmed_to_CL_req
policy_A_performance_candidate,AVL,4.83981,0.32892512851597566,5.6435,0.989,1.3467,0.0125,-0.1266,1.3318863,0.8422027637383912,trimmed_to_CL_req
policy_A_performance_candidate,AVL,4.83981,0.3778952521943884,6.4837,0.9693,1.3406,0.0123,-0.1265,1.2994435800000002,0.8216879882300083,trimmed_to_CL_req
policy_A_performance_candidate,AVL,4.83981,0.43429074335272244,7.4513,0.9553,1.3224,0.0126,-0.1263,1.26328872,0.7988258842992338,trimmed_to_CL_req
policy_A_performance_candidate,AVL,4.83981,0.49151386573723294,8.4331,0.9412,1.2999,0.0135,-0.1259,1.22346588,0.7736443760068881,trimmed_to_CL_req
policy_A_performance_candidate,AVL,4.83981,0.5433573851515964,9.3226,0.9354,1.2529,0.0126,-0.1203,1.17196266,0.7410769156873199,trimmed_to_CL_req
policy_A_performance_candidate,AVL,4.83981,0.5893142317600569,10.1111,0.938,1.1856,0.0099,-0.11,1.1120927999999999,0.7032189081707394,trimmed_to_CL_req
policy_A_performance_candidate,AVL,4.83981,0.6346124704209263,10.8883,0.9405,1.1177,0.0078,-0.0998,1.05119685,0.6647120646132414,trimmed_to_CL_req
policy_A_performance_candidate,AVL,4.83981,0.6788033151876158,11.6465,0.9431,1.0532,0.0062,-0.0901,0.99327292,0.628084543230531,trimmed_to_CL_req
policy_A_performance_candidate,AVL,4.83981,0.7217585415039575,12.3835,0.9488,0.9991,0.0064,-0.085,0.9479460799999999,0.5994226447490105,trimmed_to_CL_req
