case_label,requested_target_main_tip_z_m,target_shape_z_scale_generator,dihedral_exponent,returncode,summary_path,case_dir,candidate_avl_artifact,design_report,run_succeeded,overall_feasible,tube_mass_kg,total_structural_mass_kg,tube_mass_margin_vs_11p7534_kg,passes_11p7534_tube_mass_line,jig_ground_clearance_min_m,max_jig_vertical_prebend_m,max_jig_vertical_curvature_per_m,equivalent_tip_deflection_m,equivalent_twist_max_deg,equivalent_failure_index,equivalent_buckling_index,loaded_shape_main_z_error_max_m,target_shape_error_max_m,selected_source,failures,coarse_candidate_count,coarse_feasible_count,rib_design_key,rib_effective_knockdown,message,main_r_mm,main_t_mm,rear_r_mm,rear_t_mm,actual_target_main_tip_z_m,actual_target_rear_tip_z_m,actual_target_root_main_z_m,actual_target_root_rear_z_m,export_csv_target_main_tip_z_m,export_csv_target_rear_tip_z_m,export_csv_target_root_main_z_m,export_csv_target_root_rear_z_m,jig_main_tip_z_m,jig_rear_tip_z_m
target_main_tip_z_1p065m,1.065,0.9999968093287014,1.0,0,/Volumes/Samsung SSD/hpa-mdo/output/phase10_3_smooth_z_state_mass_sweep/runs/target_main_tip_z_1p065m/direct_dual_beam_inverse_design_refresh_summary.json,/Volumes/Samsung SSD/hpa-mdo/output/phase10_3_smooth_z_state_mass_sweep/runs/target_main_tip_z_1p065m,/Volumes/Samsung SSD/hpa-mdo/output/phase10_3_smooth_z_state_mass_sweep/candidate_avl_artifacts/target_main_tip_z_1p065m.json,/Volumes/Samsung SSD/hpa-mdo/output/blackcat_004/ansys/crossval_report.txt,True,True,77.01360725359352,79.51360725359352,-65.26020725359352,False,0.0651858601168413,0.11885153327799114,0.032189149701204345,-0.1020850822386167,0.03960302844008356,-0.9431038100186565,-0.904445610180528,0.0,5.551115123125783e-17,coarse_grid,,,,baseline_uniform,0.5033005210586652,analysis complete,"[30.635,30.635,30.635,30.635,22.975,15.0]","[8.0,8.0,8.0,8.0,8.0,8.0]","[10.0,10.0,10.0,10.0,10.0,10.0]","[8.0,8.0,8.0,8.0,8.0,8.0]",1.0649999980758569,1.0589876538066116,0.07143912961806514,0.0651858601168413,1.0650034,1.05899103,0.0714391296,0.0651858601,1.12014970651,1.17783918708
target_main_tip_z_1p500m,1.5,1.4084462103221147,1.0,0,/Volumes/Samsung SSD/hpa-mdo/output/phase10_3_smooth_z_state_mass_sweep/runs/target_main_tip_z_1p500m/direct_dual_beam_inverse_design_refresh_summary.json,/Volumes/Samsung SSD/hpa-mdo/output/phase10_3_smooth_z_state_mass_sweep/runs/target_main_tip_z_1p500m,/Volumes/Samsung SSD/hpa-mdo/output/phase10_3_smooth_z_state_mass_sweep/candidate_avl_artifacts/target_main_tip_z_1p500m.json,/Volumes/Samsung SSD/hpa-mdo/output/blackcat_004/ansys/crossval_report.txt,True,True,77.01360725359352,79.51360725359352,-65.26020725359352,False,0.0651858601168413,0.11885153327799114,0.032189149701204345,-0.1020850822386167,0.03960302844008356,-0.9431038100186565,-0.904445610180528,0.0,5.551115123125783e-17,coarse_grid,,,,baseline_uniform,0.5033005210586652,analysis complete,"[30.635,30.635,30.635,30.635,22.975,15.0]","[8.0,8.0,8.0,8.0,8.0,8.0]","[10.0,10.0,10.0,10.0,10.0,10.0]","[8.0,8.0,8.0,8.0,8.0,8.0]",1.4999999972926392,1.4915319067725603,0.07143912961806514,0.0651858601168413,1.0650034,1.05899103,0.0714391296,0.0651858601,1.55514970572,1.61038344005
target_main_tip_z_2p000m,2.0,1.8779282804294861,1.0,0,/Volumes/Samsung SSD/hpa-mdo/output/phase10_3_smooth_z_state_mass_sweep/runs/target_main_tip_z_2p000m/direct_dual_beam_inverse_design_refresh_summary.json,/Volumes/Samsung SSD/hpa-mdo/output/phase10_3_smooth_z_state_mass_sweep/runs/target_main_tip_z_2p000m,/Volumes/Samsung SSD/hpa-mdo/output/phase10_3_smooth_z_state_mass_sweep/candidate_avl_artifacts/target_main_tip_z_2p000m.json,/Volumes/Samsung SSD/hpa-mdo/output/blackcat_004/ansys/crossval_report.txt,True,True,77.01360725359352,79.51360725359352,-65.26020725359352,False,0.0651858601168413,0.11885153327799136,0.03218914970120035,-0.1020850822386167,0.03960302844008356,-0.9431038100186565,-0.904445610180528,0.0,2.220446049250313e-16,coarse_grid,,,,baseline_uniform,0.5033005210586652,analysis complete,"[30.635,30.635,30.635,30.635,22.975,15.0]","[8.0,8.0,8.0,8.0,8.0,8.0]","[10.0,10.0,10.0,10.0,10.0,10.0]","[8.0,8.0,8.0,8.0,8.0,8.0]",1.9999999963901858,1.9887092090300804,0.07143912961806514,0.0651858601168413,1.0650034,1.05899103,0.0714391296,0.0651858601,2.05514970482,2.10756074231
target_main_tip_z_2p500m,2.5,2.3474103505368578,1.0,0,/Volumes/Samsung SSD/hpa-mdo/output/phase10_3_smooth_z_state_mass_sweep/runs/target_main_tip_z_2p500m/direct_dual_beam_inverse_design_refresh_summary.json,/Volumes/Samsung SSD/hpa-mdo/output/phase10_3_smooth_z_state_mass_sweep/runs/target_main_tip_z_2p500m,/Volumes/Samsung SSD/hpa-mdo/output/phase10_3_smooth_z_state_mass_sweep/candidate_avl_artifacts/target_main_tip_z_2p500m.json,/Volumes/Samsung SSD/hpa-mdo/output/blackcat_004/ansys/crossval_report.txt,True,True,13.981704076910821,16.481704076910823,-2.228304076910822,False,0.04370155341677894,2.0844176349073797,0.10362241739759315,1.4422293406134696,0.18358504555521424,-0.6571799213597888,-0.8434695447618955,0.0,5.551115123125783e-17,coarse_grid,,,,baseline_uniform,0.5033005210586652,analysis complete,"[34.9239,34.9239,34.9239,34.9239,27.2639,19.288899999999998]","[0.8,0.8,0.8,0.8,0.8,0.8]","[10.0,10.0,10.0,10.0,10.0,10.0]","[0.8,0.8,0.8,0.8,3.8,3.8]",2.4999999954877317,2.4858865112876,0.07143912961806514,0.0651858601168413,1.0650034,1.05899103,0.0714391296,0.0651858601,0.507037452978,0.40146887638
target_main_tip_z_2p550m,2.55,2.3943585575475947,1.0,0,/Volumes/Samsung SSD/hpa-mdo/output/phase10_3_smooth_z_state_mass_sweep/runs/target_main_tip_z_2p550m/direct_dual_beam_inverse_design_refresh_summary.json,/Volumes/Samsung SSD/hpa-mdo/output/phase10_3_smooth_z_state_mass_sweep/runs/target_main_tip_z_2p550m,/Volumes/Samsung SSD/hpa-mdo/output/phase10_3_smooth_z_state_mass_sweep/candidate_avl_artifacts/target_main_tip_z_2p550m.json,/Volumes/Samsung SSD/hpa-mdo/output/blackcat_004/ansys/crossval_report.txt,True,True,13.981704076910821,16.481704076910823,-2.228304076910822,False,0.043991694935845226,2.0844176349073797,0.10362241739759315,1.4422293406134696,0.18358504555521424,-0.6571799213597888,-0.8434695447618955,0.0,0.0,coarse_grid,,,,baseline_uniform,0.5033005210586652,analysis complete,"[34.9239,34.9239,34.9239,34.9239,27.2639,19.288899999999998]","[0.8,0.8,0.8,0.8,0.8,0.8]","[10.0,10.0,10.0,10.0,10.0,10.0]","[0.8,0.8,0.8,0.8,3.8,3.8]",2.5500000000025613,2.5356042460924297,0.07143912961806514,0.0651858601168413,1.0650034,1.05899103,0.0714391296,0.0651858601,0.557037457493,0.451186611185
target_main_tip_z_2p600m,2.6,2.441306764558332,1.0,0,/Volumes/Samsung SSD/hpa-mdo/output/phase10_3_smooth_z_state_mass_sweep/runs/target_main_tip_z_2p600m/direct_dual_beam_inverse_design_refresh_summary.json,/Volumes/Samsung SSD/hpa-mdo/output/phase10_3_smooth_z_state_mass_sweep/runs/target_main_tip_z_2p600m,/Volumes/Samsung SSD/hpa-mdo/output/phase10_3_smooth_z_state_mass_sweep/candidate_avl_artifacts/target_main_tip_z_2p600m.json,/Volumes/Samsung SSD/hpa-mdo/output/blackcat_004/ansys/crossval_report.txt,True,True,11.926193825696817,14.426193825696817,-0.172793825696818,False,0.007483532982702323,2.3282877361803274,0.09234983890532625,1.60483181024251,0.16757192486115,-0.6167226862426904,-0.8300327058055262,0.0,5.551115123125783e-17,coarse_grid,,,,baseline_uniform,0.5033005210586652,analysis complete,"[34.9239,34.9239,34.9239,34.9239,31.482040134862082,27.89864164602724]","[0.8,0.8,0.8,0.8,0.8,0.8]","[11.200000000000001,11.200000000000001,11.200000000000001,11.200000000000001,11.200000000000001,11.200000000000001]","[0.8,0.8,0.8,0.8,0.8,0.8]",2.6000000000017764,2.585321976407137,0.07143912961806514,0.0651858601168413,1.0650034,1.05899103,0.0714391296,0.0651858601,0.44214754156,0.257034240227
target_main_tip_z_2p625m,2.625,2.4647808680637007,1.0,0,/Volumes/Samsung SSD/hpa-mdo/output/phase10_3_smooth_z_state_mass_sweep/runs/target_main_tip_z_2p625m/direct_dual_beam_inverse_design_refresh_summary.json,/Volumes/Samsung SSD/hpa-mdo/output/phase10_3_smooth_z_state_mass_sweep/runs/target_main_tip_z_2p625m,/Volumes/Samsung SSD/hpa-mdo/output/phase10_3_smooth_z_state_mass_sweep/candidate_avl_artifacts/target_main_tip_z_2p625m.json,/Volumes/Samsung SSD/hpa-mdo/output/blackcat_004/ansys/crossval_report.txt,True,True,11.926193825696817,14.426193825696817,-0.172793825696818,False,0.020514216667208984,2.3282877361803274,0.09234983890532625,1.60483181024251,0.16757192486115,-0.6167226862426904,-0.8300327058055262,0.0,5.551115123125783e-17,coarse_grid,,,,baseline_uniform,0.5033005210586652,analysis complete,"[34.9239,34.9239,34.9239,34.9239,31.482040134862082,27.89864164602724]","[0.8,0.8,0.8,0.8,0.8,0.8]","[11.200000000000001,11.200000000000001,11.200000000000001,11.200000000000001,11.200000000000001,11.200000000000001]","[0.8,0.8,0.8,0.8,0.8,0.8]",2.6249999999960587,2.610180841559196,0.07143912961806514,0.0651858601168413,1.0650034,1.05899103,0.0714391296,0.0651858601,0.467147541554,0.281893105379
target_main_tip_z_2p638m,2.6375,2.476517919816385,1.0,0,/Volumes/Samsung SSD/hpa-mdo/output/phase10_3_smooth_z_state_mass_sweep/runs/target_main_tip_z_2p638m/direct_dual_beam_inverse_design_refresh_summary.json,/Volumes/Samsung SSD/hpa-mdo/output/phase10_3_smooth_z_state_mass_sweep/runs/target_main_tip_z_2p638m,/Volumes/Samsung SSD/hpa-mdo/output/phase10_3_smooth_z_state_mass_sweep/candidate_avl_artifacts/target_main_tip_z_2p638m.json,/Volumes/Samsung SSD/hpa-mdo/output/blackcat_004/ansys/crossval_report.txt,True,True,11.926193825696817,14.426193825696817,-0.172793825696818,False,0.02702955851501332,2.3282877361803274,0.09234983890532625,1.60483181024251,0.16757192486115,-0.6167226862426904,-0.8300327058055262,0.0,5.551115123125783e-17,coarse_grid,,,,baseline_uniform,0.5033005210586652,analysis complete,"[34.9239,34.9239,34.9239,34.9239,31.482040134862082,27.89864164602724]","[0.8,0.8,0.8,0.8,0.8,0.8]","[11.200000000000001,11.200000000000001,11.200000000000001,11.200000000000001,11.200000000000001,11.200000000000001]","[0.8,0.8,0.8,0.8,0.8,0.8]",2.63750000000385,2.622610274145815,0.07143912961806514,0.0651858601168413,1.0650034,1.05899103,0.0714391296,0.0651858601,0.479647541562,0.294322537965
target_main_tip_z_2p645m,2.645,2.4835601508679956,1.0,0,/Volumes/Samsung SSD/hpa-mdo/output/phase10_3_smooth_z_state_mass_sweep/runs/target_main_tip_z_2p645m/direct_dual_beam_inverse_design_refresh_summary.json,/Volumes/Samsung SSD/hpa-mdo/output/phase10_3_smooth_z_state_mass_sweep/runs/target_main_tip_z_2p645m,/Volumes/Samsung SSD/hpa-mdo/output/phase10_3_smooth_z_state_mass_sweep/candidate_avl_artifacts/target_main_tip_z_2p645m.json,/Volumes/Samsung SSD/hpa-mdo/output/blackcat_004/ansys/crossval_report.txt,True,True,11.926193825696817,14.426193825696817,-0.172793825696818,False,0.03093876362036485,2.3282877361803274,0.09234983890532625,1.60483181024251,0.16757192486115,-0.6167226862426904,-0.8300327058055262,0.0,5.551115123125783e-17,coarse_grid,,,,baseline_uniform,0.5033005210586652,analysis complete,"[34.9239,34.9239,34.9239,34.9239,31.482040134862082,27.89864164602724]","[0.8,0.8,0.8,0.8,0.8,0.8]","[11.200000000000001,11.200000000000001,11.200000000000001,11.200000000000001,11.200000000000001,11.200000000000001]","[0.8,0.8,0.8,0.8,0.8,0.8]",2.6450000000021348,2.630067933691432,0.07143912961806514,0.0651858601168413,1.0650034,1.05899103,0.0714391296,0.0651858601,0.48714754156,0.301780197511
target_main_tip_z_2p650m,2.65,2.488254971569069,1.0,0,/Volumes/Samsung SSD/hpa-mdo/output/phase10_3_smooth_z_state_mass_sweep/runs/target_main_tip_z_2p650m/direct_dual_beam_inverse_design_refresh_summary.json,/Volumes/Samsung SSD/hpa-mdo/output/phase10_3_smooth_z_state_mass_sweep/runs/target_main_tip_z_2p650m,/Volumes/Samsung SSD/hpa-mdo/output/phase10_3_smooth_z_state_mass_sweep/candidate_avl_artifacts/target_main_tip_z_2p650m.json,/Volumes/Samsung SSD/hpa-mdo/output/blackcat_004/ansys/crossval_report.txt,True,True,11.594853873122727,14.094853873122727,0.15854612687727254,True,0.001469095758575456,2.36324017092206,0.1036778472892338,1.6350675525840723,0.18347995406547254,-0.6109861181799907,-0.8281746417396574,0.0,3.552713678800501e-15,coarse_grid,,,,baseline_uniform,0.5033005210586652,analysis complete,"[34.9239,34.9239,34.9239,34.9239,31.482040134862082,27.89864164602724]","[0.8,0.8,0.8,0.8,0.8,0.8]","[10.0,10.0,10.0,10.0,10.0,10.0]","[0.8,0.8,0.8,0.8,0.8,0.8]",2.650000000000991,2.635039706721844,0.07143912961806514,0.0651858601168413,1.0650034,1.05899103,0.0714391296,0.0651858601,0.455927680751,0.2717995358
