quantity,value,z_reference_type,source,effective_dihedral_deg,tube_mass_kg,jig_ground_clearance_min_m
span_m,34.332286,geometry,/Volumes/Samsung SSD/hpa-mdo/output/final_candidate_validation/smooth_tier2_production_baseline/geometry_exports/production_inspection/smooth_tier2_production_baseline/section_table.csv,,,
semi_span_m,17.166143,geometry,/Volumes/Samsung SSD/hpa-mdo/output/final_candidate_validation/smooth_tier2_production_baseline/geometry_exports/production_inspection/smooth_tier2_production_baseline/section_table.csv,,,
current_exported_aerodynamic_surface_tip_z_m,1.050581644,aerodynamic_section_reference,/Volumes/Samsung SSD/hpa-mdo/output/final_candidate_validation/smooth_tier2_production_baseline/geometry_exports/production_inspection/smooth_tier2_production_baseline/section_table.csv,,,
current_aero_surface_effective_dihedral_deg,3.502179251635709,aerodynamic_section_reference,/Volumes/Samsung SSD/hpa-mdo/output/final_candidate_validation/smooth_tier2_production_baseline/geometry_exports/production_inspection/smooth_tier2_production_baseline/section_table.csv,,,
current_beam_line_main_tip_z_m_at_6deg_sweep,1.8042343324768007,main_spar_beam_line,/Volumes/Samsung SSD/hpa-mdo/output/phase11_structure_budgeted_z_state_search_mvp/z_state_structure_budget_sweep.csv,,,
current_beam_line_rear_tip_z_m_at_6deg_sweep,1.794048719360518,rear_spar_beam_line,/Volumes/Samsung SSD/hpa-mdo/output/phase11_structure_budgeted_z_state_search_mvp/z_state_structure_budget_sweep.csv,,,
target_main_tip_z_m_6deg,1.8042343324768007,main_spar_beam_line,/Volumes/Samsung SSD/hpa-mdo/output/phase11_structure_budgeted_z_state_search_mvp/z_state_structure_budget_sweep.csv,6.000000000002,77.01360725359352,0.0651858601168413
target_main_tip_z_m_7deg,2.1077373306475558,main_spar_beam_line,/Volumes/Samsung SSD/hpa-mdo/output/phase11_structure_budgeted_z_state_search_mvp/z_state_structure_budget_sweep.csv,6.999999999987,15.518634942853357,0.034259327214236746
target_main_tip_z_m_8deg,2.4125440658382575,main_spar_beam_line,/Volumes/Samsung SSD/hpa-mdo/output/phase11_structure_budgeted_z_state_search_mvp/z_state_structure_budget_sweep.csv,7.999999999992,13.981704076910821,0.032564940880708715
target_main_tip_z_m_8p9deg_2p70m,2.7000000000002062,main_spar_beam_line,/Volumes/Samsung SSD/hpa-mdo/output/phase11_structure_budgeted_z_state_search_mvp/z_state_structure_budget_sweep.csv,8.938613407924,11.594853873122727,0.02753046313313945
target_main_tip_z_m_13p9deg_4p25m,4.249999999997169,main_spar_beam_line,/Volumes/Samsung SSD/hpa-mdo/output/phase11_structure_budgeted_z_state_search_mvp/z_state_structure_budget_sweep.csv,13.905689643629,9.68940044080386,0.04443739171417006
