target_main_tip_z_m,role,status,recipe_id,recipe_signature,tube_mass_kg,total_structural_mass_kg,jig_ground_clearance_margin_m,moment_closure_status,wire_feasible,inverse_feasible,clearance_feasible,geometry_validity,production_hard_feasible,production_blockers,main_tube_od_mm,main_tube_id_mm,main_tube_wall_mm,rear_tube_od_mm,rear_tube_id_mm,rear_tube_wall_mm,score_objective_value_kg
1.8,selected,present,393065cace98,"baseline_uniform|1.000000,1.000000,1.000000,0.850000,0.020000",17.10735688964509,19.60735688964509,0.01956179169109995,fail,True,True,True,True,False,moment_closure,"[69.8478,69.8478,69.8478,69.8478,62.96408,55.797283]","[67.9598,67.9598,67.9598,67.9598,61.07608,53.909283]","[0.944,0.944,0.944,0.944,0.944,0.944]","[22.4,22.4,22.4,22.4,22.4,22.4]","[20.512,20.512,20.512,20.512,15.412,15.412]","[0.944,0.944,0.944,0.944,3.494,3.494]",19.640690222978424
1.8,nearest_production_hard_feasible,none,,,,,,,,,,,,,,,,,,,
1.8,first_light_nearly_passes,present,393065cace98,"baseline_uniform|1.000000,1.000000,1.000000,0.850000,0.020000",17.10735688964509,19.60735688964509,0.01956179169109995,fail,True,True,True,True,False,moment_closure,"[69.8478,69.8478,69.8478,69.8478,62.96408,55.797283]","[67.9598,67.9598,67.9598,67.9598,61.07608,53.909283]","[0.944,0.944,0.944,0.944,0.944,0.944]","[22.4,22.4,22.4,22.4,22.4,22.4]","[20.512,20.512,20.512,20.512,15.412,15.412]","[0.944,0.944,0.944,0.944,3.494,3.494]",19.640690222978424
1.8,lowest_inverse_feasible,present,393065cace98,"baseline_uniform|1.000000,1.000000,1.000000,0.850000,0.020000",17.10735688964509,19.60735688964509,0.01956179169109995,fail,True,True,True,True,False,moment_closure,"[69.8478,69.8478,69.8478,69.8478,62.96408,55.797283]","[67.9598,67.9598,67.9598,67.9598,61.07608,53.909283]","[0.944,0.944,0.944,0.944,0.944,0.944]","[22.4,22.4,22.4,22.4,22.4,22.4]","[20.512,20.512,20.512,20.512,15.412,15.412]","[0.944,0.944,0.944,0.944,3.494,3.494]",19.640690222978424
1.9,selected,present,e99939a6db58,"baseline_uniform|1.000000,1.000000,1.000000,1.000000,0.010000",16.541260309274975,19.041260309274975,0.02144383869914024,fail,True,True,True,True,False,moment_closure,"[69.8478,69.8478,69.8478,69.8478,62.96408,55.797283]","[68.1038,68.1038,68.1038,68.1038,61.22008,54.053283]","[0.872,0.872,0.872,0.872,0.872,0.872]","[22.4,22.4,22.4,22.4,22.4,22.4]","[20.656,20.656,20.656,20.656,14.656,14.656]","[0.872,0.872,0.872,0.872,3.872,3.872]",19.091260309274976
1.9,nearest_production_hard_feasible,none,,,,,,,,,,,,,,,,,,,
1.9,first_light_nearly_passes,present,e99939a6db58,"baseline_uniform|1.000000,1.000000,1.000000,1.000000,0.010000",16.541260309274975,19.041260309274975,0.02144383869914024,fail,True,True,True,True,False,moment_closure,"[69.8478,69.8478,69.8478,69.8478,62.96408,55.797283]","[68.1038,68.1038,68.1038,68.1038,61.22008,54.053283]","[0.872,0.872,0.872,0.872,0.872,0.872]","[22.4,22.4,22.4,22.4,22.4,22.4]","[20.656,20.656,20.656,20.656,14.656,14.656]","[0.872,0.872,0.872,0.872,3.872,3.872]",19.091260309274976
1.9,lowest_inverse_feasible,present,e99939a6db58,"baseline_uniform|1.000000,1.000000,1.000000,1.000000,0.010000",16.541260309274975,19.041260309274975,0.02144383869914024,fail,True,True,True,True,False,moment_closure,"[69.8478,69.8478,69.8478,69.8478,62.96408,55.797283]","[68.1038,68.1038,68.1038,68.1038,61.22008,54.053283]","[0.872,0.872,0.872,0.872,0.872,0.872]","[22.4,22.4,22.4,22.4,22.4,22.4]","[20.656,20.656,20.656,20.656,14.656,14.656]","[0.872,0.872,0.872,0.872,3.872,3.872]",19.091260309274976
2.0,selected,present,4a5b3187fd18,"baseline_uniform|1.000000,1.000000,1.000000,1.000000,0.005000",16.030394935000167,18.530394935000167,0.027652108802134978,fail,True,True,True,True,False,moment_closure,"[69.8478,69.8478,69.8478,69.8478,62.96408,55.797283]","[68.1758,68.1758,68.1758,68.1758,61.29208,54.125283]","[0.836,0.836,0.836,0.836,0.836,0.836]","[22.4,22.4,22.4,22.4,22.4,22.4]","[20.728,20.728,20.728,20.728,14.728,14.728]","[0.836,0.836,0.836,0.836,3.836,3.836]",18.580394935000168
2.0,nearest_production_hard_feasible,none,,,,,,,,,,,,,,,,,,,
2.0,first_light_nearly_passes,present,4a5b3187fd18,"baseline_uniform|1.000000,1.000000,1.000000,1.000000,0.005000",16.030394935000167,18.530394935000167,0.027652108802134978,fail,True,True,True,True,False,moment_closure,"[69.8478,69.8478,69.8478,69.8478,62.96408,55.797283]","[68.1758,68.1758,68.1758,68.1758,61.29208,54.125283]","[0.836,0.836,0.836,0.836,0.836,0.836]","[22.4,22.4,22.4,22.4,22.4,22.4]","[20.728,20.728,20.728,20.728,14.728,14.728]","[0.836,0.836,0.836,0.836,3.836,3.836]",18.580394935000168
2.0,lowest_inverse_feasible,present,4a5b3187fd18,"baseline_uniform|1.000000,1.000000,1.000000,1.000000,0.005000",16.030394935000167,18.530394935000167,0.027652108802134978,fail,True,True,True,True,False,moment_closure,"[69.8478,69.8478,69.8478,69.8478,62.96408,55.797283]","[68.1758,68.1758,68.1758,68.1758,61.29208,54.125283]","[0.836,0.836,0.836,0.836,0.836,0.836]","[22.4,22.4,22.4,22.4,22.4,22.4]","[20.728,20.728,20.728,20.728,14.728,14.728]","[0.836,0.836,0.836,0.836,3.836,3.836]",18.580394935000168
2.025,selected,present,af16a58c3b00,"baseline_uniform|1.000000,1.000000,1.000000,1.000000,0.000000",15.518634942853357,18.018634942853357,0.000271897390967224,fail,True,True,True,True,False,moment_closure,"[69.8478,69.8478,69.8478,69.8478,62.96408,55.797283]","[68.2478,68.2478,68.2478,68.2478,61.36408,54.197283]","[0.8,0.8,0.8,0.8,0.8,0.8]","[22.4,22.4,22.4,22.4,22.4,22.4]","[20.8,20.8,20.8,20.8,14.8,14.8]","[0.8,0.8,0.8,0.8,3.8,3.8]",18.279675965030187
2.025,nearest_production_hard_feasible,none,,,,,,,,,,,,,,,,,,,
2.025,first_light_nearly_passes,present,af16a58c3b00,"baseline_uniform|1.000000,1.000000,1.000000,1.000000,0.000000",15.518634942853357,18.018634942853357,0.000271897390967224,fail,True,True,True,True,False,moment_closure,"[69.8478,69.8478,69.8478,69.8478,62.96408,55.797283]","[68.2478,68.2478,68.2478,68.2478,61.36408,54.197283]","[0.8,0.8,0.8,0.8,0.8,0.8]","[22.4,22.4,22.4,22.4,22.4,22.4]","[20.8,20.8,20.8,20.8,14.8,14.8]","[0.8,0.8,0.8,0.8,3.8,3.8]",18.279675965030187
2.025,lowest_inverse_feasible,present,af16a58c3b00,"baseline_uniform|1.000000,1.000000,1.000000,1.000000,0.000000",15.518634942853357,18.018634942853357,0.000271897390967224,fail,True,True,True,True,False,moment_closure,"[69.8478,69.8478,69.8478,69.8478,62.96408,55.797283]","[68.2478,68.2478,68.2478,68.2478,61.36408,54.197283]","[0.8,0.8,0.8,0.8,0.8,0.8]","[22.4,22.4,22.4,22.4,22.4,22.4]","[20.8,20.8,20.8,20.8,14.8,14.8]","[0.8,0.8,0.8,0.8,3.8,3.8]",18.279675965030187
2.05,selected,present,b5864a496c4f,"baseline_uniform|1.000000,1.000000,1.000000,0.950000,0.000000",15.36777259818625,17.86777259818625,0.0019172404496774487,fail,True,True,True,True,False,moment_closure,"[69.8478,69.8478,69.8478,69.8478,62.96408,55.797283]","[68.2478,68.2478,68.2478,68.2478,61.36408,54.197283]","[0.8,0.8,0.8,0.8,0.8,0.8]","[22.4,22.4,22.4,22.4,22.4,22.4]","[20.8,20.8,20.8,20.8,15.1,15.1]","[0.8,0.8,0.8,0.8,3.65,3.65]",18.04738815934866
2.05,nearest_production_hard_feasible,none,,,,,,,,,,,,,,,,,,,
2.05,first_light_nearly_passes,present,b5864a496c4f,"baseline_uniform|1.000000,1.000000,1.000000,0.950000,0.000000",15.36777259818625,17.86777259818625,0.0019172404496774487,fail,True,True,True,True,False,moment_closure,"[69.8478,69.8478,69.8478,69.8478,62.96408,55.797283]","[68.2478,68.2478,68.2478,68.2478,61.36408,54.197283]","[0.8,0.8,0.8,0.8,0.8,0.8]","[22.4,22.4,22.4,22.4,22.4,22.4]","[20.8,20.8,20.8,20.8,15.1,15.1]","[0.8,0.8,0.8,0.8,3.65,3.65]",18.04738815934866
2.05,lowest_inverse_feasible,present,b5864a496c4f,"baseline_uniform|1.000000,1.000000,1.000000,0.950000,0.000000",15.36777259818625,17.86777259818625,0.0019172404496774487,fail,True,True,True,True,False,moment_closure,"[69.8478,69.8478,69.8478,69.8478,62.96408,55.797283]","[68.2478,68.2478,68.2478,68.2478,61.36408,54.197283]","[0.8,0.8,0.8,0.8,0.8,0.8]","[22.4,22.4,22.4,22.4,22.4,22.4]","[20.8,20.8,20.8,20.8,15.1,15.1]","[0.8,0.8,0.8,0.8,3.65,3.65]",18.04738815934866
2.1,selected,present,c28a00fc103c,"baseline_uniform|1.000000,1.000000,1.000000,0.850000,0.000000",15.056965894791809,17.55696589479181,0.004419579797761752,fail,True,True,True,True,False,moment_closure,"[69.8478,69.8478,69.8478,69.8478,62.96408,55.797283]","[68.2478,68.2478,68.2478,68.2478,61.36408,54.197283]","[0.8,0.8,0.8,0.8,0.8,0.8]","[22.4,22.4,22.4,22.4,22.4,22.4]","[20.8,20.8,20.8,20.8,15.7,15.7]","[0.8,0.8,0.8,0.8,3.35,3.35]",17.65413988477727
2.1,nearest_production_hard_feasible,none,,,,,,,,,,,,,,,,,,,
2.1,first_light_nearly_passes,present,c28a00fc103c,"baseline_uniform|1.000000,1.000000,1.000000,0.850000,0.000000",15.056965894791809,17.55696589479181,0.004419579797761752,fail,True,True,True,True,False,moment_closure,"[69.8478,69.8478,69.8478,69.8478,62.96408,55.797283]","[68.2478,68.2478,68.2478,68.2478,61.36408,54.197283]","[0.8,0.8,0.8,0.8,0.8,0.8]","[22.4,22.4,22.4,22.4,22.4,22.4]","[20.8,20.8,20.8,20.8,15.7,15.7]","[0.8,0.8,0.8,0.8,3.35,3.35]",17.65413988477727
2.1,lowest_inverse_feasible,present,c28a00fc103c,"baseline_uniform|1.000000,1.000000,1.000000,0.850000,0.000000",15.056965894791809,17.55696589479181,0.004419579797761752,fail,True,True,True,True,False,moment_closure,"[69.8478,69.8478,69.8478,69.8478,62.96408,55.797283]","[68.2478,68.2478,68.2478,68.2478,61.36408,54.197283]","[0.8,0.8,0.8,0.8,0.8,0.8]","[22.4,22.4,22.4,22.4,22.4,22.4]","[20.8,20.8,20.8,20.8,15.7,15.7]","[0.8,0.8,0.8,0.8,3.35,3.35]",17.65413988477727
2.2,selected,present,9a51827a493a,"baseline_uniform|1.000000,1.000000,0.000000,1.000000,0.000000",14.702920907067146,17.202920907067146,0.02268545964802371,fail,True,True,True,True,False,moment_closure,"[69.8478,69.8478,69.8478,69.8478,62.96408,55.797283]","[68.2478,68.2478,68.2478,68.2478,61.36408,54.197283]","[0.8,0.8,0.8,0.8,0.8,0.8]","[20.0,20.0,20.0,20.0,20.0,20.0]","[18.4,18.4,18.4,18.4,12.4,12.4]","[0.8,0.8,0.8,0.8,3.8,3.8]",17.252920907067146
2.2,nearest_production_hard_feasible,none,,,,,,,,,,,,,,,,,,,
2.2,first_light_nearly_passes,present,9a51827a493a,"baseline_uniform|1.000000,1.000000,0.000000,1.000000,0.000000",14.702920907067146,17.202920907067146,0.02268545964802371,fail,True,True,True,True,False,moment_closure,"[69.8478,69.8478,69.8478,69.8478,62.96408,55.797283]","[68.2478,68.2478,68.2478,68.2478,61.36408,54.197283]","[0.8,0.8,0.8,0.8,0.8,0.8]","[20.0,20.0,20.0,20.0,20.0,20.0]","[18.4,18.4,18.4,18.4,12.4,12.4]","[0.8,0.8,0.8,0.8,3.8,3.8]",17.252920907067146
2.2,lowest_inverse_feasible,present,9a51827a493a,"baseline_uniform|1.000000,1.000000,0.000000,1.000000,0.000000",14.702920907067146,17.202920907067146,0.02268545964802371,fail,True,True,True,True,False,moment_closure,"[69.8478,69.8478,69.8478,69.8478,62.96408,55.797283]","[68.2478,68.2478,68.2478,68.2478,61.36408,54.197283]","[0.8,0.8,0.8,0.8,0.8,0.8]","[20.0,20.0,20.0,20.0,20.0,20.0]","[18.4,18.4,18.4,18.4,12.4,12.4]","[0.8,0.8,0.8,0.8,3.8,3.8]",17.252920907067146
2.4,selected,present,03ed2cc96008,"baseline_uniform|1.000000,0.000000,0.000000,1.000000,0.000000",13.981704076910821,16.481704076910823,0.026026630716975196,fail,True,True,True,True,False,moment_closure,"[69.8478,69.8478,69.8478,69.8478,54.5278,38.5778]","[68.2478,68.2478,68.2478,68.2478,52.9278,36.9778]","[0.8,0.8,0.8,0.8,0.8,0.8]","[20.0,20.0,20.0,20.0,20.0,20.0]","[18.4,18.4,18.4,18.4,12.4,12.4]","[0.8,0.8,0.8,0.8,3.8,3.8]",16.531704076910824
2.4,nearest_production_hard_feasible,none,,,,,,,,,,,,,,,,,,,
2.4,first_light_nearly_passes,present,03ed2cc96008,"baseline_uniform|1.000000,0.000000,0.000000,1.000000,0.000000",13.981704076910821,16.481704076910823,0.026026630716975196,fail,True,True,True,True,False,moment_closure,"[69.8478,69.8478,69.8478,69.8478,54.5278,38.5778]","[68.2478,68.2478,68.2478,68.2478,52.9278,36.9778]","[0.8,0.8,0.8,0.8,0.8,0.8]","[20.0,20.0,20.0,20.0,20.0,20.0]","[18.4,18.4,18.4,18.4,12.4,12.4]","[0.8,0.8,0.8,0.8,3.8,3.8]",16.531704076910824
2.4,lowest_inverse_feasible,present,03ed2cc96008,"baseline_uniform|1.000000,0.000000,0.000000,1.000000,0.000000",13.981704076910821,16.481704076910823,0.026026630716975196,fail,True,True,True,True,False,moment_closure,"[69.8478,69.8478,69.8478,69.8478,54.5278,38.5778]","[68.2478,68.2478,68.2478,68.2478,52.9278,36.9778]","[0.8,0.8,0.8,0.8,0.8,0.8]","[20.0,20.0,20.0,20.0,20.0,20.0]","[18.4,18.4,18.4,18.4,12.4,12.4]","[0.8,0.8,0.8,0.8,3.8,3.8]",16.531704076910824
