ranking_view,source,combo_index,case_id,assignment,root_airfoil,mid1_airfoil,mid2_airfoil,tip_airfoil,status,error,known_policy_tags,selection_reasons,predicted_profile_cd_proxy,predicted_balanced_score,predicted_archive_pass,predicted_actual_query_pass,alpha_at_CL_req,CL_req,CL,CDi,CDi_conservative,e_CDi,profile_cd,CD0_total_est,CD_total,L_D,P_air,P_crank,P_crank_conservative,CD_total_conservative,L_D_conservative,local_Cl_max_root,local_Cl_max_mid1,local_Cl_max_mid2,local_Cl_max_tip,stall_margin,max_utilization,archive_source_quality,archive_source_quality_summary,actual_sidecar_query_quality,actual_sidecar_query_quality_summary,actual_sidecar_query_fail_reasons,target_vs_avl_rms,target_vs_avl_outer_delta,has_seed_reference,is_cst_only,no_ClarkY,no_DAE,avl_path,run_dir,display_name,variant,CLtot,CDi_source,CDind_near_field,profile_lookup_statuses,target_vs_avl_basis,stall_margin_basis
raw_best_tier2_performance_best,smooth_reoptimized_combo,17,raw_best_tier2,root:dae21|mid1:dae21|mid2:dae31|tip:cst_tip_nsga2_g05_child_0032_70ef8136,dae21,dae21,dae31,cst_tip_nsga2_g05_child_0032_70ef8136,ok,,,top_predicted_profile_proxy,0.009759339402966713,0.017326255356077902,False,False,-0.27825,1.1685305045195065,1.16853,0.0127917,0.013431285,0.9606245901838177,0.009174314789468056,0.013064194148286634,0.025855894148286634,45.19397000226891,141.06535407380917,170.8640432095557,175.09062607106642,0.026495479148286635,44.103014630519375,1.3152,1.319,1.269,0.8271,1.2346581151490277,0.9150318517806679,archive_not_mission_grade_sidecar,root:full_polar_candidate_not_mission_grade;mid1:full_polar_candidate_not_mission_grade;mid2:full_polar_mission_grade_candidate;tip:full_polar_mission_grade_candidate,actual_sidecar_query_grade_sidecar,root:actual_sidecar_query_grade;mid1:actual_sidecar_query_grade;mid2:mixed_actual_sidecar_query_quality;tip:,,0.05508224157967074,0.1438940502257774,True,False,True,False,/Volumes/Samsung SSD/hpa-mdo/output/phase9_smooth_geometry_combo_reoptimization/avl_inputs/raw_best_tier2/combo_0017/raw_best_tier2_combo_0017.avl,/Volumes/Samsung SSD/hpa-mdo/output/phase9_smooth_geometry_combo_reoptimization/avl_runs/raw_best_tier2/combo_0017,,,,,,,,
raw_best_tier2_clean_best,smooth_reoptimized_combo,5,raw_best_tier2,root:dae31|mid1:dae31|mid2:dae31|tip:cst_tip_nsga2_g05_child_0032_70ef8136,dae31,dae31,dae31,cst_tip_nsga2_g05_child_0032_70ef8136,ok,,,top_predicted_profile_proxy,0.00970449614537909,0.011203351564173502,True,False,-0.8142,1.1685305045195065,1.16853,0.0129716,0.01362018,0.9470908507557968,0.009148594178219874,0.01303847353703845,0.02601007353703845,44.92607461703306,141.90653055528853,171.88291007181266,176.16893477895658,0.026658653537038453,43.8330654208022,1.3375,1.3408,1.2633,0.7778,1.5893102910548056,0.8946382706464376,archive_mission_grade_sidecar,root:full_polar_mission_grade_candidate;mid1:full_polar_mission_grade_candidate;mid2:full_polar_mission_grade_candidate;tip:full_polar_mission_grade_candidate,actual_sidecar_query_grade_sidecar,root:mixed_actual_sidecar_query_quality;mid1:mixed_actual_sidecar_query_quality;mid2:mixed_actual_sidecar_query_quality;tip:,,0.0742370114194643,0.17758421771379607,True,False,True,False,/Volumes/Samsung SSD/hpa-mdo/output/phase9_smooth_geometry_combo_reoptimization/avl_inputs/raw_best_tier2/combo_0005/raw_best_tier2_combo_0005.avl,/Volumes/Samsung SSD/hpa-mdo/output/phase9_smooth_geometry_combo_reoptimization/avl_runs/raw_best_tier2/combo_0005,,,,,,,,
conservative_best_tier2_performance_best,smooth_reoptimized_combo,69,conservative_best_tier2,root:dae21|mid1:dae21|mid2:dae31|tip:cst_tip_nsga2_g05_child_0032_70ef8136,dae21,dae21,dae31,cst_tip_nsga2_g05_child_0032_70ef8136,ok,,,top_predicted_profile_proxy,0.009801498016895364,0.017419997823122105,False,False,0.76525,1.1685305045195065,1.16853,0.012787,0.01342635,0.9613730303376009,0.009172873212688679,0.013062752571507255,0.025849752571507255,45.20470752232703,141.0318466770823,170.82345769995436,175.0484876060761,0.026489102571507255,44.11363130800909,1.3144,1.3182,1.2685,0.8297,1.2427225133709998,0.9144768665786782,archive_not_mission_grade_sidecar,root:full_polar_candidate_not_mission_grade;mid1:full_polar_candidate_not_mission_grade;mid2:full_polar_mission_grade_candidate;tip:full_polar_mission_grade_candidate,actual_sidecar_query_grade_sidecar,root:actual_sidecar_query_grade;mid1:actual_sidecar_query_grade;mid2:mixed_actual_sidecar_query_quality;tip:,,0.05417187450394347,0.14183498774476044,True,False,True,False,/Volumes/Samsung SSD/hpa-mdo/output/phase9_smooth_geometry_combo_reoptimization/avl_inputs/conservative_best_tier2/combo_0069/conservative_best_tier2_combo_0069.avl,/Volumes/Samsung SSD/hpa-mdo/output/phase9_smooth_geometry_combo_reoptimization/avl_runs/conservative_best_tier2/combo_0069,,,,,,,,
conservative_best_tier2_clean_best,smooth_reoptimized_combo,83,conservative_best_tier2,root:dae31|mid1:dae31|mid2:dae31|tip:cst_tip_nsga2_g06_child_0056_b3f9b7c4,dae31,dae31,dae31,cst_tip_nsga2_g06_child_0056_b3f9b7c4,ok,,,top_predicted_profile_proxy,0.009912796942599151,0.011371496664754743,True,False,-0.23111,1.1685305045195065,1.16853,0.012501,0.01312605,0.9830641800617093,0.00950987045897662,0.013399749817795199,0.0259007498177952,45.11570177465146,141.3100789657489,171.16046386355242,175.29099478217506,0.0265257998177952,44.05260209102467,1.2907,1.2943,1.2255,0.9323,2.0573279384906464,0.8636115108127119,archive_mission_grade_sidecar,root:full_polar_mission_grade_candidate;mid1:full_polar_mission_grade_candidate;mid2:full_polar_mission_grade_candidate;tip:full_polar_mission_grade_candidate,actual_sidecar_query_grade_sidecar,root:mixed_actual_sidecar_query_quality;mid1:mixed_actual_sidecar_query_quality;mid2:mixed_actual_sidecar_query_quality;tip:,,0.029208587213611432,0.08845360496267712,True,False,True,False,/Volumes/Samsung SSD/hpa-mdo/output/phase9_smooth_geometry_combo_reoptimization/avl_inputs/conservative_best_tier2/combo_0083/conservative_best_tier2_combo_0083.avl,/Volumes/Samsung SSD/hpa-mdo/output/phase9_smooth_geometry_combo_reoptimization/avl_runs/conservative_best_tier2/combo_0083,,,,,,,,
policy_A_performance_candidate_performance_best,smooth_reoptimized_combo,137,policy_A_performance_candidate,root:dae21|mid1:dae21|mid2:dae31|tip:cst_tip_nsga2_g05_child_0032_70ef8136,dae21,dae21,dae31,cst_tip_nsga2_g05_child_0032_70ef8136,ok,,,top_predicted_profile_proxy,0.009711447421232984,0.01722104866700187,False,False,4.56422,1.1685305045195065,1.16853,0.0127745,0.013413224999999999,0.9636994505841681,0.009168164440569235,0.013058043930777717,0.02583254393077772,45.23482114850028,140.93795450347142,170.70973171447605,174.93063127750432,0.026471268930777718,44.143350572849755,1.3121,1.3158,1.2669,0.8384,1.2669157080369182,0.9128119109727089,archive_not_mission_grade_sidecar,root:full_polar_candidate_not_mission_grade;mid1:full_polar_candidate_not_mission_grade;mid2:full_polar_mission_grade_candidate;tip:full_polar_mission_grade_candidate,actual_sidecar_query_grade_sidecar,root:actual_sidecar_query_grade;mid1:actual_sidecar_query_grade;mid2:mixed_actual_sidecar_query_quality;tip:,,0.05124814677765074,0.13524752604564572,True,False,True,False,/Volumes/Samsung SSD/hpa-mdo/output/phase9_smooth_geometry_combo_reoptimization/avl_inputs/policy_A_performance_candidate/combo_0137/policy_A_performance_candidate_combo_0137.avl,/Volumes/Samsung SSD/hpa-mdo/output/phase9_smooth_geometry_combo_reoptimization/avl_runs/policy_A_performance_candidate/combo_0137,,,,,,,,
policy_A_performance_candidate_clean_best,smooth_reoptimized_combo,167,policy_A_performance_candidate,root:dae31|mid1:dae31|mid2:dae31|tip:cst_tip_nsga2_g06_child_0056_b3f9b7c4,dae31,dae31,dae31,cst_tip_nsga2_g06_child_0056_b3f9b7c4,ok,,,top_predicted_profile_proxy,0.009799877945099903,0.011107614733438118,True,False,3.58436,1.1685305045195065,1.16853,0.0125118,0.01313739,0.9836133488518805,0.009504726441338953,0.013394605931547433,0.025906405931547433,45.105851718957766,141.34093298410085,171.1978354943082,175.33193476650646,0.026531995931547432,44.04231432623147,1.2885,1.2921,1.225,0.9389,2.0794707089069653,0.8621435780893959,archive_mission_grade_sidecar,root:full_polar_mission_grade_candidate;mid1:full_polar_mission_grade_candidate;mid2:full_polar_mission_grade_candidate;tip:full_polar_mission_grade_candidate,actual_sidecar_query_grade_sidecar,root:mixed_actual_sidecar_query_quality;mid1:mixed_actual_sidecar_query_quality;mid2:mixed_actual_sidecar_query_quality;tip:,,0.028774367133660213,0.09130987999161738,True,False,True,False,/Volumes/Samsung SSD/hpa-mdo/output/phase9_smooth_geometry_combo_reoptimization/avl_inputs/policy_A_performance_candidate/combo_0167/policy_A_performance_candidate_combo_0167.avl,/Volumes/Samsung SSD/hpa-mdo/output/phase9_smooth_geometry_combo_reoptimization/avl_runs/policy_A_performance_candidate/combo_0167,,,,,,,,
policy_C_conservative_baseline_performance_best,smooth_reoptimized_combo,199,policy_C_conservative_baseline,root:dae21|mid1:dae21|mid2:dae31|tip:cst_tip_nsga2_g05_child_0032_70ef8136,dae21,dae21,dae31,cst_tip_nsga2_g05_child_0032_70ef8136,ok,,,top_predicted_profile_proxy,0.009749017433818476,0.01729040057251342,False,False,4.56422,1.1685305045195065,1.16853,0.0127745,0.013413224999999999,0.9636994505841681,0.009168164440569235,0.013058043930777717,0.02583254393077772,45.23482114850028,140.93795450347142,170.70973171447605,174.93063127750432,0.026471268930777718,44.143350572849755,1.3121,1.3158,1.2669,0.8384,1.2669157080369182,0.9128119109727089,archive_not_mission_grade_sidecar,root:full_polar_candidate_not_mission_grade;mid1:full_polar_candidate_not_mission_grade;mid2:full_polar_mission_grade_candidate;tip:full_polar_mission_grade_candidate,actual_sidecar_query_grade_sidecar,root:actual_sidecar_query_grade;mid1:actual_sidecar_query_grade;mid2:mixed_actual_sidecar_query_quality;tip:,,0.05124814677765074,0.13524752604564572,True,False,True,False,/Volumes/Samsung SSD/hpa-mdo/output/phase9_smooth_geometry_combo_reoptimization/avl_inputs/policy_C_conservative_baseline/combo_0199/policy_C_conservative_baseline_combo_0199.avl,/Volumes/Samsung SSD/hpa-mdo/output/phase9_smooth_geometry_combo_reoptimization/avl_runs/policy_C_conservative_baseline/combo_0199,,,,,,,,
policy_C_conservative_baseline_clean_best,smooth_reoptimized_combo,181,policy_C_conservative_baseline,root:dae31|mid1:dae31|mid2:dae31|tip:cst_tip_nsga2_g05_child_0032_70ef8136,dae31,dae31,dae31,cst_tip_nsga2_g05_child_0032_70ef8136,ok,,,top_predicted_profile_proxy,0.009641842456697783,0.011111260185055923,True,False,4.04521,1.1685305045195065,1.16853,0.0129384,0.01358532,0.9513123562936197,0.009125044061544465,0.013014923551752947,0.025953323551752946,45.024310747306245,141.59690751915457,171.5078821695186,175.78293691970725,0.026600243551752945,43.92931599464625,1.3334,1.3366,1.2615,0.7911,1.631582852758688,0.8918358536291979,archive_mission_grade_sidecar,root:full_polar_mission_grade_candidate;mid1:full_polar_mission_grade_candidate;mid2:full_polar_mission_grade_candidate;tip:full_polar_mission_grade_candidate,actual_sidecar_query_grade_sidecar,root:mixed_actual_sidecar_query_quality;mid1:mixed_actual_sidecar_query_quality;mid2:mixed_actual_sidecar_query_quality;tip:,,0.0693237671169886,0.16763419406743385,True,False,True,False,/Volumes/Samsung SSD/hpa-mdo/output/phase9_smooth_geometry_combo_reoptimization/avl_inputs/policy_C_conservative_baseline/combo_0181/policy_C_conservative_baseline_combo_0181.avl,/Volumes/Samsung SSD/hpa-mdo/output/phase9_smooth_geometry_combo_reoptimization/avl_runs/policy_C_conservative_baseline/combo_0181,,,,,,,,
smooth_reoptimized_overall_best,smooth_reoptimized_combo,137,policy_A_performance_candidate,root:dae21|mid1:dae21|mid2:dae31|tip:cst_tip_nsga2_g05_child_0032_70ef8136,dae21,dae21,dae31,cst_tip_nsga2_g05_child_0032_70ef8136,ok,,,top_predicted_profile_proxy,0.009711447421232984,0.01722104866700187,False,False,4.56422,1.1685305045195065,1.16853,0.0127745,0.013413224999999999,0.9636994505841681,0.009168164440569235,0.013058043930777717,0.02583254393077772,45.23482114850028,140.93795450347142,170.70973171447605,174.93063127750432,0.026471268930777718,44.143350572849755,1.3121,1.3158,1.2669,0.8384,1.2669157080369182,0.9128119109727089,archive_not_mission_grade_sidecar,root:full_polar_candidate_not_mission_grade;mid1:full_polar_candidate_not_mission_grade;mid2:full_polar_mission_grade_candidate;tip:full_polar_mission_grade_candidate,actual_sidecar_query_grade_sidecar,root:actual_sidecar_query_grade;mid1:actual_sidecar_query_grade;mid2:mixed_actual_sidecar_query_quality;tip:,,0.05124814677765074,0.13524752604564572,True,False,True,False,/Volumes/Samsung SSD/hpa-mdo/output/phase9_smooth_geometry_combo_reoptimization/avl_inputs/policy_A_performance_candidate/combo_0137/policy_A_performance_candidate_combo_0137.avl,/Volumes/Samsung SSD/hpa-mdo/output/phase9_smooth_geometry_combo_reoptimization/avl_runs/policy_A_performance_candidate/combo_0137,,,,,,,,
smooth_reoptimized_clean_overall_best,smooth_reoptimized_combo,83,conservative_best_tier2,root:dae31|mid1:dae31|mid2:dae31|tip:cst_tip_nsga2_g06_child_0056_b3f9b7c4,dae31,dae31,dae31,cst_tip_nsga2_g06_child_0056_b3f9b7c4,ok,,,top_predicted_profile_proxy,0.009912796942599151,0.011371496664754743,True,False,-0.23111,1.1685305045195065,1.16853,0.012501,0.01312605,0.9830641800617093,0.00950987045897662,0.013399749817795199,0.0259007498177952,45.11570177465146,141.3100789657489,171.16046386355242,175.29099478217506,0.0265257998177952,44.05260209102467,1.2907,1.2943,1.2255,0.9323,2.0573279384906464,0.8636115108127119,archive_mission_grade_sidecar,root:full_polar_mission_grade_candidate;mid1:full_polar_mission_grade_candidate;mid2:full_polar_mission_grade_candidate;tip:full_polar_mission_grade_candidate,actual_sidecar_query_grade_sidecar,root:mixed_actual_sidecar_query_quality;mid1:mixed_actual_sidecar_query_quality;mid2:mixed_actual_sidecar_query_quality;tip:,,0.029208587213611432,0.08845360496267712,True,False,True,False,/Volumes/Samsung SSD/hpa-mdo/output/phase9_smooth_geometry_combo_reoptimization/avl_inputs/conservative_best_tier2/combo_0083/conservative_best_tier2_combo_0083.avl,/Volumes/Samsung SSD/hpa-mdo/output/phase9_smooth_geometry_combo_reoptimization/avl_runs/conservative_best_tier2/combo_0083,,,,,,,,
phase9_raw_faceted_original,phase9_reference,,raw_best_tier2,root:cst_root_nsga2_g04_child_0066_2124fc90|mid1:dae21|mid2:cst_mid2_nsga2_g01_child_0046_9585b968|tip:cst_tip_nsga2_g04_child_0123_01770232,,,,,,,,,,,,,4.62415,1.1685305045195065,,0.0125445,0.013171725,0.9814022048769173,0.008835301188910885,0.012725180733704017,0.025269680733704017,46.24239288314205,137.867066949652,166.99014892157462,,,,1.3947,1.3686,1.1781,0.8322,0.07287987573678767,0.949440934304035,,,,,,0.05103195707212004,0.07377041044334359,,,,,/Volumes/Samsung SSD/hpa-mdo/output/final_candidate_validation/tier2_raw_vs_conservative/geometry_exports/avl_parity/raw_best_tier2/raw_best_tier2.avl,,Tier2 raw performance best,raw,1.16853,AVL_Trefftz_CDff,0.0125438,clamped_high_cl|interp_clean_nearest_re,normalized_half_span_lprime_shape,safe_clmax_minus_local_Cl_max
phase9_raw_smoothed_without_reselect,phase9_reference,,raw_best_tier2,root:cst_root_nsga2_g04_child_0066_2124fc90|mid1:dae21|mid2:cst_mid2_nsga2_g01_child_0046_9585b968|tip:cst_tip_nsga2_g04_child_0123_01770232,,,,,,,,,,,,,-0.39996,1.1685305045195065,,0.0128661,0.013509405,0.9550041667552719,0.010556117578181394,0.014445996936977623,0.02731209693697762,42.78435695420525,149.0101484333411,180.48709839309726,,,,1.365,1.3356,1.1667,0.8496,0.1016406076723082,0.926547794721956,,,,,,0.07992029976703345,0.12062244764692542,,,,,/Volumes/Samsung SSD/hpa-mdo/output/phase9_structure_jig_smooth_planform/VSP_exports/raw_best_tier2/smooth_monotone/raw_best_tier2_smooth_monotone.avl,,Tier2 raw performance best,smooth_monotone,1.16853,AVL_Trefftz_CDff,0.0128143,clamped_high_cl|interp_clean_nearest_re,normalized_half_span_lprime_shape,safe_clmax_minus_local_Cl_max
phase9_conservative_smooth_baseline,phase9_reference,,conservative_best_tier2,root:cst_root_nsga2_g05_child_0019_00cc4dca|mid1:cst_mid1_nsga2_g05_child_0114_b5496e0b|mid2:dae31|tip:clarkysm,,,,,,,,,,,,,-0.34349,1.1685305045195065,,0.0125481,0.013175505,0.9793574076013659,0.01081608397648078,0.01470596333527701,0.02725406333527701,42.875460078900915,148.69352698814473,180.1035937356404,,,,1.2974,1.3392,1.2543,0.8903,0.24440628609614468,0.8369218249342383,,,,,,0.036026132433962715,0.08533878047219179,,,,,/Volumes/Samsung SSD/hpa-mdo/output/phase9_structure_jig_smooth_planform/VSP_exports/conservative_best_tier2/smooth_monotone/conservative_best_tier2_smooth_monotone.avl,,Tier2 conservative best,smooth_monotone,1.16853,AVL_Trefftz_CDff,0.0125049,interp_clean_nearest_re,normalized_half_span_lprime_shape,safe_clmax_minus_local_Cl_max
phase9_policy_A_smooth,phase9_reference,,policy_A_performance_candidate,root:dae11|mid1:dae11|mid2:clarkysm|tip:clarkysm,,,,,,,,,,,,,4.69049,1.1685305045195065,,0.0126505,0.013283025,0.9732122762326378,0.01096311381239647,0.01485299330260102,0.02750349330260102,42.48662130526517,150.05436933178626,181.7519008379194,,,,1.3065,1.309,1.1792,0.944,0.12536865771533057,0.9039002991725352,,,,,,0.04950708988420082,0.11149832967253831,,,,,/Volumes/Samsung SSD/hpa-mdo/output/phase9_structure_jig_smooth_planform/VSP_exports/policy_A_performance_candidate/smooth_monotone/policy_A_performance_candidate_smooth_monotone.avl,,Policy A / D performance candidate,smooth_monotone,1.16853,AVL_Trefftz_CDff,0.0127069,interp_clean_nearest_re,normalized_half_span_lprime_shape,safe_clmax_minus_local_Cl_max
