combo_index,case_id,assignment,root_airfoil,mid1_airfoil,mid2_airfoil,tip_airfoil,status,error,known_policy_tags,selection_reasons,predicted_profile_cd_proxy,predicted_balanced_score,predicted_archive_pass,predicted_actual_query_pass,alpha_at_CL_req,CL_req,CL,CDi,CDi_conservative,e_CDi,profile_cd,CD0_total_est,CD_total,L_D,P_air,P_crank,P_crank_conservative,CD_total_conservative,L_D_conservative,local_Cl_max_root,local_Cl_max_mid1,local_Cl_max_mid2,local_Cl_max_tip,stall_margin,max_utilization,archive_source_quality,archive_source_quality_summary,actual_sidecar_query_quality,actual_sidecar_query_quality_summary,actual_sidecar_query_fail_reasons,target_vs_avl_rms,target_vs_avl_outer_delta,has_seed_reference,is_cst_only,no_ClarkY,no_DAE,avl_path,run_dir
1,raw_best_tier2,root:fx76mp140|mid1:dae31|mid2:dae31|tip:cst_tip_nsga2_g05_child_0032_70ef8136,fx76mp140,dae31,dae31,cst_tip_nsga2_g05_child_0032_70ef8136,ok,,,top_predicted_profile_proxy,0.009643276519751567,0.01316521318882598,False,False,-2.93957,1.1685305045195065,1.16853,0.0165352,0.01736196,0.7417936359121704,0.02230758115476686,0.026197460513585437,0.04273266051358544,27.34513813264706,233.14211650515563,282.39112948783384,287.85462479585794,0.04355942051358544,26.826126030649597,1.721,1.3788,1.0619,0.57,-3.0364958239760265,1.158555540699088,archive_not_mission_grade_sidecar,root:full_polar_candidate_not_mission_grade;mid1:full_polar_mission_grade_candidate;mid2:full_polar_mission_grade_candidate;tip:full_polar_mission_grade_candidate,actual_sidecar_query_not_mission_grade_sidecar,root:actual_sidecar_query_grade;mid1:mixed_actual_sidecar_query_quality;mid2:mixed_actual_sidecar_query_quality;tip:,"root:cl_outside_polar_envelope,insufficient_safe_clmax_margin",0.2753731257012387,0.31779507519073524,True,False,True,False,/Volumes/Samsung SSD/hpa-mdo/output/phase9_smooth_geometry_combo_reoptimization/avl_inputs/raw_best_tier2/combo_0001/raw_best_tier2_combo_0001.avl,/Volumes/Samsung SSD/hpa-mdo/output/phase9_smooth_geometry_combo_reoptimization/avl_runs/raw_best_tier2/combo_0001
2,raw_best_tier2,root:fx76mp140|mid1:dae31|mid2:dae31|tip:cst_tip_nsga2_g05_child_0102_33bdf605,fx76mp140,dae31,dae31,cst_tip_nsga2_g05_child_0102_33bdf605,ok,,,top_predicted_profile_proxy,0.009666548083966452,0.013259842135769865,False,False,-3.10381,1.1685305045195065,1.16853,0.0161246,0.01693083,0.7606828156068938,0.022462892880498176,0.026352772239316754,0.04247737223931675,27.509481941020894,231.74930716759923,280.70410267393316,286.03192915584845,0.04328360223931675,26.997071502012588,1.7044,1.3624,1.0485,0.6243,-2.8224851959630946,1.147380629615064,archive_not_mission_grade_sidecar,root:full_polar_candidate_not_mission_grade;mid1:full_polar_mission_grade_candidate;mid2:full_polar_mission_grade_candidate;tip:full_polar_mission_grade_candidate,actual_sidecar_query_not_mission_grade_sidecar,root:actual_sidecar_query_grade;mid1:mixed_actual_sidecar_query_quality;mid2:mixed_actual_sidecar_query_quality;tip:,"root:cl_outside_polar_envelope,insufficient_safe_clmax_margin",0.26202703965331803,0.27337694860854045,True,False,True,False,/Volumes/Samsung SSD/hpa-mdo/output/phase9_smooth_geometry_combo_reoptimization/avl_inputs/raw_best_tier2/combo_0002/raw_best_tier2_combo_0002.avl,/Volumes/Samsung SSD/hpa-mdo/output/phase9_smooth_geometry_combo_reoptimization/avl_runs/raw_best_tier2/combo_0002
3,raw_best_tier2,root:dae21|mid1:dae31|mid2:dae31|tip:cst_tip_nsga2_g05_child_0032_70ef8136,dae21,dae31,dae31,cst_tip_nsga2_g05_child_0032_70ef8136,ok,,,top_predicted_profile_proxy,0.009667227870685817,0.013200562176169663,False,False,-0.57105,1.1685305045195065,1.16853,0.0128656,0.013508880000000001,0.9550249113381011,0.009173803318699282,0.013063682677517858,0.02592928267751786,45.06605597434008,141.46574938799114,171.34901815405902,175.600018760941,0.02657256267751786,43.97507755276311,1.3199,1.3538,1.2862,0.8015,1.2255856671493068,0.9156562101329065,archive_not_mission_grade_sidecar,root:full_polar_candidate_not_mission_grade;mid1:full_polar_mission_grade_candidate;mid2:full_polar_mission_grade_candidate;tip:full_polar_mission_grade_candidate,actual_sidecar_query_grade_sidecar,root:actual_sidecar_query_grade;mid1:mixed_actual_sidecar_query_quality;mid2:mixed_actual_sidecar_query_quality;tip:,,0.06350132389543112,0.16157458328458707,True,False,True,False,/Volumes/Samsung SSD/hpa-mdo/output/phase9_smooth_geometry_combo_reoptimization/avl_inputs/raw_best_tier2/combo_0003/raw_best_tier2_combo_0003.avl,/Volumes/Samsung SSD/hpa-mdo/output/phase9_smooth_geometry_combo_reoptimization/avl_runs/raw_best_tier2/combo_0003
4,raw_best_tier2,root:dae21|mid1:dae31|mid2:dae31|tip:cst_tip_nsga2_g05_child_0102_33bdf605,dae21,dae31,dae31,cst_tip_nsga2_g05_child_0102_33bdf605,ok,,,top_predicted_profile_proxy,0.0096904994349007,0.013295191123113548,False,False,-0.73729,1.1685305045195065,1.16853,0.0126421,0.013274205,0.9718755019790587,0.010021846411107557,0.013911725769926133,0.026553825769926133,44.00610724210371,144.87315011293427,175.47619926469753,179.65335188659333,0.027185930769926134,42.98291327263177,1.3034,1.3376,1.2729,0.8558,1.3919138804775013,0.904209640341867,archive_not_mission_grade_sidecar,root:full_polar_candidate_not_mission_grade;mid1:full_polar_mission_grade_candidate;mid2:full_polar_mission_grade_candidate;tip:full_polar_mission_grade_candidate,actual_sidecar_query_grade_sidecar,root:actual_sidecar_query_grade;mid1:mixed_actual_sidecar_query_quality;mid2:mixed_actual_sidecar_query_quality;tip:,,0.04391724631078786,0.11638964332331814,True,False,True,False,/Volumes/Samsung SSD/hpa-mdo/output/phase9_smooth_geometry_combo_reoptimization/avl_inputs/raw_best_tier2/combo_0004/raw_best_tier2_combo_0004.avl,/Volumes/Samsung SSD/hpa-mdo/output/phase9_smooth_geometry_combo_reoptimization/avl_runs/raw_best_tier2/combo_0004
5,raw_best_tier2,root:dae31|mid1:dae31|mid2:dae31|tip:cst_tip_nsga2_g05_child_0032_70ef8136,dae31,dae31,dae31,cst_tip_nsga2_g05_child_0032_70ef8136,ok,,,top_predicted_profile_proxy,0.00970449614537909,0.011203351564173502,True,False,-0.8142,1.1685305045195065,1.16853,0.0129716,0.01362018,0.9470908507557968,0.009148594178219874,0.01303847353703845,0.02601007353703845,44.92607461703306,141.90653055528853,171.88291007181266,176.16893477895658,0.026658653537038453,43.8330654208022,1.3375,1.3408,1.2633,0.7778,1.5893102910548056,0.8946382706464376,archive_mission_grade_sidecar,root:full_polar_mission_grade_candidate;mid1:full_polar_mission_grade_candidate;mid2:full_polar_mission_grade_candidate;tip:full_polar_mission_grade_candidate,actual_sidecar_query_grade_sidecar,root:mixed_actual_sidecar_query_quality;mid1:mixed_actual_sidecar_query_quality;mid2:mixed_actual_sidecar_query_quality;tip:,,0.0742370114194643,0.17758421771379607,True,False,True,False,/Volumes/Samsung SSD/hpa-mdo/output/phase9_smooth_geometry_combo_reoptimization/avl_inputs/raw_best_tier2/combo_0005/raw_best_tier2_combo_0005.avl,/Volumes/Samsung SSD/hpa-mdo/output/phase9_smooth_geometry_combo_reoptimization/avl_runs/raw_best_tier2/combo_0005
6,raw_best_tier2,root:fx76mp140|mid1:dae31|mid2:cst_mid2_seedless_sobol_0237_e583606c|tip:cst_tip_nsga2_g05_child_0032_70ef8136,fx76mp140,dae31,cst_mid2_seedless_sobol_0237_e583606c,cst_tip_nsga2_g05_child_0032_70ef8136,ok,,,top_predicted_profile_proxy,0.009722910226318006,0.013214070634671149,False,False,-2.59722,1.1685305045195065,1.16853,0.0169695,0.017817975,0.7228585316274077,0.023412132903346334,0.027302012262164912,0.044271512262164914,26.394637201452678,241.53782951107573,292.5603555124464,298.16735050673225,0.045119987262164915,25.898289769673106,1.7547,1.4108,1.0093,0.5461,-3.470963183255287,1.1812419565744854,archive_not_mission_grade_sidecar,root:full_polar_candidate_not_mission_grade;mid1:full_polar_mission_grade_candidate;mid2:full_polar_mission_grade_candidate;tip:full_polar_mission_grade_candidate,actual_sidecar_query_not_mission_grade_sidecar,root:actual_sidecar_query_grade;mid1:mixed_actual_sidecar_query_quality;mid2:;tip:,"root:cl_outside_polar_envelope,insufficient_safe_clmax_margin",0.3004998928589849,0.3268124333403347,True,False,True,False,/Volumes/Samsung SSD/hpa-mdo/output/phase9_smooth_geometry_combo_reoptimization/avl_inputs/raw_best_tier2/combo_0006/raw_best_tier2_combo_0006.avl,/Volumes/Samsung SSD/hpa-mdo/output/phase9_smooth_geometry_combo_reoptimization/avl_runs/raw_best_tier2/combo_0006
7,raw_best_tier2,root:dae31|mid1:dae31|mid2:dae31|tip:cst_tip_nsga2_g05_child_0102_33bdf605,dae31,dae31,dae31,cst_tip_nsga2_g05_child_0102_33bdf605,ok,,,top_predicted_profile_proxy,0.009727767709593976,0.011297980511117387,True,False,-0.98025,1.1685305045195065,1.16853,0.012729,0.013365450000000001,0.9651247612012359,0.009951749180920956,0.013841628539739532,0.026570628539739533,43.97827860081782,144.96482316278335,175.58723735802246,179.79310313381222,0.027207078539739533,42.949503115989216,1.321,1.3244,1.2499,0.8321,1.7543745796128223,0.8836954994362635,archive_mission_grade_sidecar,root:full_polar_mission_grade_candidate;mid1:full_polar_mission_grade_candidate;mid2:full_polar_mission_grade_candidate;tip:full_polar_mission_grade_candidate,actual_sidecar_query_grade_sidecar,root:mixed_actual_sidecar_query_quality;mid1:mixed_actual_sidecar_query_quality;mid2:mixed_actual_sidecar_query_quality;tip:,,0.053739608300937804,0.1323997638718808,True,False,True,False,/Volumes/Samsung SSD/hpa-mdo/output/phase9_smooth_geometry_combo_reoptimization/avl_inputs/raw_best_tier2/combo_0007/raw_best_tier2_combo_0007.avl,/Volumes/Samsung SSD/hpa-mdo/output/phase9_smooth_geometry_combo_reoptimization/avl_runs/raw_best_tier2/combo_0007
8,raw_best_tier2,root:dae11|mid1:dae31|mid2:dae31|tip:cst_tip_nsga2_g05_child_0032_70ef8136,dae11,dae31,dae31,cst_tip_nsga2_g05_child_0032_70ef8136,ok,,,top_predicted_profile_proxy,0.009734211726262517,0.013228276596128024,False,False,-0.51792,1.1685305045195065,1.16853,0.0128505,0.013493025000000002,0.956163504135248,0.009412101540603278,0.013301980899421854,0.026152480899421855,44.68143993732307,142.6834808661972,172.82398360731247,177.06999493198737,0.026795005899421857,43.61001109332539,1.316,1.3574,1.2912,0.8067,1.4222330233680327,0.9057144902860041,archive_not_mission_grade_sidecar,root:full_polar_candidate_not_mission_grade;mid1:full_polar_mission_grade_candidate;mid2:full_polar_mission_grade_candidate;tip:full_polar_mission_grade_candidate,actual_sidecar_query_grade_sidecar,root:actual_sidecar_query_grade;mid1:mixed_actual_sidecar_query_quality;mid2:mixed_actual_sidecar_query_quality;tip:,,0.06232835030095236,0.15809396362733674,True,False,True,False,/Volumes/Samsung SSD/hpa-mdo/output/phase9_smooth_geometry_combo_reoptimization/avl_inputs/raw_best_tier2/combo_0008/raw_best_tier2_combo_0008.avl,/Volumes/Samsung SSD/hpa-mdo/output/phase9_smooth_geometry_combo_reoptimization/avl_runs/raw_best_tier2/combo_0008
9,raw_best_tier2,root:fx76mp140|mid1:dae31|mid2:cst_mid2_nsga2_g02_child_0106_7ea30168|tip:cst_tip_nsga2_g05_child_0032_70ef8136,fx76mp140,dae31,cst_mid2_nsga2_g02_child_0106_7ea30168,cst_tip_nsga2_g05_child_0032_70ef8136,ok,,,top_predicted_profile_proxy,0.009734617217983254,0.016171256089737643,False,False,-2.71261,1.1685305045195065,1.16853,0.0167893,0.017628765,0.7306044575273938,0.022984523126710163,0.02687440248552874,0.04366370248552874,26.7620572237727,238.22172290656346,288.54375352054683,294.09120754438743,0.04450316748552874,26.257243484960522,1.7434,1.4,1.027,0.5539,-3.3252812497284143,1.1736349387883729,archive_not_mission_grade_sidecar,root:full_polar_candidate_not_mission_grade;mid1:full_polar_mission_grade_candidate;mid2:full_polar_candidate_not_mission_grade;tip:full_polar_mission_grade_candidate,actual_sidecar_query_not_mission_grade_sidecar,root:actual_sidecar_query_grade;mid1:mixed_actual_sidecar_query_quality;mid2:;tip:,"root:cl_outside_polar_envelope,insufficient_safe_clmax_margin",0.29158831904377475,0.32080383926080147,True,False,True,False,/Volumes/Samsung SSD/hpa-mdo/output/phase9_smooth_geometry_combo_reoptimization/avl_inputs/raw_best_tier2/combo_0009/raw_best_tier2_combo_0009.avl,/Volumes/Samsung SSD/hpa-mdo/output/phase9_smooth_geometry_combo_reoptimization/avl_runs/raw_best_tier2/combo_0009
10,raw_best_tier2,root:fx76mp140|mid1:dae21|mid2:dae31|tip:cst_tip_nsga2_g05_child_0032_70ef8136,fx76mp140,dae21,dae31,cst_tip_nsga2_g05_child_0032_70ef8136,ok,,,top_predicted_profile_proxy,0.009735388052032461,0.017290906368734215,False,False,-2.64775,1.1685305045195065,1.16853,0.0168155,0.017656275000000003,0.7295036558674793,0.02296491486231177,0.026854794221130348,0.04367029422113035,26.75801767220749,238.25768629314248,288.58731382405824,294.14342474815226,0.04451106922113035,26.2525822220595,1.7456,1.3612,1.0448,0.5956,-3.3536441040433806,1.1751159511007134,archive_not_mission_grade_sidecar,root:full_polar_candidate_not_mission_grade;mid1:full_polar_candidate_not_mission_grade;mid2:full_polar_mission_grade_candidate;tip:full_polar_mission_grade_candidate,actual_sidecar_query_not_mission_grade_sidecar,root:actual_sidecar_query_grade;mid1:actual_sidecar_query_grade;mid2:mixed_actual_sidecar_query_quality;tip:,"root:cl_outside_polar_envelope,insufficient_safe_clmax_margin",0.28333196799387766,0.30004937830115347,True,False,True,False,/Volumes/Samsung SSD/hpa-mdo/output/phase9_smooth_geometry_combo_reoptimization/avl_inputs/raw_best_tier2/combo_0010/raw_best_tier2_combo_0010.avl,/Volumes/Samsung SSD/hpa-mdo/output/phase9_smooth_geometry_combo_reoptimization/avl_runs/raw_best_tier2/combo_0010
