case_id,display_name,zone_name,eta_min,eta_max,Re_min,Re_p50,Re_max,Cl_min,Cl_p50,Cl_p90,Cl_max,current_baseline_airfoil,current_actual_query_quality,current_archive_source_quality,station_count,envelope_source,section_table,smooth_avl,smooth_vsp3
raw_best_tier2,Tier2 raw performance best,root,0.0,0.25,470631.64442817215,512026.11293124646,526553.1815575226,1.3334,1.3461500000000002,1.364,1.365,cst_root_nsga2_g04_child_0066_2124fc90,,full_polar_mission_grade_candidate,12,phase9_smooth_monotone_avl_actual_cl,/Volumes/Samsung SSD/hpa-mdo/output/phase9_structure_jig_smooth_planform/VSP_exports/raw_best_tier2/smooth_monotone/section_table.csv,/Volumes/Samsung SSD/hpa-mdo/output/phase9_structure_jig_smooth_planform/VSP_exports/raw_best_tier2/smooth_monotone/raw_best_tier2_smooth_monotone.avl,/Volumes/Samsung SSD/hpa-mdo/output/phase9_structure_jig_smooth_planform/VSP_exports/raw_best_tier2/smooth_monotone/raw_best_tier2_smooth_monotone.vsp3
raw_best_tier2,Tier2 raw performance best,mid1,0.25,0.55,400747.055902739,433824.9231934041,461581.8415975404,1.2272,1.2988,1.32825,1.3356,dae21,actual_sidecar_query_grade,full_polar_candidate_not_mission_grade,6,phase9_smooth_monotone_avl_actual_cl,/Volumes/Samsung SSD/hpa-mdo/output/phase9_structure_jig_smooth_planform/VSP_exports/raw_best_tier2/smooth_monotone/section_table.csv,/Volumes/Samsung SSD/hpa-mdo/output/phase9_structure_jig_smooth_planform/VSP_exports/raw_best_tier2/smooth_monotone/raw_best_tier2_smooth_monotone.avl,/Volumes/Samsung SSD/hpa-mdo/output/phase9_structure_jig_smooth_planform/VSP_exports/raw_best_tier2/smooth_monotone/raw_best_tier2_smooth_monotone.vsp3
raw_best_tier2,Tier2 raw performance best,mid2,0.55,0.8,344311.4799172722,366642.7063465623,389183.41895248735,0.9069,1.0314,1.1401400000000002,1.1667,cst_mid2_nsga2_g01_child_0046_9585b968,,full_polar_mission_grade_candidate,5,phase9_smooth_monotone_avl_actual_cl,/Volumes/Samsung SSD/hpa-mdo/output/phase9_structure_jig_smooth_planform/VSP_exports/raw_best_tier2/smooth_monotone/section_table.csv,/Volumes/Samsung SSD/hpa-mdo/output/phase9_structure_jig_smooth_planform/VSP_exports/raw_best_tier2/smooth_monotone/raw_best_tier2_smooth_monotone.avl,/Volumes/Samsung SSD/hpa-mdo/output/phase9_structure_jig_smooth_planform/VSP_exports/raw_best_tier2/smooth_monotone/raw_best_tier2_smooth_monotone.vsp3
raw_best_tier2,Tier2 raw performance best,tip,0.8,1.0,270238.88145606406,286074.32281274453,333837.1710855226,0.094,0.6076,0.8018,0.8496,cst_tip_nsga2_g04_child_0123_01770232,,full_polar_mission_grade_candidate,11,phase9_smooth_monotone_avl_actual_cl,/Volumes/Samsung SSD/hpa-mdo/output/phase9_structure_jig_smooth_planform/VSP_exports/raw_best_tier2/smooth_monotone/section_table.csv,/Volumes/Samsung SSD/hpa-mdo/output/phase9_structure_jig_smooth_planform/VSP_exports/raw_best_tier2/smooth_monotone/raw_best_tier2_smooth_monotone.avl,/Volumes/Samsung SSD/hpa-mdo/output/phase9_structure_jig_smooth_planform/VSP_exports/raw_best_tier2/smooth_monotone/raw_best_tier2_smooth_monotone.vsp3
conservative_best_tier2,Tier2 conservative best,root,0.0,0.25,470631.64442817215,512026.11293124646,526553.1815575226,1.2137,1.2288999999999999,1.27877,1.2974,cst_root_nsga2_g05_child_0019_00cc4dca,actual_sidecar_query_grade,full_polar_mission_grade_candidate,12,phase9_smooth_monotone_avl_actual_cl,/Volumes/Samsung SSD/hpa-mdo/output/phase9_structure_jig_smooth_planform/VSP_exports/conservative_best_tier2/smooth_monotone/section_table.csv,/Volumes/Samsung SSD/hpa-mdo/output/phase9_structure_jig_smooth_planform/VSP_exports/conservative_best_tier2/smooth_monotone/conservative_best_tier2_smooth_monotone.avl,/Volumes/Samsung SSD/hpa-mdo/output/phase9_structure_jig_smooth_planform/VSP_exports/conservative_best_tier2/smooth_monotone/conservative_best_tier2_smooth_monotone.vsp3
conservative_best_tier2,Tier2 conservative best,mid1,0.25,0.55,400747.055902739,433824.9231934041,461581.8415975404,1.2914,1.32455,1.33555,1.3392,cst_mid1_nsga2_g05_child_0114_b5496e0b,actual_sidecar_query_grade,full_polar_mission_grade_candidate,6,phase9_smooth_monotone_avl_actual_cl,/Volumes/Samsung SSD/hpa-mdo/output/phase9_structure_jig_smooth_planform/VSP_exports/conservative_best_tier2/smooth_monotone/section_table.csv,/Volumes/Samsung SSD/hpa-mdo/output/phase9_structure_jig_smooth_planform/VSP_exports/conservative_best_tier2/smooth_monotone/conservative_best_tier2_smooth_monotone.avl,/Volumes/Samsung SSD/hpa-mdo/output/phase9_structure_jig_smooth_planform/VSP_exports/conservative_best_tier2/smooth_monotone/conservative_best_tier2_smooth_monotone.vsp3
conservative_best_tier2,Tier2 conservative best,mid2,0.55,0.8,344311.4799172722,366642.7063465623,389183.41895248735,0.9887,1.162,1.23742,1.2543,dae31,mixed_actual_sidecar_query_quality,full_polar_mission_grade_candidate,5,phase9_smooth_monotone_avl_actual_cl,/Volumes/Samsung SSD/hpa-mdo/output/phase9_structure_jig_smooth_planform/VSP_exports/conservative_best_tier2/smooth_monotone/section_table.csv,/Volumes/Samsung SSD/hpa-mdo/output/phase9_structure_jig_smooth_planform/VSP_exports/conservative_best_tier2/smooth_monotone/conservative_best_tier2_smooth_monotone.avl,/Volumes/Samsung SSD/hpa-mdo/output/phase9_structure_jig_smooth_planform/VSP_exports/conservative_best_tier2/smooth_monotone/conservative_best_tier2_smooth_monotone.vsp3
conservative_best_tier2,Tier2 conservative best,tip,0.8,1.0,270238.88145606406,286074.32281274453,333837.1710855226,0.0967,0.6127,0.8168,0.8903,clarkysm,actual_sidecar_query_grade,full_polar_mission_grade_candidate,11,phase9_smooth_monotone_avl_actual_cl,/Volumes/Samsung SSD/hpa-mdo/output/phase9_structure_jig_smooth_planform/VSP_exports/conservative_best_tier2/smooth_monotone/section_table.csv,/Volumes/Samsung SSD/hpa-mdo/output/phase9_structure_jig_smooth_planform/VSP_exports/conservative_best_tier2/smooth_monotone/conservative_best_tier2_smooth_monotone.avl,/Volumes/Samsung SSD/hpa-mdo/output/phase9_structure_jig_smooth_planform/VSP_exports/conservative_best_tier2/smooth_monotone/conservative_best_tier2_smooth_monotone.vsp3
policy_A_performance_candidate,Policy A / D performance candidate,root,0.0,0.25,470631.64442817215,512026.11293124646,526553.0227670006,1.2582,1.2734999999999999,1.30293,1.3065,dae11,actual_sidecar_query_grade,full_polar_candidate_not_mission_grade,12,phase9_smooth_monotone_avl_actual_cl,/Volumes/Samsung SSD/hpa-mdo/output/phase9_structure_jig_smooth_planform/VSP_exports/policy_A_performance_candidate/smooth_monotone/section_table.csv,/Volumes/Samsung SSD/hpa-mdo/output/phase9_structure_jig_smooth_planform/VSP_exports/policy_A_performance_candidate/smooth_monotone/policy_A_performance_candidate_smooth_monotone.avl,/Volumes/Samsung SSD/hpa-mdo/output/phase9_structure_jig_smooth_planform/VSP_exports/policy_A_performance_candidate/smooth_monotone/policy_A_performance_candidate_smooth_monotone.vsp3
policy_A_performance_candidate,Policy A / D performance candidate,mid1,0.25,0.55,400747.055902739,433824.9231934041,461581.8415975404,1.2352,1.2988,1.30885,1.309,dae11,actual_sidecar_query_grade,full_polar_candidate_not_mission_grade,6,phase9_smooth_monotone_avl_actual_cl,/Volumes/Samsung SSD/hpa-mdo/output/phase9_structure_jig_smooth_planform/VSP_exports/policy_A_performance_candidate/smooth_monotone/section_table.csv,/Volumes/Samsung SSD/hpa-mdo/output/phase9_structure_jig_smooth_planform/VSP_exports/policy_A_performance_candidate/smooth_monotone/policy_A_performance_candidate_smooth_monotone.avl,/Volumes/Samsung SSD/hpa-mdo/output/phase9_structure_jig_smooth_planform/VSP_exports/policy_A_performance_candidate/smooth_monotone/policy_A_performance_candidate_smooth_monotone.vsp3
policy_A_performance_candidate,Policy A / D performance candidate,mid2,0.55,0.8,344311.4799172722,366642.7063465623,389183.41895248735,0.9753,1.0566,1.1548,1.1792,clarkysm,actual_sidecar_query_grade,full_polar_mission_grade_candidate,5,phase9_smooth_monotone_avl_actual_cl,/Volumes/Samsung SSD/hpa-mdo/output/phase9_structure_jig_smooth_planform/VSP_exports/policy_A_performance_candidate/smooth_monotone/section_table.csv,/Volumes/Samsung SSD/hpa-mdo/output/phase9_structure_jig_smooth_planform/VSP_exports/policy_A_performance_candidate/smooth_monotone/policy_A_performance_candidate_smooth_monotone.avl,/Volumes/Samsung SSD/hpa-mdo/output/phase9_structure_jig_smooth_planform/VSP_exports/policy_A_performance_candidate/smooth_monotone/policy_A_performance_candidate_smooth_monotone.vsp3
policy_A_performance_candidate,Policy A / D performance candidate,tip,0.8,1.0,270238.83578807756,286074.32281274453,333837.1710855226,0.1108,0.7068,0.9116,0.944,clarkysm,actual_sidecar_query_grade,full_polar_mission_grade_candidate,11,phase9_smooth_monotone_avl_actual_cl,/Volumes/Samsung SSD/hpa-mdo/output/phase9_structure_jig_smooth_planform/VSP_exports/policy_A_performance_candidate/smooth_monotone/section_table.csv,/Volumes/Samsung SSD/hpa-mdo/output/phase9_structure_jig_smooth_planform/VSP_exports/policy_A_performance_candidate/smooth_monotone/policy_A_performance_candidate_smooth_monotone.avl,/Volumes/Samsung SSD/hpa-mdo/output/phase9_structure_jig_smooth_planform/VSP_exports/policy_A_performance_candidate/smooth_monotone/policy_A_performance_candidate_smooth_monotone.vsp3
policy_C_conservative_baseline,Policy C / E conservative baseline,root,0.0,0.25,470631.64442817215,512026.11293124646,526553.0227670006,1.2809,1.29565,1.32303,1.3253,cst_root_nsga2_g05_child_0019_00cc4dca,actual_sidecar_query_grade,full_polar_mission_grade_candidate,12,phase9_smooth_monotone_avl_actual_cl,/Volumes/Samsung SSD/hpa-mdo/output/phase9_structure_jig_smooth_planform/VSP_exports/policy_C_conservative_baseline/smooth_monotone/section_table.csv,/Volumes/Samsung SSD/hpa-mdo/output/phase9_structure_jig_smooth_planform/VSP_exports/policy_C_conservative_baseline/smooth_monotone/policy_C_conservative_baseline_smooth_monotone.avl,/Volumes/Samsung SSD/hpa-mdo/output/phase9_structure_jig_smooth_planform/VSP_exports/policy_C_conservative_baseline/smooth_monotone/policy_C_conservative_baseline_smooth_monotone.vsp3
policy_C_conservative_baseline,Policy C / E conservative baseline,mid1,0.25,0.55,400747.055902739,433824.9231934041,461581.8415975404,1.2394,1.3125,1.3254000000000001,1.326,cst_mid1_nsga2_g06_child_0001_a86879e2,actual_sidecar_query_grade,full_polar_mission_grade_candidate,6,phase9_smooth_monotone_avl_actual_cl,/Volumes/Samsung SSD/hpa-mdo/output/phase9_structure_jig_smooth_planform/VSP_exports/policy_C_conservative_baseline/smooth_monotone/section_table.csv,/Volumes/Samsung SSD/hpa-mdo/output/phase9_structure_jig_smooth_planform/VSP_exports/policy_C_conservative_baseline/smooth_monotone/policy_C_conservative_baseline_smooth_monotone.avl,/Volumes/Samsung SSD/hpa-mdo/output/phase9_structure_jig_smooth_planform/VSP_exports/policy_C_conservative_baseline/smooth_monotone/policy_C_conservative_baseline_smooth_monotone.vsp3
policy_C_conservative_baseline,Policy C / E conservative baseline,mid2,0.55,0.8,344311.4799172722,366642.7063465623,389183.41895248735,0.9363,1.0262,1.1432,1.1724,clarkysm,actual_sidecar_query_grade,full_polar_mission_grade_candidate,5,phase9_smooth_monotone_avl_actual_cl,/Volumes/Samsung SSD/hpa-mdo/output/phase9_structure_jig_smooth_planform/VSP_exports/policy_C_conservative_baseline/smooth_monotone/section_table.csv,/Volumes/Samsung SSD/hpa-mdo/output/phase9_structure_jig_smooth_planform/VSP_exports/policy_C_conservative_baseline/smooth_monotone/policy_C_conservative_baseline_smooth_monotone.avl,/Volumes/Samsung SSD/hpa-mdo/output/phase9_structure_jig_smooth_planform/VSP_exports/policy_C_conservative_baseline/smooth_monotone/policy_C_conservative_baseline_smooth_monotone.vsp3
policy_C_conservative_baseline,Policy C / E conservative baseline,tip,0.8,1.0,270238.83578807756,286074.32281274453,333837.1710855226,0.1058,0.6736,0.8715,0.9041,clarkysm,actual_sidecar_query_grade,full_polar_mission_grade_candidate,11,phase9_smooth_monotone_avl_actual_cl,/Volumes/Samsung SSD/hpa-mdo/output/phase9_structure_jig_smooth_planform/VSP_exports/policy_C_conservative_baseline/smooth_monotone/section_table.csv,/Volumes/Samsung SSD/hpa-mdo/output/phase9_structure_jig_smooth_planform/VSP_exports/policy_C_conservative_baseline/smooth_monotone/policy_C_conservative_baseline_smooth_monotone.avl,/Volumes/Samsung SSD/hpa-mdo/output/phase9_structure_jig_smooth_planform/VSP_exports/policy_C_conservative_baseline/smooth_monotone/policy_C_conservative_baseline_smooth_monotone.vsp3
