case_id,display_name,variant,assignment,alpha_at_CL_req,CL_req,CLtot,CDi,CDi_source,CDind_near_field,e_CDi,CDi_conservative,profile_cd,profile_lookup_statuses,CD0_total_est,CD_total,L_D,P_air,P_crank,target_vs_avl_rms,target_vs_avl_outer_delta,target_vs_avl_basis,local_Cl_max_root,local_Cl_max_mid1,local_Cl_max_mid2,local_Cl_max_tip,stall_margin,stall_margin_basis,max_utilization,avl_path
raw_best_tier2,Tier2 raw performance best,raw,root:cst_root_nsga2_g04_child_0066_2124fc90|mid1:dae21|mid2:cst_mid2_nsga2_g01_child_0046_9585b968|tip:cst_tip_nsga2_g04_child_0123_01770232,4.62415,1.1685305045195065,1.16853,0.0125445,AVL_Trefftz_CDff,0.0125438,0.9814022048769173,0.013171725,0.008835301188910885,clamped_high_cl|interp_clean_nearest_re,0.012725180733704017,0.025269680733704017,46.24239288314205,137.867066949652,166.99014892157462,0.05103195707212004,0.07377041044334359,normalized_half_span_lprime_shape,1.3947,1.3686,1.1781,0.8322,0.07287987573678767,safe_clmax_minus_local_Cl_max,0.949440934304035,/Volumes/Samsung SSD/hpa-mdo/output/final_candidate_validation/tier2_raw_vs_conservative/geometry_exports/avl_parity/raw_best_tier2/raw_best_tier2.avl
raw_best_tier2,Tier2 raw performance best,monotone,root:cst_root_nsga2_g04_child_0066_2124fc90|mid1:dae21|mid2:cst_mid2_nsga2_g01_child_0046_9585b968|tip:cst_tip_nsga2_g04_child_0123_01770232,-0.22793,1.1685305045195065,1.16853,0.0125339,AVL_Trefftz_CDff,0.0124392,0.9804500970886677,0.013160595,0.009350753920979962,clamped_high_cl|interp_clean_nearest_re,0.013240633465773092,0.025774533465773092,45.33663067349945,140.6214573254294,170.32637757440574,0.05046376797158567,0.06842885099852108,normalized_half_span_lprime_shape,1.401,1.3732,1.1727,0.8284,0.06827987573678773,safe_clmax_minus_local_Cl_max,0.9526320992154763,/Volumes/Samsung SSD/hpa-mdo/output/final_candidate_validation/tier2_raw_vs_conservative/geometry_exports/production_inspection/raw_best_tier2/raw_best_tier2.avl
raw_best_tier2,Tier2 raw performance best,smooth_monotone,root:cst_root_nsga2_g04_child_0066_2124fc90|mid1:dae21|mid2:cst_mid2_nsga2_g01_child_0046_9585b968|tip:cst_tip_nsga2_g04_child_0123_01770232,-0.39996,1.1685305045195065,1.16853,0.0128661,AVL_Trefftz_CDff,0.0128143,0.9550041667552719,0.013509405,0.010556117578181394,clamped_high_cl|interp_clean_nearest_re,0.014445996936977623,0.02731209693697762,42.78435695420525,149.0101484333411,180.48709839309726,0.07992029976703345,0.12062244764692542,normalized_half_span_lprime_shape,1.365,1.3356,1.1667,0.8496,0.1016406076723082,safe_clmax_minus_local_Cl_max,0.926547794721956,/Volumes/Samsung SSD/hpa-mdo/output/phase9_structure_jig_smooth_planform/VSP_exports/raw_best_tier2/smooth_monotone/raw_best_tier2_smooth_monotone.avl
conservative_best_tier2,Tier2 conservative best,raw,root:cst_root_nsga2_g05_child_0019_00cc4dca|mid1:cst_mid1_nsga2_g05_child_0114_b5496e0b|mid2:dae31|tip:clarkysm,3.6337,1.1685305045195065,1.16853,0.0123548,AVL_Trefftz_CDff,0.0123488,0.9962321279636869,0.012972540000000001,0.010882703637267049,interp_clean_nearest_re,0.014772583182060178,0.027127383182060177,43.07568100753178,148.0023745745897,179.26644207193522,0.044798645874651905,0.075259456818278,normalized_half_span_lprime_shape,1.3267,1.3711,1.2623,0.8661,0.23640628609614467,safe_clmax_minus_local_Cl_max,0.842259762109933,/Volumes/Samsung SSD/hpa-mdo/output/final_candidate_validation/tier2_raw_vs_conservative/geometry_exports/avl_parity/conservative_best_tier2/conservative_best_tier2.avl
conservative_best_tier2,Tier2 conservative best,monotone,root:cst_root_nsga2_g05_child_0019_00cc4dca|mid1:cst_mid1_nsga2_g05_child_0114_b5496e0b|mid2:dae31|tip:clarkysm,-0.20055,1.1685305045195065,1.16853,0.0123504,AVL_Trefftz_CDff,0.0122704,0.9951879956326855,0.012967919999999999,0.01089899415704344,interp_clean_nearest_re,0.014788873701836569,0.027139273701836567,43.05680827561829,148.06724722190776,179.3450184373883,0.0437317407667739,0.07117768586620793,normalized_half_span_lprime_shape,1.3287,1.3757,1.2601,0.8649,0.23860628609614465,safe_clmax_minus_local_Cl_max,0.840791829386617,/Volumes/Samsung SSD/hpa-mdo/output/final_candidate_validation/tier2_raw_vs_conservative/geometry_exports/production_inspection/conservative_best_tier2/conservative_best_tier2.avl
conservative_best_tier2,Tier2 conservative best,smooth_monotone,root:cst_root_nsga2_g05_child_0019_00cc4dca|mid1:cst_mid1_nsga2_g05_child_0114_b5496e0b|mid2:dae31|tip:clarkysm,-0.34349,1.1685305045195065,1.16853,0.0125481,AVL_Trefftz_CDff,0.0125049,0.9793574076013659,0.013175505,0.01081608397648078,interp_clean_nearest_re,0.01470596333527701,0.02725406333527701,42.875460078900915,148.69352698814473,180.1035937356404,0.036026132433962715,0.08533878047219179,normalized_half_span_lprime_shape,1.2974,1.3392,1.2543,0.8903,0.24440628609614468,safe_clmax_minus_local_Cl_max,0.8369218249342383,/Volumes/Samsung SSD/hpa-mdo/output/phase9_structure_jig_smooth_planform/VSP_exports/conservative_best_tier2/smooth_monotone/conservative_best_tier2_smooth_monotone.avl
policy_A_performance_candidate,Policy A / D performance candidate,raw,root:dae11|mid1:dae11|mid2:clarkysm|tip:clarkysm,4.83981,1.1685305045195065,1.16853,0.0124866,AVL_Trefftz_CDff,0.0125023,0.9860711504601598,0.013110930000000002,0.011109560584729858,interp_clean_nearest_re,0.014999440074934409,0.02748604007493441,42.513599679465464,149.95914749790853,181.6365643143272,0.057408059849242736,0.11935576839274553,normalized_half_span_lprime_shape,1.3385,1.3467,1.1856,0.9092,0.1189686577153306,safe_clmax_minus_local_Cl_max,0.9088061352603102,/Volumes/Samsung SSD/hpa-mdo/output/geometry_exports/phase7_sidecar_vsp/policy_A_performance_candidate/policy_A_performance_candidate.avl
policy_A_performance_candidate,Policy A / D performance candidate,monotone,root:dae11|mid1:dae11|mid2:clarkysm|tip:clarkysm,4.83034,1.1685305045195065,1.16853,0.0124721,AVL_Trefftz_CDff,0.012489,0.9872175517624003,0.013095705000000001,0.011098684382470463,interp_clean_nearest_re,0.014988563872675014,0.027460663872675012,42.55288619159217,149.8206992657449,181.46887023467164,0.05502388895529907,0.11844554994642836,normalized_half_span_lprime_shape,1.3384,1.3476,1.1821,0.9157,0.12246865771533066,safe_clmax_minus_local_Cl_max,0.9070612329609762,/Volumes/Samsung SSD/hpa-mdo/output/geometry_exports/phase7_avl_vsp_parity/monotone_chord/policy_A_performance_candidate/policy_A_performance_candidate_monotone_chord.avl
policy_A_performance_candidate,Policy A / D performance candidate,smooth_monotone,root:dae11|mid1:dae11|mid2:clarkysm|tip:clarkysm,4.69049,1.1685305045195065,1.16853,0.0126505,AVL_Trefftz_CDff,0.0127069,0.9732122762326378,0.013283025,0.01096311381239647,interp_clean_nearest_re,0.01485299330260102,0.02750349330260102,42.48662130526517,150.05436933178626,181.7519008379194,0.04950708988420082,0.11149832967253831,normalized_half_span_lprime_shape,1.3065,1.309,1.1792,0.944,0.12536865771533057,safe_clmax_minus_local_Cl_max,0.9039002991725352,/Volumes/Samsung SSD/hpa-mdo/output/phase9_structure_jig_smooth_planform/VSP_exports/policy_A_performance_candidate/smooth_monotone/policy_A_performance_candidate_smooth_monotone.avl
policy_C_conservative_baseline,Policy C / E conservative baseline,raw,root:cst_root_nsga2_g05_child_0019_00cc4dca|mid1:cst_mid1_nsga2_g06_child_0001_a86879e2|mid2:clarkysm|tip:clarkysm,4.4223,1.1685305045195065,1.16853,0.0124927,AVL_Trefftz_CDff,0.0125035,0.9854377861861291,0.013117335,0.011516031610708828,interp_clean_nearest_re,0.01540591110091338,0.02789861110091338,41.884898868003134,152.2100646605654,184.3629659163825,0.04847431149839335,0.10304984988934301,normalized_half_span_lprime_shape,1.3592,1.3643,1.1791,0.8734,0.12546865771533056,safe_clmax_minus_local_Cl_max,0.9038236454836638,/Volumes/Samsung SSD/hpa-mdo/output/geometry_exports/phase7_sidecar_vsp/policy_C_conservative_baseline/policy_C_conservative_baseline.avl
