vendor,product,material_key,outer_diameter_mm,inner_diameter_mm,wall_thickness_mm,tube_count_per_wing,vertical_separation_m,EI_proxy_Nm2,required_EI_proxy_Nm2,ei_pass,mass_per_meter_kg,estimated_full_span_tube_mass_kg,current_spar_tube_mass_target_kg,mass_margin_vs_current_target_kg,estimate_basis
generic,CF-HM-90x88,carbon_fiber_hm,90.0,88.0,1.0,2,0.1,234211.1986963366,232102.04124324035,True,0.444,30.487069968000004,11.7534,-18.733669968000005,round tube EI with two-tube vertical-separation parallel-axis proxy; not_structure_grade
generic,CF-STD-100x98,carbon_fiber_std,100.0,98.0,1.0,2,0.1,278068.46045898093,232102.04124324035,True,0.48,32.95899456,11.7534,-21.20559456,round tube EI with two-tube vertical-separation parallel-axis proxy; not_structure_grade
generic,CF-HM-100x98,carbon_fiber_hm,100.0,98.0,1.0,2,0.1,278068.46045898093,232102.04124324035,True,0.494,33.920298568,11.7534,-22.166898568,round tube EI with two-tube vertical-separation parallel-axis proxy; not_structure_grade
generic,CF-HM-110x108,carbon_fiber_hm,110.0,108.0,1.0,2,0.1,327524.0403303222,232102.04124324035,True,0.543,37.284862596,11.7534,-25.531462596000004,round tube EI with two-tube vertical-separation parallel-axis proxy; not_structure_grade
generic,CF-STD-60x56,carbon_fiber_std,60.0,56.0,2.0,2,0.1,255476.32520922003,232102.04124324035,True,0.565,38.79548318,11.7534,-27.04208318,round tube EI with two-tube vertical-separation parallel-axis proxy; not_structure_grade
generic,CF-STD-120x118,carbon_fiber_std,120.0,118.0,1.0,2,0.1,383143.42498800677,232102.04124324035,True,0.576,39.550793472,11.7534,-27.797393472000003,round tube EI with two-tube vertical-separation parallel-axis proxy; not_structure_grade
generic,CF-HM-60x56,carbon_fiber_hm,60.0,56.0,2.0,2,0.1,255476.32520922003,232102.04124324035,True,0.582,39.962780904,11.7534,-28.209380904,round tube EI with two-tube vertical-separation parallel-axis proxy; not_structure_grade
generic,CF-HM-120x118,carbon_fiber_hm,120.0,118.0,1.0,2,0.1,383143.42498800677,232102.04124324035,True,0.593,40.718091196,11.7534,-28.964691196000004,round tube EI with two-tube vertical-separation parallel-axis proxy; not_structure_grade
generic,CF-STD-80x76,carbon_fiber_std,80.0,76.0,2.0,2,0.1,383562.8276072607,232102.04124324035,True,0.76,52.18507472,11.7534,-40.431674720000004,round tube EI with two-tube vertical-separation parallel-axis proxy; not_structure_grade
generic,CF-HM-80x76,carbon_fiber_hm,80.0,76.0,2.0,2,0.1,383562.8276072607,232102.04124324035,True,0.782,53.695695304000004,11.7534,-41.942295304000005,round tube EI with two-tube vertical-separation parallel-axis proxy; not_structure_grade
generic,CF-STD-90x86,carbon_fiber_std,90.0,86.0,2.0,2,0.1,460272.98038555507,232102.04124324035,True,0.86,59.05153192,11.7534,-47.29813192,round tube EI with two-tube vertical-separation parallel-axis proxy; not_structure_grade
generic,CF-HM-90x86,carbon_fiber_hm,90.0,86.0,2.0,2,0.1,460272.98038555507,232102.04124324035,True,0.881,60.49348793200001,11.7534,-48.74008793200001,round tube EI with two-tube vertical-separation parallel-axis proxy; not_structure_grade
generic,CF-HM-100x96,carbon_fiber_hm,100.0,96.0,2.0,2,0.1,546935.6986904222,232102.04124324035,True,0.98,67.29128056,11.7534,-55.537880560000005,round tube EI with two-tube vertical-separation parallel-axis proxy; not_structure_grade
generic,CF-STD-110x106,carbon_fiber_std,110.0,106.0,2.0,2,0.1,644681.9558771526,232102.04124324035,True,1.05,72.09780060000001,11.7534,-60.344400600000014,round tube EI with two-tube vertical-separation parallel-axis proxy; not_structure_grade
generic,CF-HM-110x106,carbon_fiber_hm,110.0,106.0,2.0,2,0.1,644681.9558771526,232102.04124324035,True,1.078,74.02040861600001,11.7534,-62.26700861600001,round tube EI with two-tube vertical-separation parallel-axis proxy; not_structure_grade
generic,CF-HM-120x116,carbon_fiber_hm,120.0,116.0,2.0,2,0.1,754642.7253010399,232102.04124324035,True,1.177,80.81820124400001,11.7534,-69.06480124400001,round tube EI with two-tube vertical-separation parallel-axis proxy; not_structure_grade
generic,CF-HM-40x38,carbon_fiber_hm,40.0,38.0,1.0,2,0.1,79107.62779595472,232102.04124324035,False,0.195,13.389591540000001,11.7534,-1.6361915400000022,round tube EI with two-tube vertical-separation parallel-axis proxy; not_structure_grade
generic,CF-HM-50x48,carbon_fiber_hm,50.0,48.0,1.0,2,0.1,103455.59917980648,232102.04124324035,False,0.245,16.82282014,11.7534,-5.069420140000002,round tube EI with two-tube vertical-separation parallel-axis proxy; not_structure_grade
generic,CF-HM-60x58,carbon_fiber_hm,60.0,58.0,1.0,2,0.1,130574.4552841239,232102.04124324035,False,0.294,20.187384168,11.7534,-8.433984168000002,round tube EI with two-tube vertical-separation parallel-axis proxy; not_structure_grade
generic,CF-HM-40x36,carbon_fiber_hm,40.0,36.0,2.0,2,0.1,153628.40465396218,232102.04124324035,False,0.384,26.367195648000003,11.7534,-14.613795648000004,round tube EI with two-tube vertical-separation parallel-axis proxy; not_structure_grade
generic,CF-HM-80x78,carbon_fiber_hm,80.0,78.0,1.0,2,0.1,195386.76836474315,232102.04124324035,False,0.394,27.053841368000004,11.7534,-15.300441368000005,round tube EI with two-tube vertical-separation parallel-axis proxy; not_structure_grade
generic,CF-HM-50x46,carbon_fiber_hm,50.0,46.0,2.0,2,0.1,201838.02887888995,232102.04124324035,False,0.483,33.164988276,11.7534,-21.411588276000003,round tube EI with two-tube vertical-separation parallel-axis proxy; not_structure_grade
