case_id,variant,eta,y_m,chord_m,cl,airfoil_id,Re,profile_cd_station,profile_lookup_status
raw_best_tier2,raw,0.0,0.0,1.258585,1.3295,cst_root_nsga2_g04_child_0066_2124fc90,527312.3192403018,0.010240624747661053,interp_clean_nearest_re
raw_best_tier2,raw,0.0006582725076914481,0.0113,1.2579,1.3295,cst_root_nsga2_g04_child_0066_2124fc90,527025.3231783118,0.010240624747661053,interp_clean_nearest_re
raw_best_tier2,raw,0.0059128017283789375,0.1015,1.2524,1.3228,cst_root_nsga2_g04_child_0066_2124fc90,524720.975235327,0.010215488991601672,interp_clean_nearest_re
raw_best_tier2,raw,0.016369431385955483,0.281,1.2414,1.3283,cst_root_nsga2_g04_child_0066_2124fc90,520112.27934935724,0.010522470903651403,interp_clean_nearest_re
raw_best_tier2,raw,0.03193495475366831,0.5482,1.225,1.3363,cst_root_nsga2_g04_child_0066_2124fc90,513241.1327557294,0.010585278397631001,interp_clean_nearest_re
raw_best_tier2,raw,0.052446260059700066,0.9003,1.2035,1.3466,cst_root_nsga2_g04_child_0066_2124fc90,504233.2271604248,0.010666143046129733,interp_clean_nearest_re
raw_best_tier2,raw,0.07771693385054522,1.3341,1.177,1.3589,cst_root_nsga2_g04_child_0066_2124fc90,493130.4597987703,0.01078133532284122,interp_clean_nearest_re
raw_best_tier2,raw,0.10750230846847773,1.8454,1.1457,1.3729,cst_root_nsga2_g04_child_0066_2124fc90,480016.6251414197,0.011088060012219998,interp_clean_nearest_re
raw_best_tier2,raw,0.1415111128923952,2.4292,1.11,1.389,cst_root_nsga2_g04_child_0066_2124fc90,465059.3121296814,0.011269672261192472,interp_clean_nearest_re
raw_best_tier2,raw,0.17620149150569234,3.0247,1.0808,1.3947,cst_root_nsga2_g04_child_0066_2124fc90,452825.3194141979,0.011352503271344837,interp_clean_nearest_re
raw_best_tier2,raw,0.21078118713097052,3.6183,1.06,1.387,cst_root_nsga2_g04_child_0066_2124fc90,444110.69446618226,0.011544780390105378,interp_clean_nearest_re
raw_best_tier2,raw,0.24797649652574838,4.2568,1.0376,1.3785,cst_root_nsga2_g04_child_0066_2124fc90,434725.7137529346,0.011443705209827832,interp_clean_nearest_re
raw_best_tier2,raw,0.2874262436238589,4.934,1.0138,1.3686,dae21,424754.171745109,0.010590650101300943,interp_clean_nearest_re
raw_best_tier2,raw,0.328757601518291,5.6435,0.989,1.3582,dae21,414363.65738401335,0.010999151580657951,interp_clean_nearest_re
raw_best_tier2,raw,0.37770278390434003,6.4837,0.9693,1.3423,dae21,406109.9020245948,0.010893294126348053,interp_clean_nearest_re
raw_best_tier2,raw,0.43406955190807855,7.4513,0.9553,1.3209,dae21,400244.289078815,0.010766474210833323,interp_clean_nearest_re
raw_best_tier2,raw,0.4912635296117479,8.4331,0.9412,1.2964,dae21,394336.7788977082,0.010779082510917576,interp_clean_nearest_re
raw_best_tier2,raw,0.5430806442658668,9.3226,0.9354,1.2477,dae21,391906.7392487423,0.010580421055650433,interp_clean_nearest_re
raw_best_tier2,raw,0.5890140842937169,10.1111,0.938,1.1781,cst_mid2_nsga2_g01_child_0046_9585b968,392996.0673672442,2.087629038796507e-05,clamped_high_cl
raw_best_tier2,raw,0.6342892518138756,10.8883,0.9405,1.1072,cst_mid2_nsga2_g01_child_0046_9585b968,394043.4982504192,2.087629038796507e-05,clamped_high_cl
raw_best_tier2,raw,0.6784575894538452,11.6465,0.9431,1.0371,cst_mid2_nsga2_g01_child_0046_9585b968,395132.8263689212,1.878136163152786e-06,interp_clean_nearest_re
raw_best_tier2,raw,0.7213909379643405,12.3835,0.9488,0.9672,cst_mid2_nsga2_g01_child_0046_9585b968,397520.9687825601,0.00018337465872675536,interp_clean_nearest_re
raw_best_tier2,raw,0.762652390813708,13.0918,0.9576,0.8987,cst_mid2_nsga2_g01_child_0046_9585b968,401207.9254913359,3.341727126727445e-07,interp_clean_nearest_re
raw_best_tier2,raw,0.801554548392146,13.7596,0.9659,0.8322,cst_tip_nsga2_g04_child_0123_01770232,404685.3960234768,5.533244523665258e-07,interp_clean_nearest_re
raw_best_tier2,raw,0.8414470274423321,14.4444,0.9373,0.7883,cst_tip_nsga2_g04_child_0123_01770232,392702.7867199553,0.009199635239639218,interp_clean_nearest_re
raw_best_tier2,raw,0.8814967928439137,15.1319,0.8768,0.757,cst_tip_nsga2_g04_child_0123_01770232,367354.9593471213,0.014844035741286551,interp_clean_nearest_re
raw_best_tier2,raw,0.9138628287088135,15.6875,0.7953,0.733,cst_tip_nsga2_g04_child_0123_01770232,333208.7125556176,0.03482422798617199,interp_clean_nearest_re
raw_best_tier2,raw,0.9388946602623547,16.1172,0.6986,0.719,cst_tip_nsga2_g04_child_0123_01770232,292694.08599441027,0.010161839225359402,interp_clean_nearest_re
raw_best_tier2,raw,0.9593418859437439,16.4682,0.6539,0.6635,cst_tip_nsga2_g04_child_0123_01770232,273966.02180324204,0.010959104026826464,interp_clean_nearest_re
raw_best_tier2,raw,0.9752452836959355,16.7412,0.6508,0.5643,cst_tip_nsga2_g04_child_0123_01770232,272667.20750810514,0.01103518944886574,interp_clean_nearest_re
raw_best_tier2,raw,0.9873097293899974,16.9483,0.6484,0.439,cst_tip_nsga2_g04_child_0123_01770232,271661.67386025714,0.011228487413339538,interp_clean_nearest_re
raw_best_tier2,raw,0.9954187146174884,17.0875,0.6468,0.2821,cst_tip_nsga2_g04_child_0123_01770232,270991.3180950252,0.011381145661144496,interp_clean_nearest_re
raw_best_tier2,raw,0.9994906834925001,17.1574,0.646,0.0983,cst_tip_nsga2_g04_child_0123_01770232,270656.1402124092,0.015150644254516957,interp_clean_nearest_re
raw_best_tier2,raw,1.0,17.166143,0.645934,0.0983,cst_tip_nsga2_g04_child_0123_01770232,270628.48803709337,0.015150644254516957,interp_clean_nearest_re
raw_best_tier2,monotone,0.0,0.0,1.256773096,1.3356,cst_root_nsga2_g04_child_0066_2124fc90,526553.1815575226,0.010297007610386745,interp_clean_nearest_re
raw_best_tier2,monotone,0.0006582725076914481,0.0113,1.2561,1.3356,cst_root_nsga2_g04_child_0066_2124fc90,526271.1729424259,0.010297007610386745,interp_clean_nearest_re
raw_best_tier2,monotone,0.0059128017283789375,0.1015,1.2506,1.3295,cst_root_nsga2_g04_child_0066_2124fc90,523966.8249994409,0.010240624747661053,interp_clean_nearest_re
raw_best_tier2,monotone,0.016369431385955483,0.281,1.2396,1.3349,cst_root_nsga2_g04_child_0066_2124fc90,519358.12911347125,0.01057428708618457,interp_clean_nearest_re
raw_best_tier2,monotone,0.03193495475366831,0.5482,1.2233,1.343,cst_root_nsga2_g04_child_0066_2124fc90,512528.87975517043,0.010637879673838913,interp_clean_nearest_re
raw_best_tier2,monotone,0.052446260059700066,0.9003,1.2018,1.3532,cst_root_nsga2_g04_child_0066_2124fc90,503520.97415986576,0.0107179592286629,interp_clean_nearest_re
raw_best_tier2,monotone,0.07771693385054522,1.3341,1.1753,1.3654,cst_root_nsga2_g04_child_0066_2124fc90,492418.2067982113,0.010830371434338562,interp_clean_nearest_re
raw_best_tier2,monotone,0.10750230846847773,1.8454,1.144,1.3794,cst_root_nsga2_g04_child_0066_2124fc90,479304.3721408607,0.01113016740198849,interp_clean_nearest_re
raw_best_tier2,monotone,0.1415111128923952,2.4292,1.1084,1.3956,cst_root_nsga2_g04_child_0066_2124fc90,464388.95636444946,0.011365581851895208,interp_clean_nearest_re
raw_best_tier2,monotone,0.17620149150569234,3.0247,1.0792,1.401,cst_root_nsga2_g04_child_0066_2124fc90,452154.9636489658,0.011711257157621337,interp_clean_nearest_re
