case_id,display_name,variant,span_m,spanload_total_half_lift_n,root_bending_proxy_n_m,normalized_bending_vs_old_fx_raw,tip_deflection_estimate_m,tip_deflection_estimate_basis,loaded_tip_z_m,effective_dihedral_loaded_deg,jig_tip_z_unloaded_estimate_m,jig_feasibility_band,wire_relief_effect_m,unbraced_tip_deflection_estimate_m,outer_lift_fraction_eta_ge_0p70,warning_flags,not_structure_grade
raw_best_tier2,Tier2 raw performance best,raw,34.332286,501.68701317973006,3533.841320141667,1.0210064748220682,2.294391866541468,scaled existing uniform-load wire-relieved proxy; not_structure_grade,1.050581644,3.502179251635709,-1.243810222541468,proxy_warning,2.545416598951712,4.839808465493181,0.16178817913530844,negative_unloaded_jig_tip_estimate|above_preferred_deflection_band_proxy,True
raw_best_tier2,Tier2 raw performance best,monotone,34.332286,501.6190933285512,3519.4269723576112,1.0168418445841525,2.2766616906795707,scaled existing uniform-load wire-relieved proxy; not_structure_grade,1.050581644,3.502179251635709,-1.2260800466795707,proxy_warning,2.5257466007272,4.8024082914067705,0.1586618028367071,negative_unloaded_jig_tip_estimate|above_preferred_deflection_band_proxy,True
raw_best_tier2,Tier2 raw performance best,smooth_monotone,34.332286,501.6310773060849,3408.7933368757754,0.9848772915873216,2.1503170735771215,scaled existing uniform-load wire-relieved proxy; not_structure_grade,1.050581644,3.502179251635709,-1.0997354295771216,proxy_warning,2.385578876873843,4.535895950450964,0.1411625978451609,negative_unloaded_jig_tip_estimate,True
conservative_best_tier2,Tier2 conservative best,raw,34.332286,501.65482798223326,3652.0802696204023,1.055168374595516,2.3942193004945445,scaled existing uniform-load wire-relieved proxy; not_structure_grade,1.050581644,3.502179251635709,-1.3436376564945445,proxy_warning,2.6561659487556524,5.050385249250197,0.16777229646319677,negative_unloaded_jig_tip_estimate|above_preferred_deflection_band_proxy,True
conservative_best_tier2,Tier2 conservative best,monotone,34.332286,501.60420864328086,3644.803975927588,1.0530660892068862,2.3827424929173815,scaled existing uniform-load wire-relieved proxy; not_structure_grade,1.050581644,3.502179251635709,-1.3321608489173815,proxy_warning,2.643433487079905,5.026175979997287,0.16509346573435707,negative_unloaded_jig_tip_estimate|above_preferred_deflection_band_proxy,True
conservative_best_tier2,Tier2 conservative best,smooth_monotone,34.332286,501.60094465781043,3533.28115949552,1.0208446317751276,2.2553428942541487,scaled existing uniform-load wire-relieved proxy; not_structure_grade,1.050581644,3.502179251635709,-1.2047612502541487,proxy_warning,2.50209535828589,4.757438252540038,0.14746335230248964,negative_unloaded_jig_tip_estimate|above_preferred_deflection_band_proxy,True
policy_A_performance_candidate,Policy A / D performance candidate,raw,34.332285818,501.65012529489803,3643.5668112887447,1.0527086444344,2.4126716324535233,scaled existing uniform-load wire-relieved proxy; not_structure_grade,1.050581633,3.5021792335771007,-1.3620899994535234,proxy_warning,2.6766371127022697,5.089308745155793,0.17769587192373548,negative_unloaded_jig_tip_estimate|above_preferred_deflection_band_proxy,True
policy_A_performance_candidate,Policy A / D performance candidate,monotone,34.332285818,501.6455526276786,3642.68387675845,1.0524535447311008,2.4096402696343073,scaled existing uniform-load wire-relieved proxy; not_structure_grade,1.050581633,3.5021792335771007,-1.3590586366343074,proxy_warning,2.6732740946625015,5.082914364296809,0.17646109621928482,negative_unloaded_jig_tip_estimate|above_preferred_deflection_band_proxy,True
policy_A_performance_candidate,Policy A / D performance candidate,smooth_monotone,34.332285818,501.66774315966916,3528.4515582789168,1.0194492510360844,2.2787126619337386,scaled existing uniform-load wire-relieved proxy; not_structure_grade,1.050581633,3.5021792335771007,-1.2281310289337386,proxy_warning,2.5280219645612796,4.806734626495018,0.15794106894104654,negative_unloaded_jig_tip_estimate|above_preferred_deflection_band_proxy,True
policy_C_conservative_baseline,Policy C / E conservative baseline,raw,34.332285818,501.64642520451207,3595.0523537834983,1.0386917232577155,2.3588357299269473,scaled existing uniform-load wire-relieved proxy; not_structure_grade,1.050581633,3.5021792335771007,-1.3082540969269474,proxy_warning,2.6169111339324544,4.975746863859402,0.1705190718484379,negative_unloaded_jig_tip_estimate|above_preferred_deflection_band_proxy,True
policy_C_conservative_baseline,Policy C / E conservative baseline,monotone,34.332285818,501.642383510415,3594.3199093006733,1.038480103523929,2.355953842873469,scaled existing uniform-load wire-relieved proxy; not_structure_grade,1.050581633,3.5021792335771007,-1.3053722098734692,proxy_warning,2.6137139454969476,4.969667788370416,0.16930496467437767,negative_unloaded_jig_tip_estimate|above_preferred_deflection_band_proxy,True
policy_C_conservative_baseline,Policy C / E conservative baseline,smooth_monotone,34.332285818,501.6572223098754,3481.9074290196927,1.0060016021369205,2.226998786002396,scaled existing uniform-load wire-relieved proxy; not_structure_grade,1.050581633,3.5021792335771007,-1.1764171530023961,proxy_warning,2.4706501789864856,4.697648964988882,0.15112773584202085,negative_unloaded_jig_tip_estimate|above_preferred_deflection_band_proxy,True
old_fx_clark_baseline,Old FX/Clark baseline,raw,33.0,501.48289732506606,3461.1350733672016,1.0,1.9006867294184442,scaled existing uniform-load wire-relieved proxy; not_structure_grade,0.810978837,2.8138365072519433,-1.0897078924184442,proxy_warning,2.108636986131642,4.009323715550086,0.14763003818214843,negative_unloaded_jig_tip_estimate,True
old_fx_clark_baseline,Old FX/Clark baseline,monotone,33.0,501.2670555948054,3461.7681040638895,1.000182896848366,1.9033230485557033,scaled existing uniform-load wire-relieved proxy; not_structure_grade,0.810978837,2.8138365072519433,-1.0923442115557034,proxy_warning,2.1115617395662976,4.014884788122001,0.15016634196131007,negative_unloaded_jig_tip_estimate,True
old_fx_clark_baseline,Old FX/Clark baseline,smooth_monotone,33.0,501.2659717970896,3539.738756394176,1.0227103771915218,1.9805877770683393,scaled existing uniform-load wire-relieved proxy; not_structure_grade,0.810978837,2.8138365072519433,-1.1696089400683394,proxy_warning,2.197279844366774,4.177867621435113,0.16309918493681533,negative_unloaded_jig_tip_estimate,True
