Node,Y_Position_m,Main_X_m,Main_Z_m,Main_Outer_Radius_m,Main_Wall_Thickness_m,Rear_X_m,Rear_Z_m,Rear_Outer_Radius_m,Rear_Wall_Thickness_m,Lift_Per_Span_N_m,Torque_Per_Span_Nm_m,Main_FZ_N,Rear_FZ_N,Is_Joint,Is_Wire_Attach
1,-5.62791412255e-24,0.314193274,0.0714391296181,3.06350000e-02,8.00000000e-04,0.8797411672,0.0651858601168,1.00000000e-02,8.00000000e-04,0.00000000e+00,0.00000000e+00,-6.93811032e-01,-2.20293895e-01,0,0
2,0.290934130567,0.311976994474,0.0813289511336,3.06350000e-02,8.00000000e-04,0.87329589784,0.067430090864,1.00000000e-02,8.00000000e-04,0.00000000e+00,0.00000000e+00,-1.38762206e+00,-4.40587789e-01,0,0
3,0.581866419571,0.309737881809,0.091907483552,3.06350000e-02,8.00000000e-04,0.866933914807,0.0594865598472,1.00000000e-02,8.00000000e-04,7.81467702e+01,-4.58800208e+01,2.13493039e+01,-4.40587789e-01,0,0
4,0.872799437773,0.307488494757,0.103054036861,3.06350000e-02,8.00000000e-04,0.860626597807,0.0483921827354,1.00000000e-02,8.00000000e-04,7.78220594e+01,-4.58643968e+01,2.12548288e+01,-4.40587789e-01,0,0
5,1.16373681383,0.305291055906,0.114615213978,3.06350000e-02,8.00000000e-04,0.854310761465,0.0412068776624,1.00000000e-02,8.00000000e-04,7.74973486e+01,-4.58487728e+01,2.11603537e+01,-4.40587789e-01,0,0
6,1.45468389072,0.303340539698,0.126404742176,3.06350000e-02,8.00000000e-04,0.848120693848,0.0450135654237,1.00000000e-02,8.00000000e-04,7.71836216e+01,-4.58312364e+01,2.10690743e+01,-4.40587789e-01,1,0
7,1.74562531181,0.301023296929,0.138511599855,3.06350000e-02,8.00000000e-04,0.842266795542,0.056275845922,1.00000000e-02,8.00000000e-04,7.68893558e+01,-4.58103116e+01,2.09834572e+01,-4.40587789e-01,0,0
8,2.03656364236,0.298380126297,0.151262080256,3.06350000e-02,8.00000000e-04,0.835935676822,0.0656455614104,1.00000000e-02,8.00000000e-04,7.65950900e+01,-4.57893868e+01,2.08978401e+01,-4.40587789e-01,0,0
9,2.32750450626,0.296095453045,0.164642232136,3.06350000e-02,8.00000000e-04,0.829562652522,0.0719422805449,1.00000000e-02,8.00000000e-04,7.62733057e+01,-4.57550069e+01,2.08042164e+01,-4.40587789e-01,0,0
10,2.61844772739,0.29402023133,0.17860571979,3.06350000e-02,8.00000000e-04,0.823312414583,0.0740089608508,1.00000000e-02,8.00000000e-04,7.58763294e+01,-4.56838618e+01,2.06887156e+01,-4.40587789e-01,0,0
11,2.90939824967,0.291584792703,0.196804806741,3.06350000e-02,8.00000000e-04,0.816781403622,0.0745788951219,1.00000000e-02,8.00000000e-04,7.54793530e+01,-4.56127168e+01,2.05732147e+01,-4.40587789e-01,0,0
12,3.20036431719,0.28912048173,0.218640584484,3.06350000e-02,8.00000000e-04,0.810224332904,0.0743634950063,1.00000000e-02,8.00000000e-04,7.50586275e+01,-4.55408878e+01,2.04508039e+01,-4.40587789e-01,0,0
13,3.49134976477,0.286927564954,0.241069689099,3.06350000e-02,8.00000000e-04,0.803772367412,0.0734752802737,1.00000000e-02,8.00000000e-04,7.45260231e+01,-4.54658367e+01,2.02958418e+01,-4.40587789e-01,0,0
14,3.78236072473,0.284669524324,0.263848701167,3.06350000e-02,8.00000000e-04,0.797230798092,0.0749962935524,1.00000000e-02,8.00000000e-04,7.39934188e+01,-4.53907857e+01,2.01408798e+01,-4.40587789e-01,0,0
15,4.07340768371,0.282410014588,0.286702724913,3.06350000e-02,8.00000000e-04,0.790766013462,0.0820356885224,1.00000000e-02,8.00000000e-04,7.34610911e+01,-4.52937670e+01,1.99859982e+01,-4.40587789e-01,0,0
16,4.3645044171,0.280479991347,0.30932562697,3.06350000e-02,8.00000000e-04,0.784817895753,0.0977297299815,1.00000000e-02,8.00000000e-04,7.29328777e+01,-4.49524699e+01,1.98323137e+01,-4.40587789e-01,1,0
17,4.65563965421,0.278097060317,0.331485622324,3.06350000e-02,8.00000000e-04,0.778456696076,0.120894837387,1.00000000e-02,8.00000000e-04,7.24065674e+01,-4.46124883e+01,1.96791829e+01,-4.40587789e-01,0,0
18,4.94682974459,0.275259956832,0.353108443722,3.06350000e-02,8.00000000e-04,0.771432297834,0.146319539237,1.00000000e-02,8.00000000e-04,7.18823463e+01,-4.40841193e+01,1.95266599e+01,-4.40587789e-01,0,0
19,5.23808965346,0.272868745668,0.373983363133,3.06350000e-02,8.00000000e-04,0.765026439673,0.171434704424,1.00000000e-02,8.00000000e-04,7.13565444e+01,-4.33753070e+01,1.93736770e+01,-4.40587789e-01,0,0
