Node,Y_Position_m,Main_X_m,Main_Z_m,Main_Outer_Radius_m,Main_Wall_Thickness_m,Rear_X_m,Rear_Z_m,Rear_Outer_Radius_m,Rear_Wall_Thickness_m,Lift_Per_Span_N_m,Torque_Per_Span_Nm_m,Main_FZ_N,Rear_FZ_N,Is_Joint,Is_Wire_Attach
1,0,0.314193274,0.0714391296181,3.06350000e-02,8.00000000e-04,0.8797411672,0.0651858601168,1.00000000e-02,8.00000000e-04,0.00000000e+00,0.00000000e+00,-6.93811032e-01,-2.20293895e-01,0,0
2,0.290951576271,0.311936699231,0.0812260376414,3.06350000e-02,8.00000000e-04,0.873422757847,0.0753080038561,1.00000000e-02,8.00000000e-04,0.00000000e+00,0.00000000e+00,-1.38762206e+00,-4.40587789e-01,0,0
3,0.581903152542,0.309680124462,0.0916194765604,3.06350000e-02,8.00000000e-04,0.867104348494,0.0860904310879,1.00000000e-02,8.00000000e-04,7.81467702e+01,-4.58800208e+01,2.13493039e+01,-4.40587789e-01,0,0
4,0.872854728814,0.307423549693,0.102621050855,3.06350000e-02,8.00000000e-04,0.86078593914,0.0975334797316,1.00000000e-02,8.00000000e-04,7.78220594e+01,-4.58643968e+01,2.12548288e+01,-4.40587789e-01,0,0
5,1.16380630508,0.305166974924,0.114232365004,3.06350000e-02,8.00000000e-04,0.854467529787,0.109637487746,1.00000000e-02,8.00000000e-04,7.74973486e+01,-4.58487728e+01,2.11603537e+01,-4.40587789e-01,0,0
6,1.45475788136,0.302910400155,0.126455023489,3.06350000e-02,8.00000000e-04,0.848149120434,0.122402793128,1.00000000e-02,8.00000000e-04,7.71836216e+01,-4.58312364e+01,2.10690743e+01,-4.40587789e-01,1,0
7,1.74570945763,0.300653825386,0.139290630788,3.06350000e-02,8.00000000e-04,0.841830711081,0.135829733908,1.00000000e-02,8.00000000e-04,7.68893558e+01,-4.58103116e+01,2.09834572e+01,-4.40587789e-01,0,0
8,2.0366610339,0.298397250617,0.152740791381,3.06350000e-02,8.00000000e-04,0.835512301728,0.149918648154,1.00000000e-02,8.00000000e-04,7.65950900e+01,-4.57893868e+01,2.08978401e+01,-4.40587789e-01,0,0
9,2.32761261017,0.296140675848,0.166807109749,3.06350000e-02,8.00000000e-04,0.829193892375,0.164669873964,1.00000000e-02,8.00000000e-04,7.62733057e+01,-4.57550069e+01,2.08042164e+01,-4.40587789e-01,0,0
10,2.61856418644,0.293884101079,0.18149119037,3.06350000e-02,8.00000000e-04,0.822875483021,0.180083749466,1.00000000e-02,8.00000000e-04,7.58763294e+01,-4.56838618e+01,2.06887156e+01,-4.40587789e-01,0,0
11,2.90951576271,0.291589408924,0.20053634788,3.06350000e-02,8.00000000e-04,0.816450344988,0.199706725509,1.00000000e-02,8.00000000e-04,7.54793530e+01,-4.56127168e+01,2.05732147e+01,-4.40587789e-01,0,0
12,3.20046733898,0.289264767344,0.2234934011,3.06350000e-02,8.00000000e-04,0.809941348565,0.223116123638,1.00000000e-02,8.00000000e-04,7.50586275e+01,-4.55408878e+01,2.04508039e+01,-4.40587789e-01,0,0
13,3.49141891525,0.286940125765,0.247523077138,3.06350000e-02,8.00000000e-04,0.803432352141,0.24762154586,1.00000000e-02,8.00000000e-04,7.45260231e+01,-4.54658367e+01,2.02958418e+01,-4.40587789e-01,0,0
14,3.78237049153,0.284615484185,0.272627028872,3.06350000e-02,8.00000000e-04,0.796923355718,0.273223902207,1.00000000e-02,8.00000000e-04,7.39934188e+01,-4.53907857e+01,2.01408798e+01,-4.40587789e-01,0,0
