spar,node_index,y_m,ux_m,uy_m,uz_m,theta_x_rad,theta_y_rad,theta_z_rad
main,0,0.000000,3.92567281e-21,5.62791412e-24,5.12606300e-22,-6.73361235e-23,-2.14214348e-22,-1.11081601e-20
main,1,0.290952,-4.02952430e-05,1.74457046e-05,-1.02913492e-04,7.33860905e-04,-3.06030905e-02,-5.78743874e-04
main,2,0.581903,-5.77573472e-05,3.67329712e-05,-2.88006992e-04,1.04313234e-03,-6.12110994e-02,-1.08097037e-03
main,3,0.872855,-6.49450637e-05,5.52910403e-05,-4.32986006e-04,8.61964945e-04,-8.99566114e-02,-1.71287236e-03
main,4,1.163806,-1.24080982e-04,6.94912539e-05,-3.82848974e-04,7.71119126e-05,-1.16839230e-01,-2.57157714e-03
main,5,1.454758,-4.30139543e-04,7.39906347e-05,5.02813134e-05,-1.42428459e-03,-1.41844193e-01,-4.47177989e-03
main,6,1.745709,-3.69471543e-04,8.41458188e-05,7.79030933e-04,-1.07092960e-03,-1.78263222e-01,-1.58731815e-03
main,7,2.036661,1.71243198e-05,9.73915382e-05,1.47871113e-03,-7.30377366e-04,-2.12720299e-01,-3.68790857e-03
main,8,2.327613,4.52228028e-05,1.08103909e-04,2.16487761e-03,-5.13304411e-04,-2.45325701e-01,-5.43543695e-03
main,9,2.618564,-1.36130251e-04,1.16459054e-04,2.88547058e-03,-5.30690559e-04,-2.76089471e-01,-6.44078733e-03
main,10,2.909516,4.61622144e-06,1.17513044e-04,3.73154114e-03,-9.55802466e-04,-3.05090653e-01,-9.42610954e-03
main,11,3.200467,1.44285614e-04,1.03021796e-04,4.85281662e-03,-2.01862384e-03,-3.32340497e-01,-1.23798960e-02
main,12,3.491419,1.25608108e-05,6.91504877e-05,6.45338804e-03,-3.88338415e-03,-3.57822130e-01,-1.32037981e-02
main,13,3.782370,-5.40401385e-05,9.76679227e-06,8.77832771e-03,-6.65916782e-03,-3.81474257e-01,-1.37193313e-02
main,14,4.073322,-1.19171983e-04,-8.56159089e-05,1.21041843e-02,-1.04539809e-02,-4.03267787e-01,-1.48521197e-02
main,15,4.364274,-5.13790322e-04,-2.30773033e-04,1.67387440e-02,-1.53749966e-02,-4.23175255e-01,-1.75115192e-02
main,16,4.655225,-4.55500871e-04,-4.14433867e-04,2.29154447e-02,-2.04068809e-02,-4.50321662e-01,-1.36325694e-02
main,17,4.946177,5.69610346e-05,-6.52947977e-04,3.07102066e-02,-2.61324122e-02,-4.75425416e-01,-1.63030094e-02
main,18,5.237128,1.23530618e-04,-9.61280575e-04,4.03354105e-02,-3.26542390e-02,-4.98762058e-01,-1.84777229e-02
main,19,5.528080,-6.74056489e-07,-1.34628722e-03,5.20338273e-02,-4.00759210e-02,-5.20392758e-01,-1.92728225e-02
main,20,5.819032,-1.87499728e-04,-1.81695400e-03,6.60783832e-02,-4.85009097e-02,-5.40286876e-01,-2.04456644e-02
main,21,6.109983,-8.28842833e-05,-2.47396359e-03,8.27899100e-02,-5.80976958e-02,-5.58503416e-01,-2.47209840e-02
main,22,6.400935,4.15890576e-04,-3.45721350e-03,1.02556922e-01,-6.91572672e-02,-5.75331289e-01,-3.08028161e-02
main,23,6.691886,1.42080244e-04,-4.62907087e-03,1.25818647e-01,-8.19016014e-02,-5.90805972e-01,-3.17526098e-02
main,24,6.982838,-1.67422659e-06,-6.00835911e-03,1.53076517e-01,-9.64313464e-02,-6.04755981e-01,-3.14826951e-02
main,25,7.273789,4.53660572e-06,-7.62278421e-03,1.84860666e-01,-1.12845169e-01,-6.17103290e-01,-3.21353285e-02
main,26,7.564741,-1.46100922e-04,-9.50430191e-03,2.21729563e-01,-1.31239610e-01,-6.27874089e-01,-3.38110857e-02
main,27,7.855693,-1.70480341e-04,-1.16468872e-02,2.64255693e-01,-1.49456822e-01,-6.45733408e-01,-3.23473824e-02
main,28,8.146644,6.26287274e-05,-1.40517924e-02,3.11825447e-01,-1.65673477e-01,-6.61934039e-01,-3.38652600e-02
main,29,8.437596,8.98371304e-05,-1.66934143e-02,3.63866494e-01,-1.79981902e-01,-6.76658566e-01,-3.54260764e-02
main,30,8.728547,-1.12764807e-04,-1.95438482e-02,4.19833623e-01,-1.92474430e-01,-6.89939178e-01,-3.69583359e-02
main,31,9.019499,-3.24351705e-05,-2.28637033e-02,4.79238119e-01,-2.03354849e-01,-7.01768538e-01,-4.16460514e-02
main,32,9.310450,6.45353044e-04,-2.70027787e-02,5.41687856e-01,-2.13058678e-01,-7.12517479e-01,-4.88828846e-02
main,33,9.601402,3.49544482e-04,-3.13366233e-02,6.06856111e-01,-2.21905441e-01,-7.22326034e-01,-4.97854154e-02
main,34,9.892354,2.32570360e-04,-3.58392113e-02,6.74503877e-01,-2.29984495e-01,-7.30909876e-01,-4.89557479e-02
main,35,10.183305,4.59522065e-04,-4.04948258e-02,7.44417188e-01,-2.37382084e-01,-7.38147516e-01,-4.85510298e-02
main,36,10.474257,1.25557819e-03,-4.52888576e-02,8.16406603e-01,-2.44179891e-01,-7.44236060e-01,-4.60058768e-02
main,37,10.765208,9.68046338e-04,-5.03109738e-02,8.91499700e-01,-2.57845289e-01,-7.69059214e-01,-5.70008518e-02
main,38,11.056160,8.77969055e-05,-5.55904652e-02,9.70268428e-01,-2.69096176e-01,-7.91919275e-01,-5.33736556e-02
main,39,11.347111,1.87981914e-04,-6.10677756e-02,1.05203320e+00,-2.78132783e-01,-8.11678631e-01,-5.32153087e-02
main,40,11.638063,3.47800701e-04,-6.67088093e-02,1.13616911e+00,-2.85139229e-01,-8.28493892e-01,-5.55110261e-02
main,41,11.929015,1.10748486e-04,-7.24789428e-02,1.22210445e+00,-2.90293170e-01,-8.42608542e-01,-5.81104466e-02
main,42,12.219966,7.61201524e-04,-7.91398250e-02,1.30944085e+00,-2.94107960e-01,-8.54345237e-01,-6.67919861e-02
main,43,12.510918,8.33050614e-04,-8.62388463e-02,1.39783984e+00,-2.97239973e-01,-8.64120054e-01,-7.05724545e-02
main,44,12.801869,7.15496699e-04,-9.34143018e-02,1.48711141e+00,-2.99994505e-01,-8.71898701e-01,-6.95929731e-02
main,45,13.092821,1.21897304e-03,-1.00651085e-01,1.57716207e+00,-3.02519130e-01,-8.77491705e-01,-6.74646943e-02
main,46,13.383773,3.87065596e-03,-1.07930670e-01,1.66793910e+00,-3.04940790e-01,-8.81689262e-01,-5.56978050e-02
main,47,13.674724,3.15184602e-03,-1.15463476e-01,1.76057743e+00,-3.14386684e-01,-9.15074134e-01,-9.52168620e-02
main,48,13.965676,2.26623760e-04,-1.23222386e-01,1.85569287e+00,-3.21457866e-01,-9.46430206e-01,-7.62058760e-02
main,49,14.256627,1.25315929e-03,-1.31632004e-01,1.95277191e+00,-3.26582423e-01,-9.69757144e-01,-8.29310279e-02
main,50,14.547579,1.68286498e-03,-1.40497831e-01,2.05123361e+00,-3.30087937e-01,-9.87701319e-01,-9.04590917e-02
main,51,14.838530,1.47601578e-03,-1.49452795e-01,2.15056108e+00,-3.32287771e-01,-1.00155532e+00,-9.02653133e-02
main,52,15.129482,1.55146109e-03,-1.58456366e-01,2.25040700e+00,-3.33485441e-01,-1.01119682e+00,-9.07314635e-02
main,53,15.420434,1.54409939e-03,-1.67488653e-01,2.35050948e+00,-3.33959850e-01,-1.01724733e+00,-9.23455080e-02
main,54,15.711385,2.12080338e-03,-1.77057331e-01,2.45093513e+00,-3.33971561e-01,-1.02028720e+00,-9.79574417e-02
main,55,16.002337,2.07708084e-03,-1.86694270e-01,2.55135820e+00,-3.33762854e-01,-1.02166892e+00,-9.82864566e-02
main,56,16.293288,2.05352686e-03,-1.96329961e-01,2.65171650e+00,-3.33566560e-01,-1.02159256e+00,-9.80494934e-02
main,57,16.584240,2.82047574e-03,-2.06424433e-01,2.75273830e+00,-3.33467687e-01,-1.02129117e+00,-1.01019005e-01
main,58,16.875191,3.00495640e-03,-2.16555897e-01,2.85377764e+00,-3.33430195e-01,-1.02113608e+00,-1.02562535e-01
main,59,17.166143,3.05252203e-03,-2.26695029e-01,2.95481119e+00,-3.33421621e-01,-1.02118452e+00,-1.02078788e-01
rear,0,0.000000,-1.25668383e-23,-2.01776205e-22,-3.07320379e-22,6.07678907e-22,-3.95087806e-24,1.10537253e-22
