Node,Y_Position_m,Main_X_m,Main_Z_m,Main_Outer_Radius_m,Main_Wall_Thickness_m,Rear_X_m,Rear_Z_m,Rear_Outer_Radius_m,Rear_Wall_Thickness_m,Lift_Per_Span_N_m,Torque_Per_Span_Nm_m,Main_FZ_N,Rear_FZ_N,Is_Joint,Is_Wire_Attach
1,1.93106022175e-19,0.314193274,0.0714391296181,3.06350000e-02,8.00000000e-04,0.8797411672,0.0651858601168,1.00000000e-02,8.00000000e-04,0.00000000e+00,0.00000000e+00,-6.93811032e-01,-2.20293895e-01,0,0
2,0.29093394949,0.311976975806,0.0813370380343,3.06350000e-02,8.00000000e-04,0.873296249765,0.0674531455665,1.00000000e-02,8.00000000e-04,0.00000000e+00,0.00000000e+00,-1.38762206e+00,-4.40587789e-01,0,0
3,0.581865720269,0.30973786105,0.0919403349967,3.06350000e-02,8.00000000e-04,0.866934386347,0.0595695228816,1.00000000e-02,8.00000000e-04,7.91322561e+01,-4.58800208e+01,2.16360326e+01,-4.40587789e-01,0,0
4,0.872797871755,0.307488490325,0.103128834146,3.06350000e-02,8.00000000e-04,0.860627050602,0.0485586900344,1.00000000e-02,8.00000000e-04,7.87995218e+01,-4.58643968e+01,2.15392230e+01,-4.40587789e-01,0,0
5,1.16373403017,0.305291095013,0.114749200372,3.06350000e-02,8.00000000e-04,0.854311317736,0.0414673480851,1.00000000e-02,8.00000000e-04,7.84667875e+01,-4.58487728e+01,2.14424134e+01,-4.40587789e-01,0,0
6,1.45467954564,0.303340746074,0.126614784329,3.06350000e-02,8.00000000e-04,0.848121739776,0.0453652013789,1.00000000e-02,8.00000000e-04,7.81453263e+01,-4.58312364e+01,2.13488838e+01,-4.40587789e-01,1,0
7,1.74561908712,0.301023592538,0.138812914915,3.06350000e-02,8.00000000e-04,0.842266554513,0.0567298261082,1.00000000e-02,8.00000000e-04,7.78438391e+01,-4.58103116e+01,2.12611656e+01,-4.40587789e-01,0,0
8,2.03655526876,0.29838027077,0.151667625845,3.06350000e-02,8.00000000e-04,0.835934719223,0.0662309992757,1.00000000e-02,8.00000000e-04,7.75423519e+01,-4.57893868e+01,2.11734474e+01,-4.40587789e-01,0,0
9,2.32749375386,0.296095534026,0.165163115318,3.06350000e-02,8.00000000e-04,0.829562115298,0.0726807296118,1.00000000e-02,8.00000000e-04,7.72126131e+01,-4.57550069e+01,2.10775094e+01,-4.40587789e-01,0,0
10,2.61843441069,0.294020162669,0.179250771994,3.06350000e-02,8.00000000e-04,0.82331184435,0.0749144155721,1.00000000e-02,8.00000000e-04,7.68056791e+01,-4.56838618e+01,2.09591113e+01,-4.40587789e-01,0,0
11,2.90938112981,0.291585058284,0.197580181623,3.06350000e-02,8.00000000e-04,0.816781110535,0.0756579829866,1.00000000e-02,8.00000000e-04,7.63987452e+01,-4.56127168e+01,2.08407133e+01,-4.40587789e-01,0,0
12,3.20034240782,0.28912102203,0.219549283466,3.06350000e-02,8.00000000e-04,0.810224258078,0.0756161606594,1.00000000e-02,8.00000000e-04,7.59669904e+01,-4.55408878e+01,2.07150935e+01,-4.40587789e-01,0,0
13,3.49132307895,0.286927905204,0.242111104546,3.06350000e-02,8.00000000e-04,0.803772273932,0.0748953815552,1.00000000e-02,8.00000000e-04,7.54183088e+01,-4.54658367e+01,2.05554538e+01,-4.40587789e-01,0,0
