spar,node_index,y_m,ux_m,uy_m,uz_m,theta_x_rad,theta_y_rad,theta_z_rad
main,0,0.000000,-1.88530987e-17,-1.93106022e-19,9.54845527e-19,3.26242085e-20,1.00882409e-18,3.05361213e-17
main,1,0.290952,-4.02765748e-05,1.76267812e-05,-1.11000393e-04,7.89912626e-04,-3.05511660e-02,-5.77728362e-04
main,2,0.581903,-5.77365883e-05,3.74322734e-05,-3.20858436e-04,1.15696865e-03,-6.11072361e-02,-1.07898381e-03
main,3,0.872855,-6.49406320e-05,5.68570589e-05,-5.07783291e-04,1.03455866e-03,-8.98008024e-02,-1.70987486e-03
main,4,1.163806,-1.24120089e-04,7.22749146e-05,-5.16835367e-04,3.07922330e-04,-1.16631477e-01,-2.56766140e-03
main,5,1.454758,-4.30345919e-04,7.83357148e-05,-1.59760840e-04,-1.13729940e-03,-1.41584502e-01,-4.46750928e-03
main,6,1.745709,-3.69767151e-04,9.03705103e-05,4.77715873e-04,-7.37428016e-04,-1.77943613e-01,-1.57984838e-03
main,7,2.036661,1.69798467e-05,1.05765136e-04,1.07316554e-03,-3.55983708e-04,-2.12340769e-01,-3.67952139e-03
main,8,2.327613,4.51418223e-05,1.18856309e-04,1.64399443e-03,-1.05109120e-04,-2.44886306e-01,-5.42609776e-03
main,9,2.618564,-1.36061590e-04,1.29775747e-04,2.24041838e-03,-9.72386772e-05,-2.75590302e-01,-6.42933038e-03
main,10,2.909516,4.35064028e-06,1.34632900e-04,2.95616626e-03,-5.07147029e-04,-3.04531664e-01,-9.40858087e-03
main,11,3.200467,1.43745315e-04,1.24931166e-04,3.94411763e-03,-1.56635858e-03,-3.31721632e-01,-1.23566132e-02
main,12,3.491419,1.22205604e-05,9.58363070e-05,5.41197259e-03,-3.44055993e-03,-3.57143353e-01,-1.31786721e-02
main,13,3.782370,-5.43662233e-05,4.10672471e-05,7.60880442e-03,-6.24022376e-03,-3.80735661e-01,-1.36929855e-02
main,14,4.073322,-1.19748889e-04,-5.00215581e-05,1.08155634e-02,-1.00747203e-02,-4.02469502e-01,-1.48244735e-02
main,15,4.364274,-5.15294663e-04,-1.91381734e-04,1.53448306e-02,-1.50525631e-02,-4.22317316e-01,-1.74854797e-02
main,16,4.655225,-4.56945764e-04,-3.71905558e-04,2.14356805e-02,-2.01625222e-02,-4.49412040e-01,-1.35940785e-02
main,17,4.946177,5.65895000e-05,-6.08182054e-04,2.91698889e-02,-2.59853347e-02,-4.74463758e-01,-1.62662006e-02
main,18,5.237128,1.23322941e-04,-9.15401698e-04,3.87656092e-02,-3.26249016e-02,-4.97748561e-01,-1.84416707e-02
main,19,5.528080,-1.00986396e-06,-1.30063868e-03,5.04717458e-02,-4.01860054e-02,-5.19327716e-01,-1.92342176e-02
main,20,5.819032,-1.87552033e-04,-1.77311040e-03,6.45677093e-02,-4.87732840e-02,-5.39170524e-01,-2.04029908e-02
main,21,6.109983,-8.30454193e-05,-2.43431442e-03,8.13811253e-02,-5.85565047e-02,-5.57335761e-01,-2.46687455e-02
main,22,6.400935,4.14783301e-04,-3.42580048e-03,1.01307696e-01,-6.98280744e-02,-5.74111724e-01,-3.07371683e-02
main,23,6.691886,1.41591080e-04,-4.60928028e-03,1.24794341e-01,-8.28110689e-02,-5.89534170e-01,-3.16841193e-02
main,24,6.982838,-2.01204585e-06,-6.00400971e-03,1.52350396e-01,-9.76071021e-02,-6.03431996e-01,-3.14147343e-02
main,25,7.273789,2.94834216e-06,-7.63813318e-03,1.84514167e-01,-1.14315729e-01,-6.15727203e-01,-3.20709513e-02
main,26,7.564741,-1.54075029e-04,-9.54408184e-03,2.21852545e-01,-1.33034293e-01,-6.26444978e-01,-3.37728511e-02
main,27,7.855693,-1.77161952e-04,-1.17159859e-02,2.64947273e-01,-1.51608963e-01,-6.44275190e-01,-3.22293799e-02
main,28,8.146644,6.45151570e-05,-1.41558066e-02,3.13193773e-01,-1.68212319e-01,-6.60441438e-01,-3.37735929e-02
main,29,8.437596,9.32713259e-05,-1.68385143e-02,3.66028275e-01,-1.82937017e-01,-6.75132253e-01,-3.53526659e-02
main,30,8.728547,-1.10015520e-04,-1.97366249e-02,4.22914218e-01,-1.95875549e-01,-6.88380686e-01,-3.68784606e-02
main,31,9.019499,-2.97773756e-05,-2.31163260e-02,4.83371499e-01,-2.07231995e-01,-7.00177606e-01,-4.15496977e-02
main,32,9.310450,6.47525559e-04,-2.73358558e-02,5.47016720e-01,-2.17442499e-01,-7.10892126e-01,-4.87684146e-02
main,33,9.601402,3.53418813e-04,-3.17604395e-02,6.13532238e-01,-2.26825416e-01,-7.20665412e-01,-4.96691877e-02
main,34,9.892354,2.37384316e-04,-3.63646471e-02,6.82687296e-01,-2.35467408e-01,-7.29213959e-01,-4.88416130e-02
main,35,10.183305,4.63492199e-04,-4.11332800e-02,7.54275262e-01,-2.43450959e-01,-7.36416293e-01,-4.84421494e-02
main,36,10.474257,1.25230642e-03,-4.60521931e-02,8.28112756e-01,-2.50852799e-01,-7.42467774e-01,-4.59306851e-02
main,37,10.765208,9.71279714e-04,-5.12185625e-02,9.05347461e-01,-2.65932123e-01,-7.67218131e-01,-5.68142488e-02
main,38,11.056160,1.03664651e-04,-5.66703783e-02,9.86671521e-01,-2.78607710e-01,-7.89993987e-01,-5.32455477e-02
main,39,11.347111,2.04691233e-04,-6.23482942e-02,1.07140563e+00,-2.89059403e-01,-8.09672250e-01,-5.30984105e-02
main,40,11.638063,3.64764394e-04,-6.82177456e-02,1.15891891e+00,-2.97448762e-01,-8.26408116e-01,-5.53759090e-02
main,41,11.929015,1.30991579e-04,-7.42432414e-02,1.24862688e+00,-3.03929735e-01,-8.40442553e-01,-5.79617555e-02
main,42,12.219966,7.83577282e-04,-8.12231659e-02,1.34011145e+00,-3.08996847e-01,-8.52091568e-01,-6.66128465e-02
