schema_version,case_id,source_artifact,source_report,target_loading_source,avl_loading_source,commanded_r3,commanded_r5,commanded_r7,realized_r3,realized_r5,realized_r7,delta_r3,delta_r5,delta_r7,e_fourier_command,e_fourier_realized,e_avl_realized,target_vs_avl_rms,target_vs_avl_max_delta,target_vs_avl_outer_delta,outer_lift_fraction_command,outer_lift_fraction_avl,bending_proxy_command_m,bending_proxy_avl_m,bending_proxy_delta_m,bridge_status,mismatch_diagnosis,quality_flags
fourier_avl_calibration_mvp_v1,rank_01_sample_1476,output/birdman_mission_coupled_medium_search_20260503/top_candidate_exports/rank_01_sample_1476/station_table.csv,output/birdman_mission_coupled_medium_search_20260503/mission_coupled_spanload_search_report.json,target_gamma_m2ps,legacy_avl_cl_times_chord_converted_to_gamma,-0.028492,-0.001097,1.15499726433e-08,-0.21269815698,0.0553095294285,0.0243171086459,-0.18420615698,0.0564065294285,0.0243170970959,0.997564546677,0.865683574606,0.869533,0.202387057443,0.400127931554,0.284009928748,0.175881126192,0.120220255442,7.15336037625,6.303414306,-0.849946070254,outer_underloaded_authority_limited,"legacy station-table loading units were converted to Gamma before fitting; fit uses a sparse station table; treat coefficient magnitudes as diagnostic; AVL actual loading is weaker than commanded loading in the outer span; current MVP evidence cannot separate chord/twist authority, airfoil alpha_L0/camber, loaded-dihedral, and AVL setup without additional case metadata; realized Fourier efficiency is below commanded Fourier efficiency",sparse_station_count_for_four_harmonic_fit; legacy_avl_cl_times_chord_converted_to_gamma_unit_conversion
fourier_avl_calibration_mvp_v1,rank_02_sample_0692,output/birdman_mission_coupled_medium_search_20260503/top_candidate_exports/rank_02_sample_0692/station_table.csv,output/birdman_mission_coupled_medium_search_20260503/mission_coupled_spanload_search_report.json,target_gamma_m2ps,legacy_avl_cl_times_chord_converted_to_gamma,-0.038614,-0.019824,4.87583872732e-09,-0.217483135376,0.00800979007456,0.0476164655906,-0.178869135376,0.0278337900746,0.0476164607147,0.993603105835,0.863491626949,0.854977,0.18907493746,0.302645205162,0.281395507796,0.171158846255,0.112210544881,7.16982864524,6.37285165566,-0.796976989579,outer_underloaded_authority_limited,"legacy station-table loading units were converted to Gamma before fitting; fit uses a sparse station table; treat coefficient magnitudes as diagnostic; AVL actual loading is weaker than commanded loading in the outer span; current MVP evidence cannot separate chord/twist authority, airfoil alpha_L0/camber, loaded-dihedral, and AVL setup without additional case metadata; realized Fourier efficiency is below commanded Fourier efficiency",sparse_station_count_for_four_harmonic_fit; legacy_avl_cl_times_chord_converted_to_gamma_unit_conversion
fourier_avl_calibration_mvp_v1,rank_03_sample_1132,output/birdman_mission_coupled_medium_search_20260503/top_candidate_exports/rank_03_sample_1132/station_table.csv,output/birdman_mission_coupled_medium_search_20260503/mission_coupled_spanload_search_report.json,target_gamma_m2ps,legacy_avl_cl_times_chord_converted_to_gamma,-0.064906,0.02855,1.02343728856e-08,-0.229941008875,0.0625804729289,0.021141526064,-0.165035008875,0.0340304729289,0.0211415158297,0.983560882414,0.846504284296,0.851681,0.178158538957,0.340914971286,0.24068318902,0.167011841124,0.115815770088,6.89360490617,6.15956928588,-0.73403562029,outer_underloaded_authority_limited,"legacy station-table loading units were converted to Gamma before fitting; fit uses a sparse station table; treat coefficient magnitudes as diagnostic; AVL actual loading is weaker than commanded loading in the outer span; current MVP evidence cannot separate chord/twist authority, airfoil alpha_L0/camber, loaded-dihedral, and AVL setup without additional case metadata; realized Fourier efficiency is below commanded Fourier efficiency",sparse_station_count_for_four_harmonic_fit; legacy_avl_cl_times_chord_converted_to_gamma_unit_conversion
fourier_avl_calibration_mvp_v1,rank_04_sample_1980,output/birdman_mission_coupled_medium_search_20260503/top_candidate_exports/rank_04_sample_1980/station_table.csv,output/birdman_mission_coupled_medium_search_20260503/mission_coupled_spanload_search_report.json,target_gamma_m2ps,legacy_avl_cl_times_chord_converted_to_gamma,-0.034188,-0.029035,-1.43700374614e-08,-0.227623208561,0.0201290656707,0.0407009846122,-0.193435208561,0.0491640656707,0.0407009989822,0.992337552308,0.855388921734,0.850951,0.206831900929,0.366894803396,0.306159884345,0.171767809612,0.110749053001,7.0165002494,6.15051039252,-0.865989856879,outer_underloaded_authority_limited,"legacy station-table loading units were converted to Gamma before fitting; fit uses a sparse station table; treat coefficient magnitudes as diagnostic; AVL actual loading is weaker than commanded loading in the outer span; current MVP evidence cannot separate chord/twist authority, airfoil alpha_L0/camber, loaded-dihedral, and AVL setup without additional case metadata; realized Fourier efficiency is below commanded Fourier efficiency",sparse_station_count_for_four_harmonic_fit; legacy_avl_cl_times_chord_converted_to_gamma_unit_conversion
fourier_avl_calibration_mvp_v1,rank_05_sample_1932,output/birdman_mission_coupled_medium_search_20260503/top_candidate_exports/rank_05_sample_1932/station_table.csv,output/birdman_mission_coupled_medium_search_20260503/mission_coupled_spanload_search_report.json,target_gamma_m2ps,legacy_avl_cl_times_chord_converted_to_gamma,-0.04219,-0.007146,-4.34360702477e-08,-0.235021433914,0.043796857192,0.0209343364741,-0.192831433914,0.050942857192,0.0209343799102,0.994435818468,0.848634372449,0.852201,0.209900603949,0.416350902492,0.283287460492,0.171104972699,0.112499778984,6.85143625447,6.00003878483,-0.851397469642,outer_underloaded_authority_limited,"legacy station-table loading units were converted to Gamma before fitting; fit uses a sparse station table; treat coefficient magnitudes as diagnostic; AVL actual loading is weaker than commanded loading in the outer span; current MVP evidence cannot separate chord/twist authority, airfoil alpha_L0/camber, loaded-dihedral, and AVL setup without additional case metadata; realized Fourier efficiency is below commanded Fourier efficiency",sparse_station_count_for_four_harmonic_fit; legacy_avl_cl_times_chord_converted_to_gamma_unit_conversion
fourier_avl_calibration_mvp_v1,rank_06_sample_0696,output/birdman_mission_coupled_medium_search_20260503/top_candidate_exports/rank_06_sample_0696/station_table.csv,output/birdman_mission_coupled_medium_search_20260503/mission_coupled_spanload_search_report.json,target_gamma_m2ps,legacy_avl_cl_times_chord_converted_to_gamma,-0.024697,-0.00521,1.6545476098e-08,-0.206023868088,0.0393987243907,0.0378370998481,-0.181326868088,0.0446087243907,0.0378370833026,0.998038309865,0.873270677282,0.869194,0.194174260867,0.343388319844,0.287922787957,0.176720278582,0.119581080238,7.21015493502,6.38200393681,-0.828150998202,outer_underloaded_authority_limited,"legacy station-table loading units were converted to Gamma before fitting; fit uses a sparse station table; treat coefficient magnitudes as diagnostic; AVL actual loading is weaker than commanded loading in the outer span; current MVP evidence cannot separate chord/twist authority, airfoil alpha_L0/camber, loaded-dihedral, and AVL setup without additional case metadata; realized Fourier efficiency is below commanded Fourier efficiency",sparse_station_count_for_four_harmonic_fit; legacy_avl_cl_times_chord_converted_to_gamma_unit_conversion
fourier_avl_calibration_mvp_v1,rank_07_sample_0640,output/birdman_mission_coupled_medium_search_20260503/top_candidate_exports/rank_07_sample_0640/station_table.csv,output/birdman_mission_coupled_medium_search_20260503/mission_coupled_spanload_search_report.json,target_gamma_m2ps,legacy_avl_cl_times_chord_converted_to_gamma,-0.035505,-0.001843,3.48054177049e-08,-0.233013857512,0.0516061815277,0.0206192912454,-0.197508857512,0.0534491815277,0.02061925644,0.996215577936,0.84804806302,0.851688,0.21631812617,0.433560088332,0.29155525079,0.173632503462,0.113738723603,7.17755031637,6.26597977363,-0.911570542745,outer_underloaded_authority_limited,"legacy station-table loading units were converted to Gamma before fitting; fit uses a sparse station table; treat coefficient magnitudes as diagnostic; AVL actual loading is weaker than commanded loading in the outer span; current MVP evidence cannot separate chord/twist authority, airfoil alpha_L0/camber, loaded-dihedral, and AVL setup without additional case metadata; realized Fourier efficiency is below commanded Fourier efficiency",sparse_station_count_for_four_harmonic_fit; legacy_avl_cl_times_chord_converted_to_gamma_unit_conversion
fourier_avl_calibration_mvp_v1,rank_08_sample_0904,output/birdman_mission_coupled_medium_search_20260503/top_candidate_exports/rank_08_sample_0904/station_table.csv,output/birdman_mission_coupled_medium_search_20260503/mission_coupled_spanload_search_report.json,target_gamma_m2ps,legacy_avl_cl_times_chord_converted_to_gamma,-0.038093,-0.032345,9.79363622355e-09,-0.227101387471,0.0276302987685,0.0335494863898,-0.189008387471,0.0599752987685,0.0335494765962,0.990506760274,0.857323190997,0.852932,0.208151747946,0.39850307072,0.30624648945,0.17027366003,0.112207256188,7.13711997828,6.26298239625,-0.87413758203,outer_underloaded_authority_limited,"legacy station-table loading units were converted to Gamma before fitting; fit uses a sparse station table; treat coefficient magnitudes as diagnostic; AVL actual loading is weaker than commanded loading in the outer span; current MVP evidence cannot separate chord/twist authority, airfoil alpha_L0/camber, loaded-dihedral, and AVL setup without additional case metadata; realized Fourier efficiency is below commanded Fourier efficiency",sparse_station_count_for_four_harmonic_fit; legacy_avl_cl_times_chord_converted_to_gamma_unit_conversion
fourier_avl_calibration_mvp_v1,rank_09_sample_0560,output/birdman_mission_coupled_medium_search_20260503/top_candidate_exports/rank_09_sample_0560/station_table.csv,output/birdman_mission_coupled_medium_search_20260503/mission_coupled_spanload_search_report.json,target_gamma_m2ps,legacy_avl_cl_times_chord_converted_to_gamma,-0.05153,0.003972,-7.55200116764e-09,-0.219207439417,0.0461544083112,0.0352670512894,-0.167677439417,0.0421824083112,0.0352670588414,0.992019297387,0.859465964768,0.857695,0.181324893455,0.325624516617,0.269490629712,0.16912410308,0.116275333736,6.96143994349,6.2087940881,-0.752645855396,outer_underloaded_authority_limited,"legacy station-table loading units were converted to Gamma before fitting; fit uses a sparse station table; treat coefficient magnitudes as diagnostic; AVL actual loading is weaker than commanded loading in the outer span; current MVP evidence cannot separate chord/twist authority, airfoil alpha_L0/camber, loaded-dihedral, and AVL setup without additional case metadata; realized Fourier efficiency is below commanded Fourier efficiency",sparse_station_count_for_four_harmonic_fit; legacy_avl_cl_times_chord_converted_to_gamma_unit_conversion
fourier_avl_calibration_mvp_v1,rank_10_sample_1383,output/birdman_mission_coupled_medium_search_20260503/top_candidate_exports/rank_10_sample_1383/station_table.csv,output/birdman_mission_coupled_medium_search_20260503/mission_coupled_spanload_search_report.json,target_gamma_m2ps,legacy_avl_cl_times_chord_converted_to_gamma,-0.031243,-0.031997,-1.6544513071e-08,-0.21820138148,0.0105835449185,0.0346101652954,-0.18695838148,0.0425805449185,0.0346101818399,0.992016828702,0.868220886407,0.859105,0.201101757629,0.365833333345,0.287137431973,0.172437954241,0.113381097259,7.18127572969,6.33566699844,-0.845608731254,outer_underloaded_authority_limited,"legacy station-table loading units were converted to Gamma before fitting; fit uses a sparse station table; treat coefficient magnitudes as diagnostic; AVL actual loading is weaker than commanded loading in the outer span; current MVP evidence cannot separate chord/twist authority, airfoil alpha_L0/camber, loaded-dihedral, and AVL setup without additional case metadata; realized Fourier efficiency is below commanded Fourier efficiency",sparse_station_count_for_four_harmonic_fit; legacy_avl_cl_times_chord_converted_to_gamma_unit_conversion
