Node,Y_Position_m,Main_X_m,Main_Z_m,Main_Outer_Radius_m,Main_Wall_Thickness_m,Rear_X_m,Rear_Z_m,Rear_Outer_Radius_m,Rear_Wall_Thickness_m,Lift_Per_Span_N_m,Torque_Per_Span_Nm_m,Main_FZ_N,Rear_FZ_N,Is_Joint,Is_Wire_Attach
1,-1.38047947191e-24,0.314193274,0.0714391296181,3.49239000e-02,8.00000000e-04,0.8797411672,0.0651858601168,1.00000000e-02,8.00000000e-04,0.00000000e+00,0.00000000e+00,-7.92229624e-01,-2.20293895e-01,0,0
2,0.290949810804,0.311961506507,0.0780431052257,3.49239000e-02,8.00000000e-04,0.873324596156,0.0663188482265,1.00000000e-02,8.00000000e-04,0.00000000e+00,0.00000000e+00,-1.58445925e+00,-4.40587789e-01,0,0
3,0.58190704444,0.309716750662,0.0844239100199,3.49239000e-02,8.00000000e-04,0.866972400293,0.0589674244403,1.00000000e-02,8.00000000e-04,7.57840027e+01,-4.58800208e+01,2.04650158e+01,-4.40587789e-01,0,0
4,0.872872189046,0.307467498538,0.0905625489311,3.49239000e-02,8.00000000e-04,0.860662105095,0.0485249275832,1.00000000e-02,8.00000000e-04,7.54945252e+01,-4.58643968e+01,2.03807919e+01,-4.40587789e-01,0,0
5,1.16384643494,0.30525497462,0.0964178619381,3.49239000e-02,8.00000000e-04,0.854342472656,0.0404071797507,1.00000000e-02,8.00000000e-04,7.52050478e+01,-4.58487728e+01,2.02965679e+01,-4.40587789e-01,0,0
6,1.454832076,0.303206746338,0.101927553694,3.49239000e-02,8.00000000e-04,0.848098886859,0.0400524864533,1.00000000e-02,8.00000000e-04,7.49101923e+01,-4.58312364e+01,2.02107793e+01,-4.40587789e-01,1,0
7,1.74581774182,0.300924729163,0.107154983659,3.49239000e-02,8.00000000e-04,0.842142120157,0.0450142301262,1.00000000e-02,8.00000000e-04,7.46058081e+01,-4.58103116e+01,2.01222182e+01,-4.40587789e-01,0,0
8,2.03680646222,0.298405876318,0.112297458312,3.49239000e-02,8.00000000e-04,0.835837119399,0.0483511008364,1.00000000e-02,8.00000000e-04,7.43014240e+01,-4.57893868e+01,2.00336572e+01,-4.40587789e-01,0,0
9,2.32780149155,0.296107613637,0.117370550777,3.49239000e-02,8.00000000e-04,0.829469173574,0.0491183571723,1.00000000e-02,8.00000000e-04,7.39749421e+01,-4.57550069e+01,1.99386668e+01,-4.40587789e-01,0,0
10,2.61880257644,0.293980407196,0.12236902183,3.49239000e-02,8.00000000e-04,0.823198832567,0.0463940924284,1.00000000e-02,8.00000000e-04,7.35880800e+01,-4.56838618e+01,1.98261086e+01,-4.40587789e-01,0,0
11,2.90983495782,0.291586720418,0.130035090382,3.49239000e-02,8.00000000e-04,0.816696894193,0.0421494925982,1.00000000e-02,8.00000000e-04,7.32012180e+01,-4.56127168e+01,1.97135505e+01,-4.40587789e-01,0,0
12,3.20090053092,0.289147498311,0.139794784521,3.49239000e-02,8.00000000e-04,0.810151631317,0.0367011086367,1.00000000e-02,8.00000000e-04,7.27966709e+01,-4.55408878e+01,1.95958469e+01,-4.40587789e-01,0,0
13,3.49198254964,0.286915106558,0.14940254024,3.49239000e-02,8.00000000e-04,0.803681650946,0.0300556458688,1.00000000e-02,8.00000000e-04,7.23088121e+01,-4.54658367e+01,1.94539036e+01,-4.40587789e-01,0,0
14,3.78308327076,0.28465301983,0.158743921399,3.49239000e-02,8.00000000e-04,0.797147293008,0.0244773682256,1.00000000e-02,8.00000000e-04,7.18209532e+01,-4.53907857e+01,1.93119603e+01,-4.40587789e-01,0,0
15,4.07420778799,0.282387342587,0.1676842687,3.49239000e-02,8.00000000e-04,0.790669434102,0.0222561559367,1.00000000e-02,8.00000000e-04,7.13303550e+01,-4.52937670e+01,1.91692200e+01,-4.40587789e-01,0,0
16,4.36536358951,0.280351713581,0.176068846535,3.49239000e-02,8.00000000e-04,0.784574093205,0.0257075055911,1.00000000e-02,8.00000000e-04,7.08102345e+01,-4.49524699e+01,1.90178901e+01,-4.40587789e-01,1,0
17,4.65653991176,0.278004354213,0.183756907996,3.49239000e-02,8.00000000e-04,0.77816552129,0.0345121641181,1.00000000e-02,8.00000000e-04,7.02920162e+01,-4.46124883e+01,1.88671137e+01,-4.40587789e-01,0,0
18,4.94774993669,0.275300979704,0.190696227242,3.49239000e-02,8.00000000e-04,0.771271504255,0.0452403829952,1.00000000e-02,8.00000000e-04,6.97546664e+01,-4.40841193e+01,1.87107709e+01,-4.40587789e-01,0,0
19,5.23900312925,0.272890811493,0.196770562179,3.49239000e-02,8.00000000e-04,0.764839621228,0.0558102645355,1.00000000e-02,8.00000000e-04,6.91960084e+01,-4.33753070e+01,1.85482285e+01,-4.40587789e-01,0,0
20,5.53030352794,0.270654135569,0.201844151369,3.49239000e-02,8.00000000e-04,0.758352548587,0.0641670850835,1.00000000e-02,8.00000000e-04,6.86087599e+01,-4.25936897e+01,1.83773676e+01,-4.40587789e-01,0,0
21,5.8216559872,0.268483990033,0.205761881208,3.49239000e-02,8.00000000e-04,0.751874269519,0.0682832950736,1.00000000e-02,8.00000000e-04,6.79875400e+01,-4.17263319e+01,1.81966227e+01,-4.40587789e-01,0,0
22,6.1131382207,0.266056741148,0.210330144304,3.49239000e-02,8.00000000e-04,0.745225033753,0.0681601037817,1.00000000e-02,8.00000000e-04,6.73443236e+01,-4.09091839e+01,1.80094778e+01,-4.40587789e-01,0,0
23,6.40484904745,0.263257668138,0.217106276535,3.49239000e-02,8.00000000e-04,0.738276104672,0.0650609517878,1.00000000e-02,8.00000000e-04,6.66674764e+01,-4.01629628e+01,1.78125481e+01,-4.40587789e-01,0,0
24,6.69667259848,0.261016088832,0.222181066986,3.49239000e-02,8.00000000e-04,0.731632234696,0.0575096856117,1.00000000e-02,8.00000000e-04,6.59631581e+01,-3.94038273e+01,1.76076256e+01,-4.40587789e-01,0,0
25,6.98861886244,0.258734256873,0.225270163728,3.49239000e-02,8.00000000e-04,0.724809760427,0.0477482947671,1.00000000e-02,8.00000000e-04,6.52029036e+01,-3.86134236e+01,1.73864283e+01,-4.40587789e-01,0,0
26,7.28070334204,0.256359134942,0.226070817526,3.49239000e-02,8.00000000e-04,0.718067193791,0.0380535173207,1.00000000e-02,8.00000000e-04,6.44368201e+01,-3.78666120e+01,1.71635351e+01,-4.40587789e-01,0,0
