spar,node_index,y_m,ux_m,uy_m,uz_m,theta_x_rad,theta_y_rad,theta_z_rad
main,0,0.000000,1.42051480e-22,1.38047947e-24,3.46133156e-22,7.79861373e-23,1.48221836e-23,1.04812270e-21
main,1,0.290952,-2.48072763e-05,1.76546702e-06,1.73855452e-04,-1.06219616e-03,-2.29450166e-02,-4.38868477e-04
main,2,0.581903,-3.66261997e-05,-3.89189798e-06,7.19758634e-04,-2.19821000e-03,-4.58914371e-02,-8.38820790e-04
main,3,0.872855,-4.39488447e-05,-1.74602325e-05,1.65707701e-03,-3.45019927e-03,-6.75853534e-02,-1.31406028e-03
main,4,1.163806,-8.79996965e-05,-4.01298601e-05,3.02734300e-03,-4.89096123e-03,-8.80260714e-02,-1.94981600e-03
main,5,1.454758,-2.96346183e-04,-7.41946397e-05,4.89322434e-03,-6.59305909e-03,-1.07204442e-01,-3.25390738e-03
main,6,1.745709,-2.70903777e-04,-1.08284194e-04,7.19173398e-03,-7.27556871e-03,-1.32108742e-01,-1.41253305e-03
main,7,2.036661,-8.62570142e-06,-1.45428320e-04,9.72593782e-03,-7.88007511e-03,-1.55700469e-01,-2.62326341e-03
main,8,2.327613,3.30622110e-05,-1.88881382e-04,1.24806351e-02,-8.47778284e-03,-1.78041992e-01,-3.87740945e-03
main,9,2.618564,-9.63061171e-05,-2.38390004e-04,1.54614376e-02,-9.13996797e-03,-1.99144397e-01,-4.70004484e-03
main,10,2.909516,2.68850589e-06,-3.19195112e-04,1.87017061e-02,-9.96111133e-03,-2.19064686e-01,-6.73169718e-03
main,11,3.200467,1.17269033e-04,-4.33191941e-04,2.22627594e-02,-1.10590322e-02,-2.37808429e-01,-8.79621774e-03
main,12,3.491419,2.50192073e-05,-5.63634390e-04,2.62330514e-02,-1.25260695e-02,-2.55361661e-01,-9.47030862e-03
main,13,3.782370,-3.75356449e-05,-7.12779237e-04,3.07274018e-02,-1.44322684e-02,-2.71688616e-01,-9.82503096e-03
main,14,4.073322,-9.64999815e-05,-8.85720192e-04,3.58808536e-02,-1.68470711e-02,-2.86765783e-01,-1.05922418e-02
main,15,4.364274,-3.85512555e-04,-1.08994545e-03,4.18485260e-02,-1.98393971e-02,-3.00571768e-01,-1.24647834e-02
main,16,4.655225,-3.62794767e-04,-1.31469142e-03,4.87715496e-02,-2.30017104e-02,-3.17939262e-01,-9.67903798e-03
main,17,4.946177,1.59381620e-05,-1.57314008e-03,5.67025338e-02,-2.65419724e-02,-3.33935760e-01,-1.12416375e-02
main,18,5.237128,1.01464794e-04,-1.87475636e-03,6.57581043e-02,-3.05261836e-02,-3.48731718e-01,-1.28284669e-02
main,19,5.528080,1.34991380e-05,-2.22357879e-03,7.60744062e-02,-3.50207126e-02,-3.62381159e-01,-1.34857911e-02
main,20,5.819032,-1.40996905e-04,-2.62446177e-03,8.78069368e-02,-4.00918934e-02,-3.74868416e-01,-1.42561251e-02
main,21,6.109983,-7.05951306e-05,-3.15511900e-03,1.01141867e-01,-4.58373509e-02,-3.86230595e-01,-1.70091056e-02
main,22,6.400935,3.11820544e-04,-3.91436949e-03,1.16302683e-01,-5.24138546e-02,-3.96659210e-01,-2.10330698e-02
main,23,6.691886,1.36742515e-04,-4.78634424e-03,1.33534308e-01,-5.99447206e-02,-4.06162086e-01,-2.19063716e-02
main,24,6.982838,1.91713775e-06,-5.78103194e-03,1.53121494e-01,-6.84942690e-02,-4.14651690e-01,-2.17222464e-02
main,25,7.273789,-3.96182670e-05,-6.91393526e-03,1.75367388e-01,-7.81258587e-02,-4.22064988e-01,-2.21237329e-02
main,26,7.564741,-2.59612492e-04,-8.20423509e-03,2.00593307e-01,-8.89016093e-02,-4.28392748e-01,-2.36963676e-02
main,27,7.855693,-2.68143122e-04,-9.63732264e-03,2.29188034e-01,-9.96760610e-02,-4.38828620e-01,-2.13134256e-02
main,28,8.146644,4.42593209e-05,-1.12238292e-02,2.60756892e-01,-1.09218529e-01,-4.48067178e-01,-2.25490832e-02
main,29,8.437596,1.07769349e-04,-1.29503372e-02,2.94947367e-01,-1.17587549e-01,-4.56307051e-01,-2.39701391e-02
main,30,8.728547,-6.41748880e-05,-1.47994508e-02,3.31424336e-01,-1.24842067e-01,-4.63596616e-01,-2.50130764e-02
main,31,9.019499,-3.00660422e-05,-1.69398379e-02,3.69887848e-01,-1.31107749e-01,-4.69920517e-01,-2.78620951e-02
main,32,9.310450,4.62091383e-04,-1.95947347e-02,4.10096650e-01,-1.36648206e-01,-4.75503063e-01,-3.23995518e-02
main,33,9.601402,2.82090484e-04,-2.23614437e-02,4.51848741e-01,-1.41657899e-01,-4.80417377e-01,-3.32304251e-02
main,34,9.892354,1.53048905e-04,-2.52237584e-02,4.94996178e-01,-1.46193744e-01,-4.84522894e-01,-3.26981758e-02
main,35,10.183305,1.97473321e-04,-2.81717987e-02,5.39407078e-01,-1.50311299e-01,-4.87716431e-01,-3.25712701e-02
main,36,10.474257,3.10792027e-04,-3.11987223e-02,5.84965305e-01,-1.54063888e-01,-4.90028627e-01,-3.26370559e-02
main,37,10.765208,2.00796119e-04,-3.43124642e-02,6.31816822e-01,-1.58787310e-01,-4.98463806e-01,-3.37671885e-02
main,38,11.056160,1.06190772e-04,-3.75125422e-02,6.79915857e-01,-1.62537027e-01,-5.05852205e-01,-3.36440793e-02
main,39,11.347111,1.33158673e-04,-4.07794315e-02,7.28986690e-01,-1.65383312e-01,-5.12116706e-01,-3.38984107e-02
main,40,11.638063,1.46747240e-04,-4.40970425e-02,7.78773612e-01,-1.67393843e-01,-5.17289220e-01,-3.45537292e-02
main,41,11.929015,-2.10874578e-05,-4.74508699e-02,8.29040450e-01,-1.68634564e-01,-5.21393204e-01,-3.58174452e-02
main,42,12.219966,4.38467564e-04,-5.12868315e-02,8.79635401e-01,-1.69332744e-01,-5.24635012e-01,-4.03729150e-02
main,43,12.510918,5.51722117e-04,-5.53420795e-02,9.30419020e-01,-1.69786433e-01,-5.27186124e-01,-4.28229575e-02
main,44,12.801869,4.46626992e-04,-5.94111094e-02,9.81319799e-01,-1.70126620e-01,-5.29067548e-01,-4.22794389e-02
main,45,13.092821,7.00063091e-04,-6.34863877e-02,1.03231141e+00,-1.70411512e-01,-5.30164359e-01,-4.06463705e-02
main,46,13.383773,2.02903083e-03,-6.75603813e-02,1.08338373e+00,-1.70692924e-01,-5.30747001e-01,-3.50689969e-02
main,47,13.674724,2.02868398e-03,-7.17354784e-02,1.13477501e+00,-1.72380358e-01,-5.34829281e-01,-5.15033511e-02
main,48,13.965676,4.39017747e-04,-7.59630905e-02,1.18660130e+00,-1.73629565e-01,-5.39614768e-01,-4.67614714e-02
main,49,14.256627,5.74259112e-04,-8.04905984e-02,1.23881876e+00,-1.74523725e-01,-5.43113052e-01,-4.62151165e-02
main,50,14.547579,9.91169924e-04,-8.52145214e-02,1.29130265e+00,-1.75123430e-01,-5.45563584e-01,-4.89958860e-02
main,51,14.838530,9.65077189e-04,-8.99582407e-02,1.34392887e+00,-1.75483183e-01,-5.47483806e-01,-4.97057252e-02
main,52,15.129482,9.15951441e-04,-9.47118412e-02,1.39663442e+00,-1.75659465e-01,-5.48863912e-01,-4.95034993e-02
main,53,15.420434,8.73556259e-04,-9.94707904e-02,1.44937232e+00,-1.75706438e-01,-5.49666882e-01,-4.99082472e-02
main,54,15.711385,1.24998835e-03,-1.04507746e-01,1.50224479e+00,-1.75674342e-01,-5.49944190e-01,-5.23457360e-02
main,55,16.002337,1.26411447e-03,-1.09580992e-01,1.55511553e+00,-1.75608224e-01,-5.50060059e-01,-5.31120724e-02
main,56,16.293288,1.19006486e-03,-1.14656001e-01,1.60796599e+00,-1.75552998e-01,-5.50032185e-01,-5.30170740e-02
main,57,16.584240,1.61215817e-03,-1.19973586e-01,1.66118486e+00,-1.75525473e-01,-5.49920808e-01,-5.41048266e-02
main,58,16.875191,1.76374996e-03,-1.25310714e-01,1.71441845e+00,-1.75515733e-01,-5.49815485e-01,-5.51535631e-02
main,59,17.166143,1.76989455e-03,-1.30653042e-01,1.76765066e+00,-1.75513513e-01,-5.49814449e-01,-5.51635941e-02
rear,0,0.000000,7.77333158e-24,2.01096734e-22,-9.99333338e-21,-7.87949011e-23,-1.07420654e-23,9.38555627e-24
rear,1,0.290952,9.81616906e-05,-2.27524535e-04,6.19931648e-03,-3.84515696e-02,-2.22498267e-02,-5.44782500e-04
rear,2,0.581903,1.31948200e-04,-6.49243413e-04,2.10380003e-02,-5.84140359e-02,-4.40905463e-02,-1.42637854e-03
rear,3,0.872855,1.23834046e-04,-1.14443253e-03,3.91227913e-02,-5.98097521e-02,-6.55393035e-02,-1.79946591e-03
rear,4,1.163806,1.25057131e-04,-1.59111771e-03,5.50379460e-02,-4.25617927e-02,-8.65799855e-02,-2.31165221e-03
rear,5,1.454758,5.02335754e-05,-1.86966555e-03,6.33452374e-02,-6.59305909e-03,-1.07204442e-01,-3.25390738e-03
rear,6,1.745709,-3.11409076e-04,-2.06449436e-03,6.64913618e-02,-1.06474175e-02,-1.26227804e-01,-2.15011313e-03
rear,7,2.036661,-3.24817671e-04,-2.29157034e-03,7.14177077e-02,-1.79871297e-02,-1.45307904e-01,-1.71350129e-03
rear,8,2.327613,-2.75281199e-04,-2.57823885e-03,7.90690951e-02,-2.85340540e-02,-1.64429038e-01,-2.57355036e-03
rear,9,2.618564,-3.23349545e-04,-2.94864740e-03,9.03675094e-02,-4.22090234e-02,-1.83622702e-01,-3.24368120e-03
rear,10,2.909516,-2.46549206e-04,-3.53899911e-03,1.05971977e-01,-5.59509968e-02,-2.03210021e-01,-5.65990299e-03
rear,11,3.200467,-2.10282753e-04,-4.35887504e-03,1.25082867e-01,-6.43723324e-02,-2.23016607e-01,-7.39577346e-03
