Node,Y_Position_m,Main_X_m,Main_Z_m,Main_Outer_Radius_m,Main_Wall_Thickness_m,Rear_X_m,Rear_Z_m,Rear_Outer_Radius_m,Rear_Wall_Thickness_m,Lift_Per_Span_N_m,Torque_Per_Span_Nm_m,Main_FZ_N,Rear_FZ_N,Is_Joint,Is_Wire_Attach
1,0,0.314193274,0.0714391296181,3.49239000e-02,8.00000000e-04,0.8797411672,0.0651858601168,1.00000000e-02,8.00000000e-04,0.00000000e+00,0.00000000e+00,-7.92229624e-01,-2.20293895e-01,0,0
2,0.290951576271,0.311936699231,0.0785903668029,3.49239000e-02,8.00000000e-04,0.873422757847,0.072864364902,1.00000000e-02,8.00000000e-04,0.00000000e+00,0.00000000e+00,-1.58445925e+00,-4.40587789e-01,0,0
3,0.581903152542,0.309680124462,0.0859472726707,3.49239000e-02,8.00000000e-04,0.867104348494,0.0807605329438,1.00000000e-02,8.00000000e-04,7.57840027e+01,-4.58800208e+01,2.04650158e+01,-4.40587789e-01,0,0
4,0.872854728814,0.307423549693,0.0935103725109,3.49239000e-02,8.00000000e-04,0.86078593914,0.0888744750323,1.00000000e-02,8.00000000e-04,7.54945252e+01,-4.58643968e+01,2.03807919e+01,-4.40587789e-01,0,0
5,1.16380630508,0.305166974924,0.101280191613,3.49239000e-02,8.00000000e-04,0.854467529787,0.0972063019661,1.00000000e-02,8.00000000e-04,7.52050478e+01,-4.58487728e+01,2.02965679e+01,-4.40587789e-01,0,0
6,1.45475788136,0.302910400155,0.109257255267,3.49239000e-02,8.00000000e-04,0.848149120434,0.105756124551,1.00000000e-02,8.00000000e-04,7.49101923e+01,-4.58312364e+01,2.02107793e+01,-4.40587789e-01,1,0
7,1.74570945763,0.300653825386,0.117442088762,3.49239000e-02,8.00000000e-04,0.841830711081,0.114524053599,1.00000000e-02,8.00000000e-04,7.46058081e+01,-4.58103116e+01,2.01222182e+01,-4.40587789e-01,0,0
8,2.0366610339,0.298397250617,0.125835217388,3.49239000e-02,8.00000000e-04,0.835512301728,0.12351019993,1.00000000e-02,8.00000000e-04,7.43014240e+01,-4.57893868e+01,2.00336572e+01,-4.40587789e-01,0,0
9,2.32761261017,0.296140675848,0.134437166435,3.49239000e-02,8.00000000e-04,0.829193892375,0.13271467437,1.00000000e-02,8.00000000e-04,7.39749421e+01,-4.57550069e+01,1.99386668e+01,-4.40587789e-01,0,0
10,2.61856418644,0.293884101079,0.143248461191,3.49239000e-02,8.00000000e-04,0.822875483021,0.142137587747,1.00000000e-02,8.00000000e-04,7.35880800e+01,-4.56838618e+01,1.98261086e+01,-4.40587789e-01,0,0
11,2.90951576271,0.291589408924,0.15516477092,3.49239000e-02,8.00000000e-04,0.816450344988,0.154522851554,1.00000000e-02,8.00000000e-04,7.32012180e+01,-4.56127168e+01,1.97135505e+01,-4.40587789e-01,0,0
12,3.20046733898,0.289264767344,0.169681318816,3.49239000e-02,8.00000000e-04,0.809941348565,0.16939488111,1.00000000e-02,8.00000000e-04,7.27966709e+01,-4.55408878e+01,1.95958469e+01,-4.40587789e-01,0,0
13,3.49141891525,0.286940125765,0.184556342993,3.49239000e-02,8.00000000e-04,0.803432352141,0.18462976252,1.00000000e-02,8.00000000e-04,7.23088121e+01,-4.54658367e+01,1.94539036e+01,-4.40587789e-01,0,0
14,3.78237049153,0.284615484185,0.199790384583,3.49239000e-02,8.00000000e-04,0.796923355718,0.200227793719,1.00000000e-02,8.00000000e-04,7.18209532e+01,-4.53907857e+01,1.93119603e+01,-4.40587789e-01,0,0
15,4.0733220678,0.282290842605,0.215383984722,3.49239000e-02,8.00000000e-04,0.790414359295,0.216189272642,1.00000000e-02,8.00000000e-04,7.13303550e+01,-4.52937670e+01,1.91692200e+01,-4.40587789e-01,0,0
16,4.36427364407,0.279966201026,0.231337684544,3.49239000e-02,8.00000000e-04,0.783905362872,0.232514497225,1.00000000e-02,8.00000000e-04,7.08102345e+01,-4.49524699e+01,1.90178901e+01,-4.40587789e-01,1,0
17,4.65522522034,0.277641559446,0.247652025183,3.49239000e-02,8.00000000e-04,0.777396366449,0.249203765401,1.00000000e-02,8.00000000e-04,7.02920162e+01,-4.46124883e+01,1.88671137e+01,-4.40587789e-01,0,0
18,4.94617679661,0.275316917866,0.264327547773,3.49239000e-02,8.00000000e-04,0.770887370026,0.266257375105,1.00000000e-02,8.00000000e-04,6.97546664e+01,-4.40841193e+01,1.87107709e+01,-4.40587789e-01,0,0
19,5.23712837288,0.272992276287,0.281364793449,3.49239000e-02,8.00000000e-04,0.764378373603,0.283675624272,1.00000000e-02,8.00000000e-04,6.91960084e+01,-4.33753070e+01,1.85482285e+01,-4.40587789e-01,0,0
20,5.52807994915,0.270667634707,0.298764303345,3.49239000e-02,8.00000000e-04,0.75786937718,0.301458810836,1.00000000e-02,8.00000000e-04,6.86087599e+01,-4.25936897e+01,1.83773676e+01,-4.40587789e-01,0,0
21,5.81903152542,0.268342993127,0.316526618595,3.49239000e-02,8.00000000e-04,0.751360380756,0.319607232729,1.00000000e-02,8.00000000e-04,6.79875400e+01,-4.17263319e+01,1.81966227e+01,-4.40587789e-01,0,0
22,6.10998310169,0.265986146017,0.336806500512,3.49239000e-02,8.00000000e-04,0.744761208848,0.340084804713,1.00000000e-02,8.00000000e-04,6.73443236e+01,-4.09091839e+01,1.80094778e+01,-4.40587789e-01,0,0
23,6.40093467797,0.263569488682,0.361553611682,3.49239000e-02,8.00000000e-04,0.737994568309,0.364675096295,1.00000000e-02,8.00000000e-04,6.66674764e+01,-4.01629628e+01,1.78125481e+01,-4.40587789e-01,0,0
24,6.69188625424,0.261152831346,0.386817242494,3.49239000e-02,8.00000000e-04,0.73122792777,0.389780217686,1.00000000e-02,8.00000000e-04,6.59631581e+01,-3.94038273e+01,1.76076256e+01,-4.40587789e-01,0,0
25,6.98283783051,0.258736174011,0.4125979555,3.49239000e-02,8.00000000e-04,0.72446128723,0.415400842753,1.00000000e-02,8.00000000e-04,6.52029036e+01,-3.86134236e+01,1.73864283e+01,-4.40587789e-01,0,0
26,7.27378940678,0.256319516675,0.438896313256,3.49239000e-02,8.00000000e-04,0.717694646691,0.441537645355,1.00000000e-02,8.00000000e-04,6.44368201e+01,-3.78666120e+01,1.71635351e+01,-4.40587789e-01,0,0
27,7.56474098305,0.25390285934,0.465712878314,3.49239000e-02,8.00000000e-04,0.710928006152,0.46819129934,1.00000000e-02,8.00000000e-04,6.36511498e+01,-3.72222481e+01,1.69349431e+01,-4.40587789e-01,1,1
28,7.85569255932,0.251486202004,0.49304821323,3.49239000e-02,8.00000000e-04,0.704161365612,0.49536247855,1.00000000e-02,8.00000000e-04,6.28635441e+01,-3.65656270e+01,1.67057880e+01,-4.40587789e-01,0,0
29,8.14664413559,0.249069544669,0.520902880556,3.49239000e-02,8.00000000e-04,0.697394725073,0.52305185682,1.00000000e-02,8.00000000e-04,6.20622831e+01,-3.58577653e+01,1.64726598e+01,-4.40587789e-01,0,0
30,8.43759571186,0.246652887333,0.549277442847,3.49239000e-02,8.00000000e-04,0.690628084534,0.55126010798,1.00000000e-02,8.00000000e-04,6.12480397e+01,-3.51769073e+01,1.62357545e+01,-4.40587789e-01,0,0
31,8.72854728814,0.244236229998,0.578172462656,3.49239000e-02,8.00000000e-04,0.683861443994,0.579987905854,1.00000000e-02,8.00000000e-04,6.03493482e+01,-3.46297504e+01,1.59742788e+01,-4.40587789e-01,0,0
32,9.01949886441,0.241777778329,0.609740645767,3.49239000e-02,8.00000000e-04,0.676977779322,0.6112447522,1.00000000e-02,8.00000000e-04,5.94491612e+01,-3.40716948e+01,1.57123679e+01,-4.40587789e-01,0,0
33,9.31045044068,0.239230514207,0.646501584625,3.49239000e-02,8.00000000e-04,0.669845439781,0.647389051176,1.00000000e-02,8.00000000e-04,5.84919164e+01,-3.34283716e+01,1.54338560e+01,-4.40587789e-01,0,0
34,9.60140201695,0.236683250086,0.68393301743,3.49239000e-02,8.00000000e-04,0.66271310024,0.684203400501,1.00000000e-02,8.00000000e-04,5.75384098e+01,-3.27888470e+01,1.51564318e+01,-4.40587789e-01,0,0
35,9.89235359322,0.234135985964,0.722035537139,3.49239000e-02,8.00000000e-04,0.655580760699,0.721688817139,1.00000000e-02,8.00000000e-04,5.65102644e+01,-3.22142005e+01,1.48572913e+01,-4.40587789e-01,0,0
36,10.1833051695,0.231588721842,0.760809736709,3.49239000e-02,8.00000000e-04,0.648448421157,0.759846318064,1.00000000e-02,8.00000000e-04,5.54902220e+01,-3.16386391e+01,1.45605083e+01,-4.40587789e-01,0,0
37,10.4742567458,0.22904145772,0.800256209096,3.49239000e-02,8.00000000e-04,0.641316081616,0.798676920264,1.00000000e-02,8.00000000e-04,5.44207816e+01,-3.08108839e+01,1.44251291e+01,-1.10319052e+00,1,0
38,10.765208322,0.226494193598,0.840375547257,2.72639000e-02,8.00000000e-04,0.634183742075,0.838181640754,1.00000000e-02,3.80000000e-03,5.33555784e+01,-2.99803722e+01,1.42909827e+01,-1.76579325e+00,0,0
39,11.0561598983,0.223946929477,0.88116834415,2.72639000e-02,8.00000000e-04,0.627051402534,0.87836149658,1.00000000e-02,3.80000000e-03,5.22019472e+01,-2.91101091e+01,1.39553319e+01,-1.76579325e+00,0,0
40,11.3471114746,0.221399665355,0.92263519273,2.72639000e-02,8.00000000e-04,0.619919062993,0.919217504824,1.00000000e-02,3.80000000e-03,5.10432621e+01,-2.82345068e+01,1.36182107e+01,-1.76579325e+00,0,0
41,11.6380630508,0.218852401233,0.964776685954,2.72639000e-02,8.00000000e-04,0.612786723452,0.96075068262,1.00000000e-02,3.80000000e-03,4.96570227e+01,-2.72527139e+01,1.32148821e+01,-1.76579325e+00,0,0
42,11.9290146271,0.216305137111,1.00759341678,2.72639000e-02,8.00000000e-04,0.605654383911,1.00296204715,1.00000000e-02,3.80000000e-03,4.82463774e+01,-2.62630221e+01,1.28044526e+01,-1.76579325e+00,0,0
43,12.2199662034,0.213632208738,1.05560970872,2.72639000e-02,8.00000000e-04,0.598170184466,1.05032725639,1.00000000e-02,3.80000000e-03,4.65703528e+01,-2.52774355e+01,1.23168107e+01,-1.76579325e+00,0,0
44,12.5109177797,0.210905424345,1.10634981922,2.72639000e-02,8.00000000e-04,0.590535188167,1.10040038641,1.00000000e-02,3.80000000e-03,4.48531647e+01,-2.43023445e+01,1.18171921e+01,-1.76579325e+00,0,0
45,12.8018693559,0.208178639953,1.15789481503,2.72639000e-02,8.00000000e-04,0.582900191868,1.15128428052,1.00000000e-02,3.80000000e-03,4.29196594e+01,-2.32588741e+01,1.12546356e+01,-1.76579325e+00,0,0
46,13.0928209322,0.20545185556,1.21024533088,2.72639000e-02,8.00000000e-04,0.575265195569,1.20298008323,1.00000000e-02,3.80000000e-03,4.09447823e+01,-2.22091507e+01,1.06800421e+01,-1.76579325e+00,0,0
47,13.3837725085,0.202725071168,1.26340200152,2.72639000e-02,8.00000000e-04,0.567630199269,1.2554889392,1.00000000e-02,3.80000000e-03,3.89536085e+01,-2.05396541e+01,1.02837115e+01,-1.76579325e+00,1,0
48,13.6747240847,0.199998286775,1.31736546169,1.92889000e-02,8.00000000e-04,0.55999520297,1.3088119932,1.00000000e-02,3.80000000e-03,3.69776916e+01,-1.86773202e+01,9.89181987e+00,-1.76579325e+00,0,0
49,13.965675661,0.197271502382,1.37213634615,1.92889000e-02,8.00000000e-04,0.552360206671,1.36295039019,1.00000000e-02,3.80000000e-03,3.52712295e+01,-1.68089945e+01,9.39532205e+00,-1.76579325e+00,0,0
50,14.2566272373,0.194411486037,1.43056459611,1.92889000e-02,8.00000000e-04,0.544352160902,1.42087866105,1.00000000e-02,3.80000000e-03,3.36842486e+01,-1.49932003e+01,8.93358746e+00,-1.76579325e+00,0,0
51,14.5475788136,0.191469811706,1.49161751131,1.92889000e-02,8.00000000e-04,0.536115472778,1.48151609587,1.00000000e-02,3.80000000e-03,3.23139020e+01,-1.31840144e+01,8.53488293e+00,-1.76579325e+00,0,0
52,14.8385303898,0.188528137376,1.55356576034,1.92889000e-02,8.00000000e-04,0.527878784654,1.5430576104,1.00000000e-02,3.80000000e-03,3.10548534e+01,-1.14450983e+01,8.16856076e+00,-1.76579325e+00,0,0
53,15.1294819661,0.185586463046,1.61641002797,1.92889000e-02,8.00000000e-04,0.51964209653,1.6055042852,1.00000000e-02,3.80000000e-03,2.97842433e+01,-9.61539838e+00,7.79887475e+00,-1.76579325e+00,0,0
54,15.4204335424,0.182644788716,1.68015099897,1.92889000e-02,8.00000000e-04,0.511405408405,1.66885720096,1.00000000e-02,3.80000000e-03,2.84855461e+01,-7.80507669e+00,7.42101677e+00,-1.76579325e+00,0,0
55,15.7113851186,0.179459406066,1.74758475206,1.92889000e-02,8.00000000e-04,0.502486336984,1.73592866365,1.00000000e-02,3.80000000e-03,2.69995535e+01,-5.96549186e+00,6.98866486e+00,-1.76579325e+00,0,0
56,16.0023366949,0.176246944402,1.81628113041,1.92889000e-02,8.00000000e-04,0.493491444327,1.80427646709,1.00000000e-02,3.80000000e-03,2.53428345e+01,-4.17605922e+00,6.50663987e+00,-1.76579325e+00,0,0
57,16.2932882712,0.173034482739,1.88593311631,1.92889000e-02,8.00000000e-04,0.48449655167,1.87359235207,1.00000000e-02,3.80000000e-03,0.00000000e+00,0.00000000e+00,-8.66897781e-01,-1.76579325e+00,0,0
58,16.5842398475,0.169130912352,1.95878552411,1.92889000e-02,8.00000000e-04,0.473566554585,1.94657045409,1.00000000e-02,3.80000000e-03,0.00000000e+00,0.00000000e+00,-8.66897781e-01,-1.76579325e+00,0,0
59,16.8751914237,0.165190967426,2.03275893608,1.92889000e-02,8.00000000e-04,0.462534708792,2.02069904428,1.00000000e-02,3.80000000e-03,0.00000000e+00,0.00000000e+00,-8.66897781e-01,-1.76579325e+00,0,0
60,17.166143,0.1612510225,2.10773733065,1.92889000e-02,8.00000000e-04,0.451502863,2.09583832362,1.00000000e-02,3.80000000e-03,0.00000000e+00,0.00000000e+00,-4.33448890e-01,-8.82896625e-01,0,0
