policy_id,policy_name,actual_envelope_assignment_label,zone_name,airfoil_id,candidate_family,candidate_sources,selected_in_policy_assignment,actual_Re_min,actual_Re_p50,actual_Re_max,actual_Cl_min,actual_Cl_p50,actual_Cl_p90,actual_Cl_max,safe_clmax,actual_Cl_max_margin,Cd_at_actual_work_points,mean_cd_at_actual_work_points,weighted_mean_cd_at_actual_work_points,cd_p90_at_actual_work_points,cm_mean_at_actual_work_points,min_stall_margin_deg_at_actual_work_points,min_clmax_margin_at_actual_work_points,roughness_sensitivity_at_actual_work_points,warning_flags,archive_source_quality,archive_issues,record_blocking_issues_under_actual_regrade,actual_sidecar_query_quality,actual_sidecar_query_fail_reasons,work_points
A,unrestricted_current_sidecar,root:dae11|mid1:dae11|mid2:clarkysm|tip:clarkysm,root,cst_root_nsga2_g02_child_0112_57ba57cc,CST,per_zone_top_k,False,454119.736,489104.795,524089.855,1.2572,1.29191127,1.31968029,1.32662255,1.63080761,0.30418506,0.014336377;0.014458957;0.015163243;0.013678473,0.0144092624,0.0145400109,0.0149519569,-0.0733142504,6.2886113,0.30418506,0.00706705163,,full_polar_candidate_not_mission_grade,discontinuous_cd,discontinuous_cd,actual_sidecar_query_not_mission_grade,cd_discontinuity,p50:Re=489104.795:Cl=1.291911;p90:Re=489104.795:Cl=1.319680;clmax_remin:Re=454119.736:Cl=1.326623;clmin_remax:Re=524089.855:Cl=1.257200
A,unrestricted_current_sidecar,root:dae11|mid1:dae11|mid2:clarkysm|tip:clarkysm,root,cst_root_nsga2_g02_child_0123_4caadfe5,CST,per_zone_top_k;sidecar_zone_topk,False,454119.736,489104.795,524089.855,1.2572,1.29191127,1.31968029,1.32662255,1.6660523,0.339429755,0.011735332;0.011935557;0.012319099;0.011247969,0.0118094895,0.0119151259,0.0122040367,-0.159144962,3.41303072,0.339429755,0.00751511342,,full_polar_mission_grade_candidate,,,actual_sidecar_query_grade,,p50:Re=489104.795:Cl=1.291911;p90:Re=489104.795:Cl=1.319680;clmax_remin:Re=454119.736:Cl=1.326623;clmin_remax:Re=524089.855:Cl=1.257200
A,unrestricted_current_sidecar,root:dae11|mid1:dae11|mid2:clarkysm|tip:clarkysm,root,cst_root_nsga2_g03_child_0051_fbaca644,CST,per_zone_top_k;sidecar_zone_topk,False,454119.736,489104.795,524089.855,1.2572,1.29191127,1.31968029,1.32662255,1.627369,0.300746451,0.01297434;0.01299978;0.013703911;0.012308464,0.012996624,0.0131153557,0.013492672,-0.159703419,3.53182137,0.300746451,0.0124368152,,full_polar_mission_grade_candidate,,,actual_sidecar_query_grade,,p50:Re=489104.795:Cl=1.291911;p90:Re=489104.795:Cl=1.319680;clmax_remin:Re=454119.736:Cl=1.326623;clmin_remax:Re=524089.855:Cl=1.257200
A,unrestricted_current_sidecar,root:dae11|mid1:dae11|mid2:clarkysm|tip:clarkysm,root,cst_root_nsga2_g03_child_0090_3408e0ca,CST,per_zone_top_k,False,454119.736,489104.795,524089.855,1.2572,1.29191127,1.31968029,1.32662255,1.60729077,0.280668226,0.010780265;0.01079702;0.011232832;0.010392469,0.0108006466,0.0108711527,0.0111020884,-0.161355231,2.57536545,0.280668226,0.0129595649,,full_polar_candidate_not_mission_grade,discontinuous_cd,discontinuous_cd,actual_sidecar_query_not_mission_grade,cd_discontinuity,p50:Re=489104.795:Cl=1.291911;p90:Re=489104.795:Cl=1.319680;clmax_remin:Re=454119.736:Cl=1.326623;clmin_remax:Re=524089.855:Cl=1.257200
A,unrestricted_current_sidecar,root:dae11|mid1:dae11|mid2:clarkysm|tip:clarkysm,root,cst_root_nsga2_g05_child_0019_00cc4dca,CST,per_zone_top_k;selected_policy_B;selected_policy_C;selected_policy_D;selected_policy_E;sidecar_zone_topk,False,454119.736,489104.795,524089.855,1.2572,1.29191127,1.31968029,1.32662255,1.63701533,0.310392785,0.011625713;0.011801018;0.012344739;0.010985153,0.0116891557,0.0118179028,0.0121816226,-0.140510781,3.78413007,0.310392785,0.00970517836,,full_polar_mission_grade_candidate,,,actual_sidecar_query_grade,,p50:Re=489104.795:Cl=1.291911;p90:Re=489104.795:Cl=1.319680;clmax_remin:Re=454119.736:Cl=1.326623;clmin_remax:Re=524089.855:Cl=1.257200
A,unrestricted_current_sidecar,root:dae11|mid1:dae11|mid2:clarkysm|tip:clarkysm,root,cst_root_nsga2_g05_child_0047_47fc9c7e,CST,per_zone_top_k;sidecar_zone_topk,False,454119.736,489104.795,524089.855,1.2572,1.29191127,1.31968029,1.32662255,1.59713307,0.270510518,0.011851302;0.012006838;0.012455055;0.011343512,0.0119141769,0.0120191945,0.01232059,-0.149765078,2.43803702,0.270510518,0.00878717738,,full_polar_mission_grade_candidate,,,actual_sidecar_query_grade,,p50:Re=489104.795:Cl=1.291911;p90:Re=489104.795:Cl=1.319680;clmax_remin:Re=454119.736:Cl=1.326623;clmin_remax:Re=524089.855:Cl=1.257200
A,unrestricted_current_sidecar,root:dae11|mid1:dae11|mid2:clarkysm|tip:clarkysm,root,cst_root_nsga2_g07_child_0058_7b5c9763,CST,per_zone_top_k,False,454119.736,489104.795,524089.855,1.2572,1.29191127,1.31968029,1.32662255,1.75900349,0.432380938,0.016510261;0.016745976;0.017467046;0.015559447,0.0165706825,0.0167548307,0.0172507251,-0.100978291,3.81801782,0.432380938,0.00211726405,,full_polar_candidate_not_mission_grade,discontinuous_cd,discontinuous_cd,actual_sidecar_query_not_mission_grade,cd_discontinuity,p50:Re=489104.795:Cl=1.291911;p90:Re=489104.795:Cl=1.319680;clmax_remin:Re=454119.736:Cl=1.326623;clmin_remax:Re=524089.855:Cl=1.257200
A,unrestricted_current_sidecar,root:dae11|mid1:dae11|mid2:clarkysm|tip:clarkysm,root,cst_root_nsga2_g07_child_0109_fab67898,CST,per_zone_top_k,False,454119.736,489104.795,524089.855,1.2572,1.29191127,1.31968029,1.32662255,1.62170218,0.295079636,0.015664803;0.015805327;0.016511246;0.014920071,0.0157253616,0.0158697051,0.0162994704,-0.125654833,2.62087135,0.295079636,0.00306694845,,full_polar_candidate_not_mission_grade,discontinuous_cd,discontinuous_cd,actual_sidecar_query_not_mission_grade,cd_discontinuity,p50:Re=489104.795:Cl=1.291911;p90:Re=489104.795:Cl=1.319680;clmax_remin:Re=454119.736:Cl=1.326623;clmin_remax:Re=524089.855:Cl=1.257200
A,unrestricted_current_sidecar,root:dae11|mid1:dae11|mid2:clarkysm|tip:clarkysm,root,cst_root_nsga2_g07_child_0113_af0c4fa1,CST,per_zone_top_k,False,454119.736,489104.795,524089.855,1.2572,1.29191127,1.31968029,1.32662255,1.63170051,0.305077964,0.014611216;0.014733515;0.015389578;0.013932023,0.0146665831,0.0147979616,0.0151927592,-0.115456454,4.51070639,0.305077964,0.00378977331,,full_polar_candidate_not_mission_grade,discontinuous_cd,discontinuous_cd,actual_sidecar_query_not_mission_grade,cd_discontinuity,p50:Re=489104.795:Cl=1.291911;p90:Re=489104.795:Cl=1.319680;clmax_remin:Re=454119.736:Cl=1.326623;clmin_remax:Re=524089.855:Cl=1.257200
A,unrestricted_current_sidecar,root:dae11|mid1:dae11|mid2:clarkysm|tip:clarkysm,root,cst_root_nsga2_g07_child_0119_2f486470,CST,per_zone_top_k,False,454119.736,489104.795,524089.855,1.2572,1.29191127,1.31968029,1.32662255,1.74408371,0.417461162,0.014483575;0.014729475;0.015281191;0.013757114,0.0145628387,0.0147123965,0.0151156761,-0.0808279341,9.62163561,0.417461162,0.00540659723,,full_polar_candidate_not_mission_grade,discontinuous_cd,discontinuous_cd,actual_sidecar_query_not_mission_grade,cd_discontinuity,p50:Re=489104.795:Cl=1.291911;p90:Re=489104.795:Cl=1.319680;clmax_remin:Re=454119.736:Cl=1.326623;clmin_remax:Re=524089.855:Cl=1.257200
A,unrestricted_current_sidecar,root:dae11|mid1:dae11|mid2:clarkysm|tip:clarkysm,root,dae11,DAE,explicit_seed_dae_scope;per_zone_top_k;selected_policy_A;selected_policy_Probe;sidecar_zone_topk,True,454119.736,489104.795,524089.855,1.2572,1.29191127,1.31968029,1.32662255,1.48567699,0.159054438,0.010317148;0.010363511;0.01088608;0.0098041756,0.0103427288,0.0104369385,0.0107293093,-0.134763925,1.60503628,0.159054438,0.0180205128,,full_polar_candidate_not_mission_grade,insufficient_safe_clmax_margin,,actual_sidecar_query_grade,,p50:Re=489104.795:Cl=1.291911;p90:Re=489104.795:Cl=1.319680;clmax_remin:Re=454119.736:Cl=1.326623;clmin_remax:Re=524089.855:Cl=1.257200
A,unrestricted_current_sidecar,root:dae11|mid1:dae11|mid2:clarkysm|tip:clarkysm,root,fx76mp140,seed_fx76mp140,explicit_seed_dae_scope;per_zone_top_k,False,454119.736,489104.795,524089.855,1.2572,1.29191127,1.31968029,1.32662255,1.48547043,0.158847883,0.0096968072;0.0097829392;0.010239133;0.0092110358,0.00973247879,0.0098257072,0.0101022749,-0.188983188,2.06900432,0.158847883,0.028375096,,full_polar_candidate_not_mission_grade,insufficient_safe_clmax_margin,,actual_sidecar_query_grade,,p50:Re=489104.795:Cl=1.291911;p90:Re=489104.795:Cl=1.319680;clmax_remin:Re=454119.736:Cl=1.326623;clmin_remax:Re=524089.855:Cl=1.257200
A,unrestricted_current_sidecar,root:dae11|mid1:dae11|mid2:clarkysm|tip:clarkysm,mid1,cst_mid1_nsga2_g05_child_0009_4c3b4b92,CST,per_zone_top_k;sidecar_zone_topk,False,388946.683,397718.192,406489.702,1.273835,1.30894379,1.33703082,1.34405258,1.63601771,0.291965138,0.012673186;0.012581019;0.012709514;0.01245072,0.0126036099,0.0126252171,0.0126986159,-0.116040927,2.5113403,0.291965138,0.00862427033,,full_polar_mission_grade_candidate,,,actual_sidecar_query_grade,,p50:Re=397718.192:Cl=1.308944;p90:Re=397718.192:Cl=1.337031;clmax_remin:Re=388946.683:Cl=1.344053;clmin_remax:Re=406489.702:Cl=1.273835
A,unrestricted_current_sidecar,root:dae11|mid1:dae11|mid2:clarkysm|tip:clarkysm,mid1,cst_mid1_nsga2_g05_child_0101_51eabddf,CST,per_zone_top_k;sidecar_zone_topk,False,388946.683,397718.192,406489.702,1.273835,1.30894379,1.33703082,1.34405258,1.65567842,0.311625839,0.012355856;0.012454877;0.012659164;0.012113619,0.012395879,0.0124488999,0.0125978776,-0.167851505,2.66688713,0.311625839,0.00784985814,,full_polar_mission_grade_candidate,,,actual_sidecar_query_grade,,p50:Re=397718.192:Cl=1.308944;p90:Re=397718.192:Cl=1.337031;clmax_remin:Re=388946.683:Cl=1.344053;clmin_remax:Re=406489.702:Cl=1.273835
A,unrestricted_current_sidecar,root:dae11|mid1:dae11|mid2:clarkysm|tip:clarkysm,mid1,cst_mid1_nsga2_g05_child_0114_b5496e0b,CST,per_zone_top_k;sidecar_zone_topk,False,388946.683,397718.192,406489.702,1.273835,1.30894379,1.33703082,1.34405258,1.72734953,0.383296953,0.012051589;0.012296962;0.012490409;0.011698386,0.0121343367,0.0122207366,0.0124323753,-0.144525479,3.37958771,0.383296953,0.00780224679,,full_polar_mission_grade_candidate,,,actual_sidecar_query_grade,,p50:Re=397718.192:Cl=1.308944;p90:Re=397718.192:Cl=1.337031;clmax_remin:Re=388946.683:Cl=1.344053;clmin_remax:Re=406489.702:Cl=1.273835
