zone_name,airfoil_id,candidate_family,archive_source_quality,archive_issues,actual_grade_pass_count,actual_grade_eval_count,actual_grade_all_policies_pass,min_actual_Cl_max_margin,best_weighted_mean_cd_at_actual_work_points,worst_weighted_mean_cd_at_actual_work_points,actual_fail_reasons_union,evaluated_policy_ids
mid1,cst_mid1_nsga2_g05_child_0009_4c3b4b92,CST,full_polar_mission_grade_candidate,,5,5,True,0.259736948,0.0126252171,0.012705718,,A;B;C;D;E
mid1,cst_mid1_nsga2_g05_child_0101_51eabddf,CST,full_polar_mission_grade_candidate,,5,5,True,0.279397649,0.0124488999,0.0125705993,,A;B;C;D;E
mid1,cst_mid1_nsga2_g05_child_0114_b5496e0b,CST,full_polar_mission_grade_candidate,,5,5,True,0.351068763,0.0122207366,0.0123812698,,A;B;C;D;E
mid1,cst_mid1_nsga2_g06_child_0001_a86879e2,CST,full_polar_mission_grade_candidate,,5,5,True,0.332207448,0.0122533434,0.0123901186,,A;B;C;D;E
mid1,cst_mid1_nsga2_g06_child_0004_623ed74b,CST,full_polar_candidate_not_mission_grade,discontinuous_cd,0,5,False,0.270127416,0.0168749814,0.017048141,cd_discontinuity,A;B;C;D;E
mid1,cst_mid1_nsga2_g06_child_0046_9ca15362,CST,full_polar_candidate_not_mission_grade,discontinuous_cd,0,5,False,0.302647658,0.0179760484,0.0181691758,cd_discontinuity,A;B;C;D;E
mid1,cst_mid1_nsga2_g06_child_0119_66da614c,CST,full_polar_mission_grade_candidate,,5,5,True,0.310595262,0.014574627,0.0148380167,,A;B;C;D;E
mid1,cst_mid1_nsga2_g07_child_0080_a701293f,CST,full_polar_mission_grade_candidate,,5,5,True,0.218620504,0.015006431,0.0151635495,,A;B;C;D;E
mid1,cst_mid1_nsga2_g07_child_0111_0738f459,CST,full_polar_mission_grade_candidate,,5,5,True,0.283036389,0.0123670178,0.0124760197,,A;B;C;D;E
mid1,cst_mid1_nsga2_g07_child_0120_6ba170d3,CST,full_polar_candidate_not_mission_grade,discontinuous_cd,0,5,False,0.280789236,0.0170504457,0.0173980868,cd_discontinuity,A;B;C;D;E
mid2,cst_mid2_nsga2_g03_child_0078_3cbb476b,CST,full_polar_mission_grade_candidate,,5,5,True,0.0968435896,0.0135799698,0.0142316857,,A;B;C;D;E
mid2,cst_mid2_nsga2_g04_child_0012_72b8e600,CST,full_polar_candidate_not_mission_grade,discontinuous_cd,0,5,False,0.115460181,0.0113842216,0.0137117485,cd_discontinuity,A;B;C;D;E
mid2,cst_mid2_nsga2_g04_child_0024_0b55bfc3,CST,full_polar_mission_grade_candidate,,5,5,True,0.110213539,0.0137562422,0.0187104909,,A;B;C;D;E
mid2,cst_mid2_nsga2_g06_child_0034_4f56b056,CST,full_polar_candidate_not_mission_grade,discontinuous_cd,0,5,False,-0.0171256302,0.00955152333,0.019508284,cd_discontinuity;safe_clmax_margin,A;B;C;D;E
mid2,cst_mid2_seedless_sobol_0078_92a83118,CST,full_polar_candidate_not_mission_grade,discontinuous_cd,0,5,False,0.181937601,0.0150983351,0.0194285591,cd_discontinuity,A;B;C;D;E
mid2,cst_mid2_seedless_sobol_0619_a07c5c7e,CST,full_polar_candidate_not_mission_grade,discontinuous_cd,0,5,False,0.160340493,0.0101166645,0.0104962806,cd_discontinuity,A;B;C;D;E
root,cst_root_nsga2_g02_child_0112_57ba57cc,CST,full_polar_candidate_not_mission_grade,discontinuous_cd,0,5,False,0.263758138,0.0145345079,0.0147548172,cd_discontinuity,A;B;C;D;E
root,cst_root_nsga2_g02_child_0123_4caadfe5,CST,full_polar_mission_grade_candidate,,5,5,True,0.299002833,0.0119076919,0.0121117014,,A;B;C;D;E
root,cst_root_nsga2_g03_child_0051_fbaca644,CST,full_polar_mission_grade_candidate,,5,5,True,0.260319529,0.013106819,0.0131160902,,A;B;C;D;E
root,cst_root_nsga2_g03_child_0090_3408e0ca,CST,full_polar_candidate_not_mission_grade,discontinuous_cd,0,5,False,0.240241304,0.0108705077,0.0109051874,cd_discontinuity,A;B;C;D;E
root,cst_root_nsga2_g05_child_0019_00cc4dca,CST,full_polar_mission_grade_candidate,,5,5,True,0.269965864,0.0118111656,0.0121079139,,A;B;C;D;E
root,cst_root_nsga2_g05_child_0047_47fc9c7e,CST,full_polar_mission_grade_candidate,,5,5,True,0.230083597,0.0120133696,0.0121718758,,A;B;C;D;E
root,cst_root_nsga2_g07_child_0058_7b5c9763,CST,full_polar_candidate_not_mission_grade,discontinuous_cd,0,5,False,0.391954016,0.0167407798,0.0170762068,cd_discontinuity,A;B;C;D;E
root,cst_root_nsga2_g07_child_0109_fab67898,CST,full_polar_candidate_not_mission_grade,discontinuous_cd,0,5,False,0.254652714,0.0158622567,0.0161366593,cd_discontinuity,A;B;C;D;E
root,cst_root_nsga2_g07_child_0113_af0c4fa1,CST,full_polar_candidate_not_mission_grade,discontinuous_cd,0,5,False,0.264651042,0.0147911272,0.0150246308,cd_discontinuity,A;B;C;D;E
