policy_id,policy_name,assignment_label,zone_name,archive_cl_min,archive_cl_p50,archive_cl_p90,archive_cl_max,archive_max_avl_actual_cl,archive_max_fourier_target_cl,archive_required_zone_cl,actual_cl_min,actual_cl_p50,actual_cl_p90,actual_cl_max,actual_eta_at_cl_max,fourier_target_cl_max_at_archive_stations,fourier_target_minus_actual_cl_max_delta,delta_cl_min_actual_minus_archive,delta_cl_p50_actual_minus_archive,delta_cl_p90_actual_minus_archive,delta_cl_max_actual_minus_archive,actual_max_inside_archive_max,actual_range_inside_archive_range,actual_station_count,e_CDi,target_vs_avl_rms,target_vs_avl_outer_delta,profile_cd,CD0_total_est,mission_drag_budget_band,source_quality
A,unrestricted_current_sidecar,root:dae11|mid1:dae11|mid2:clarkysm|tip:clarkysm,root,1.497,1.527565,1.552016,1.558129,1.558129,1.361727,1.558129,1.2572,1.29191127,1.31968029,1.32662255,0.160000,1.361727,0.035104451,-0.2398,-0.235653726,-0.232335706,-0.231506451,True,False,2,0.985693064,0.0512991721,0.111664536,0.0109945289,0.0148844085,target,not_mission_grade_sidecar
A,unrestricted_current_sidecar,root:dae11|mid1:dae11|mid2:clarkysm|tip:clarkysm,mid1,1.400623,1.483199,1.54926,1.565775,1.565775,1.420037,1.565775,1.273835,1.30894379,1.33703082,1.34405258,0.350000,1.420037,0.0759844232,-0.126788001,-0.174255212,-0.212229181,-0.221722423,True,False,2,0.985693064,0.0512991721,0.111664536,0.0109945289,0.0148844085,target,not_mission_grade_sidecar
A,unrestricted_current_sidecar,root:dae11|mid1:dae11|mid2:clarkysm|tip:clarkysm,mid2,0.670381,0.670381,0.670381,0.670381,0.670381,1.048531,1.048531,1.02605457,1.02605457,1.02605457,1.02605457,0.700000,1.048531,0.0224764274,0.355673573,0.355673573,0.355673573,0.355673573,False,False,1,0.985693064,0.0512991721,0.111664536,0.0109945289,0.0148844085,target,not_mission_grade_sidecar
A,unrestricted_current_sidecar,root:dae11|mid1:dae11|mid2:clarkysm|tip:clarkysm,tip,0.0586,0.404942,0.467074,0.484833,0.484833,0.796663,0.796663,0.1136,0.808763281,0.877513141,0.894866257,0.820000,0.796663,-0.0982032573,0.055,0.403821281,0.410439141,0.410033257,False,False,4,0.985693064,0.0512991721,0.111664536,0.0109945289,0.0148844085,target,not_mission_grade_sidecar
B,cst_only_sidecar,root:cst_root_nsga2_g05_child_0019_00cc4dca|mid1:cst_mid1_nsga2_g06_child_0001_a86879e2|mid2:cst_mid2_nsga2_g04_child_0024_0b55bfc3|tip:cst_tip_nsga2_g02_child_0085_cb99bc9c,root,1.497,1.527565,1.552016,1.558129,1.558129,1.361727,1.558129,1.2993,1.33317474,1.36027452,1.36704947,0.160000,1.361727,-0.0053224707,-0.1977,-0.194390265,-0.191741476,-0.191079529,True,False,2,0.957613347,0.0653036126,0.121131249,0.012108252,0.0159981316,target,not_mission_grade_sidecar
B,cst_only_sidecar,root:cst_root_nsga2_g05_child_0019_00cc4dca|mid1:cst_mid1_nsga2_g06_child_0001_a86879e2|mid2:cst_mid2_nsga2_g04_child_0024_0b55bfc3|tip:cst_tip_nsga2_g02_child_0085_cb99bc9c,mid1,1.400623,1.483199,1.54926,1.565775,1.565775,1.420037,1.565775,1.27748508,1.32688293,1.3664012,1.37628077,0.350000,1.420037,0.0437562335,-0.123137916,-0.156316075,-0.182858802,-0.189494234,True,False,2,0.957613347,0.0653036126,0.121131249,0.012108252,0.0159981316,target,not_mission_grade_sidecar
B,cst_only_sidecar,root:cst_root_nsga2_g05_child_0019_00cc4dca|mid1:cst_mid1_nsga2_g06_child_0001_a86879e2|mid2:cst_mid2_nsga2_g04_child_0024_0b55bfc3|tip:cst_tip_nsga2_g02_child_0085_cb99bc9c,mid2,0.670381,0.670381,0.670381,0.670381,0.670381,1.048531,1.048531,0.897922741,0.897922741,0.897922741,0.897922741,0.700000,1.048531,0.150608259,0.227541741,0.227541741,0.227541741,0.227541741,False,False,1,0.957613347,0.0653036126,0.121131249,0.012108252,0.0159981316,target,not_mission_grade_sidecar
B,cst_only_sidecar,root:cst_root_nsga2_g05_child_0019_00cc4dca|mid1:cst_mid1_nsga2_g06_child_0001_a86879e2|mid2:cst_mid2_nsga2_g04_child_0024_0b55bfc3|tip:cst_tip_nsga2_g02_child_0085_cb99bc9c,tip,0.0586,0.404942,0.467074,0.484833,0.484833,0.796663,0.796663,0.12,0.823326634,0.874587812,0.885005339,0.820000,0.796663,-0.0883423394,0.0614,0.418384634,0.407513812,0.400172339,False,False,4,0.957613347,0.0653036126,0.121131249,0.012108252,0.0159981316,target,not_mission_grade_sidecar
C,full_polar_mission_grade_only,root:cst_root_nsga2_g05_child_0019_00cc4dca|mid1:cst_mid1_nsga2_g06_child_0001_a86879e2|mid2:clarkysm|tip:clarkysm,root,1.497,1.527565,1.552016,1.558129,1.558129,1.361727,1.558129,1.2825,1.31620138,1.34316249,1.34990277,0.160000,1.361727,0.0118242324,-0.2145,-0.211363616,-0.208853509,-0.208226232,True,False,2,0.985598464,0.0440886932,0.0901669948,0.0113983551,0.0152882346,target,mission_grade_sidecar
C,full_polar_mission_grade_only,root:cst_root_nsga2_g05_child_0019_00cc4dca|mid1:cst_mid1_nsga2_g06_child_0001_a86879e2|mid2:clarkysm|tip:clarkysm,mid1,1.400623,1.483199,1.54926,1.565775,1.565775,1.420037,1.565775,1.28218661,1.32159409,1.35312007,1.36100157,0.350000,1.420037,0.0590354289,-0.118436394,-0.161604912,-0.196139925,-0.204773429,True,False,2,0.985598464,0.0440886932,0.0901669948,0.0113983551,0.0152882346,target,mission_grade_sidecar
