airfoil_id,zone,archive_source_quality,actual_sidecar_query_quality,actual_sidecar_query_fail_reasons,mean_cd,cd_p90,archive_mean_cd,archive_cd_p90,safe_clmax,stall_margin_cl,roughness_sensitivity,alpha_L0,cl_alpha,trigger_Re,trigger_roughness,trigger_alpha_before,trigger_alpha_after,trigger_alpha_gap,trigger_cl_before,trigger_cl_after,trigger_cd_before,trigger_cd_after,trigger_cd_jump,trigger_branch_before,trigger_branch_after,trigger_region,jump_count,jump_roughness_modes,design_cl_min,design_cl_max,discontinuity_near_design_cl,design_proximity,main_design_branch_risk,cause_category,geometry_pathology_flags,actual_cd_rank_in_zone,actual_cd_rank_count_in_zone,would_otherwise_be_competitive,repair_worthy,repair_priority_score
cst_mid1_nsga2_g06_child_0004_623ed74b,mid1,full_polar_candidate_not_mission_grade,actual_sidecar_query_not_mission_grade:5,cd_discontinuity,0.0168749814,0.017089893,0.0395041801,0.10815597,1.64640818,0.270127416,0.00273642003,-3.84073795,6.3022776,200000,clean,15,16,1,1.67816209,1.0795644,0.0589891439,0.184684621,0.125695477,poststall,poststall,"Re=200000, clean, alpha 15.00->16.00, Cl 1.678->1.080, Cd 0.0590->0.1847",3,clean,1.273835,1.37628077,True,near_design_cl_but_not_clear_main_branch,medium_near_cl_but_not_clear_main_branch,likely_sparse_alpha_grid_or_branch_issue_near_design_cl,,8,10,False,False,
cst_mid1_nsga2_g06_child_0046_9ca15362,mid1,full_polar_candidate_not_mission_grade,actual_sidecar_query_not_mission_grade:5,cd_discontinuity,0.0179760484,0.0181988854,0.0318506669,0.0605194076,1.67892842,0.302647658,-0.00875940891,-4.27996185,6.31054893,150000,clean,13,13.5,0.5,1.70786187,1.05493173,0.0468278266,0.163848577,0.117020751,prestall,poststall,"Re=150000, clean, alpha 13.00->13.50, Cl 1.708->1.055, Cd 0.0468->0.1638",7,clean,1.273835,1.37628077,True,near_design_cl_but_not_clear_main_branch,medium_near_cl_but_not_clear_main_branch,likely_XFOIL_branch_post_stall_issue,,10,10,False,False,
cst_mid1_nsga2_g07_child_0120_6ba170d3,mid1,full_polar_candidate_not_mission_grade,actual_sidecar_query_not_mission_grade:5,cd_discontinuity,0.0170504457,0.0172725125,0.0354867555,0.100617097,1.65707,0.280789236,-0.00540634015,-7.03182471,4.03211258,150000,clean,9,12,3,1.34897182,1.00997888,0.0442493018,0.145783668,0.101534366,prestall,poststall,"Re=150000, clean, alpha 9.00->12.00, Cl 1.349->1.010, Cd 0.0442->0.1458",2,clean,1.273835,1.37628077,True,near_design_cl_but_not_clear_main_branch,medium_near_cl_but_not_clear_main_branch,likely_sparse_alpha_grid_or_branch_issue_near_design_cl,,9,10,False,False,
cst_mid2_nsga2_g04_child_0012_72b8e600,mid2,full_polar_candidate_not_mission_grade,actual_sidecar_query_not_mission_grade:5,cd_discontinuity,0.0113842216,0.0113842216,0.0487138947,0.136614139,1.25275937,0.115460181,0.00295840957,-5.73911344,5.11779771,300000,clean,14.5,16.5,2,0.780821815,1.09329144,0.0715591383,0.195877082,0.124317944,poststall,poststall,"Re=300000, clean, alpha 14.50->16.50, Cl 0.781->1.093, Cd 0.0716->0.1959",7,clean,0.897922741,1.13729919,True,near_design_cl_but_not_clear_main_branch,medium_near_cl_but_not_clear_main_branch,likely_sparse_alpha_grid_or_branch_issue_near_design_cl,,3,6,True,True,994.01618
cst_mid2_nsga2_g06_child_0034_4f56b056,mid2,full_polar_candidate_not_mission_grade,actual_sidecar_query_not_mission_grade:5,cd_discontinuity;safe_clmax_margin,0.00955152333,0.00955152333,0.0484922867,0.139816146,1.12017356,-0.0171256302,0.00530567784,-3.60511207,6.24726,320842.657,clean,15.5,16.5,1,0.605632456,0.992643877,0.113790526,0.217236187,0.103445661,poststall,poststall,"Re=320843, clean, alpha 15.50->16.50, Cl 0.606->0.993, Cd 0.1138->0.2172",6,clean,0.897922741,1.13729919,True,near_design_cl_but_not_clear_main_branch,medium_near_cl_but_not_clear_main_branch,likely_sparse_alpha_grid_or_branch_issue_near_design_cl,,1,6,False,False,
cst_mid2_seedless_sobol_0078_92a83118,mid2,full_polar_candidate_not_mission_grade,actual_sidecar_query_not_mission_grade:5,cd_discontinuity,0.0150983351,0.0150983351,0.0327751892,0.0658209128,1.31923679,0.181937601,-0.0190440301,-2.22368538,6.15376653,175000,clean,15,18,3,1.30746953,0.964134026,0.0850823632,0.245126088,0.160043725,poststall,poststall,"Re=175000, clean, alpha 15.00->18.00, Cl 1.307->0.964, Cd 0.0851->0.2451",2,clean;rough,0.897922741,1.13729919,True,near_design_cl_but_not_clear_main_branch,medium_near_cl_but_not_clear_main_branch,likely_sparse_alpha_grid_or_branch_issue_near_design_cl,,6,6,False,False,
cst_mid2_seedless_sobol_0619_a07c5c7e,mid2,full_polar_candidate_not_mission_grade,actual_sidecar_query_not_mission_grade:5,cd_discontinuity,0.0101166645,0.0101166645,0.0488701606,0.136226094,1.29763968,0.160340493,0.000216434237,-7.38170014,4.34559582,400000,clean,14,17.5,3.5,0.835296656,1.10009081,0.0596448525,0.226706155,0.167061303,poststall,poststall,"Re=400000, clean, alpha 14.00->17.50, Cl 0.835->1.100, Cd 0.0596->0.2267",6,clean,0.897922741,1.13729919,True,near_design_cl_but_not_clear_main_branch,medium_near_cl_but_not_clear_main_branch,likely_sparse_alpha_grid_or_branch_issue_near_design_cl,,2,6,True,True,996.591738
cst_root_nsga2_g02_child_0112_57ba57cc,root,full_polar_candidate_not_mission_grade,actual_sidecar_query_not_mission_grade:5,cd_discontinuity,0.0145345079,0.0149435502,0.045881101,0.129820249,1.63080761,0.263758138,0.00275256983,-9.92547396,2.77144178,175000,clean,8,10,2,1.22950119,0.92277222,0.0407251348,0.12512969,0.084404555,prestall,prestall,"Re=175000, clean, alpha 8.00->10.00, Cl 1.230->0.923, Cd 0.0407->0.1251",1,clean,1.2572,1.36704947,True,near_design_cl_but_not_clear_main_branch,medium_near_cl_but_not_clear_main_branch,likely_sparse_alpha_grid_or_branch_issue_near_design_cl,,6,10,False,False,
cst_root_nsga2_g03_child_0090_3408e0ca,root,full_polar_candidate_not_mission_grade,actual_sidecar_query_not_mission_grade:5,cd_discontinuity,0.0108705077,0.011101079,0.0369505684,0.079918764,1.60729077,0.240241304,0.0073835049,-6.51556562,6.24420305,100000,clean,17.5,18,0.5,1.62318461,1.26240398,0.108653663,0.194560553,0.0859068905,poststall,poststall,"Re=100000, clean, alpha 17.50->18.00, Cl 1.623->1.262, Cd 0.1087->0.1946",1,clean,1.2572,1.36704947,True,near_design_cl_but_not_clear_main_branch,medium_near_cl_but_not_clear_main_branch,likely_XFOIL_branch_post_stall_issue,,1,10,True,True,999.315362
cst_root_nsga2_g07_child_0058_7b5c9763,root,full_polar_candidate_not_mission_grade,actual_sidecar_query_not_mission_grade:5,cd_discontinuity,0.0167407798,0.017224937,0.0319970978,0.0537565869,1.75900349,0.391954016,-0.00328878185,-4.01533489,6.48860326,175000,clean,14.5,16.5,2,1.62295615,1.07800596,0.0629757495,0.221727272,0.158751522,poststall,poststall,"Re=175000, clean, alpha 14.50->16.50, Cl 1.623->1.078, Cd 0.0630->0.2217",4,clean,1.2572,1.36704947,True,near_design_cl_but_not_clear_main_branch,medium_near_cl_but_not_clear_main_branch,likely_sparse_alpha_grid_or_branch_issue_near_design_cl,,10,10,False,False,
