airfoil_id,zone,source_category,reference_alias,cst_coefficients_available,cst_upper_coefficients,cst_lower_coefficients,cst_te_thickness,coordinate_path,geometry_hash,generation_index,candidate_role,screening_quality,score,screening_rank_by_score_in_zone,screening_per_zone_top_k_rank,screening_pareto_front,mean_cd,cd_p90,safe_clmax,stall_margin_cl,mean_cm,alpha_L0,cl_alpha,roughness_sensitivity,convergence_pass_rate,archive_source_quality,archive_issues,actual_sidecar_query_quality,actual_sidecar_query_zones,actual_best_weighted_mean_cd_at_work_points,actual_min_clmax_margin,repaired_archive_source_quality,repaired_actual_sidecar_query_quality,repair_worthy_flag,repair_worthy_rank,phase7_1_repair_classification,tier1_minimum_high_value,tier2_recommended_reusable,tier3_exhaustive_current_set,inclusion_reason,notes
cst_root_nsga2_g01_child_0000_b0ab5562,root,cst_screening,,false,,,,/Volumes/Samsung SSD/hpa-mdo/output/airfoil_db/overnight_cst_zone_search/coordinates/cst_root_nsga2_g01_child_0000_b0ab5562.dat,ef4072df05ba5f1f,1,current_cst_record,cst_xfoil_candidate_not_mission_grade,0.31199484871704863,958,,false,0.06791775066937192,0.09420170384724486,1.4062953390624258,-0.15183366093757433,-0.0788863874703517,-66.45590763061585,,0.0,1.0,,,,,,,,,false,,,false,false,true,tier3_exhaustive_current_cst_record,CST coefficients were not exported by the screening artifact; coordinate_path is preserved for full-alpha build.
cst_root_nsga2_g01_child_0001_eb5d025b,root,cst_screening,,false,,,,/Volumes/Samsung SSD/hpa-mdo/output/airfoil_db/overnight_cst_zone_search/coordinates/cst_root_nsga2_g01_child_0001_eb5d025b.dat,43ad608d4fd2187a,1,current_cst_record,cst_xfoil_candidate_not_mission_grade,0.22495008911273168,871,,false,0.0387578350746927,0.058782116831621045,1.408711364304562,-0.1494176356954382,-0.0748634164941845,-47.9154074034134,,0.0,1.0,,,,,,,,,false,,,false,false,true,tier3_exhaustive_current_cst_record,CST coefficients were not exported by the screening artifact; coordinate_path is preserved for full-alpha build.
cst_root_nsga2_g01_child_0002_7c615cd0,root,cst_screening,,false,,,,/Volumes/Samsung SSD/hpa-mdo/output/airfoil_db/overnight_cst_zone_search/coordinates/cst_root_nsga2_g01_child_0002_7c615cd0.dat,4988207b7e12e387,1,current_cst_record,cst_xfoil_candidate_not_mission_grade,0.13679756669182724,645,,false,0.032926616134226,0.05652031234517154,1.5847904603369716,0.026661460336971476,-0.07280935654164201,-19.628195766107286,,0.017166853784794284,1.0,,,,,,,,,false,,,false,false,true,tier3_exhaustive_current_cst_record,CST coefficients were not exported by the screening artifact; coordinate_path is preserved for full-alpha build.
cst_root_nsga2_g01_child_0003_f82180f5,root,cst_screening,,false,,,,/Volumes/Samsung SSD/hpa-mdo/output/airfoil_db/overnight_cst_zone_search/coordinates/cst_root_nsga2_g01_child_0003_f82180f5.dat,0212e3beb82f7041,1,current_cst_record,cst_xfoil_candidate_not_mission_grade,0.22903711564221307,879,,false,0.07404928503623842,0.087570917864116,1.3934922622939794,-0.16463673770602072,-0.06988453829907888,-38.1810723774342,,0.0,1.0,,,,,,,,,false,,,false,false,true,tier3_exhaustive_current_cst_record,CST coefficients were not exported by the screening artifact; coordinate_path is preserved for full-alpha build.
cst_root_nsga2_g01_child_0004_8a1dde73,root,cst_screening,,false,,,,/Volumes/Samsung SSD/hpa-mdo/output/airfoil_db/overnight_cst_zone_search/coordinates/cst_root_nsga2_g01_child_0004_8a1dde73.dat,73ad87fd309781c2,1,current_cst_record,cst_xfoil_candidate_not_mission_grade,0.19017286750618584,819,,false,0.06649035520908114,0.08549643498098083,1.4413982115922006,-0.11673078840779949,-0.08298231793669898,-27.399291567054544,,0.0,1.0,,,,,,,,,false,,,false,false,true,tier3_exhaustive_current_cst_record,CST coefficients were not exported by the screening artifact; coordinate_path is preserved for full-alpha build.
cst_root_nsga2_g01_child_0005_a018f45b,root,cst_screening,,false,,,,/Volumes/Samsung SSD/hpa-mdo/output/airfoil_db/overnight_cst_zone_search/coordinates/cst_root_nsga2_g01_child_0005_a018f45b.dat,0a5c001c87086e9c,1,current_cst_record,cst_xfoil_candidate_not_mission_grade,0.3304682020957645,969,,false,0.08696445036633271,0.11258830623181337,1.4097543294616848,-0.14837467053831532,-0.10191978018550181,-66.28062526989866,,0.00045805709975317577,1.0,,,,,,,,,false,,,false,false,true,tier3_exhaustive_current_cst_record,CST coefficients were not exported by the screening artifact; coordinate_path is preserved for full-alpha build.
cst_root_nsga2_g01_child_0006_be0a8d65,root,cst_screening,,false,,,,/Volumes/Samsung SSD/hpa-mdo/output/airfoil_db/overnight_cst_zone_search/coordinates/cst_root_nsga2_g01_child_0006_be0a8d65.dat,fb4f886abbb47690,1,current_cst_record,cst_xfoil_candidate_not_mission_grade,0.171197336388475,771,,false,0.05187038034444342,0.06631098167013298,1.489020667775617,-0.06910833222438306,-0.04977017039545582,-26.863985971059947,,0.0,1.0,,,,,,,,,false,,,false,false,true,tier3_exhaustive_current_cst_record,CST coefficients were not exported by the screening artifact; coordinate_path is preserved for full-alpha build.
cst_root_nsga2_g01_child_0007_e498e998,root,cst_screening,,false,,,,/Volumes/Samsung SSD/hpa-mdo/output/airfoil_db/overnight_cst_zone_search/coordinates/cst_root_nsga2_g01_child_0007_e498e998.dat,79cb985d8f01c763,1,current_cst_record,cst_xfoil_candidate_not_mission_grade,0.12173995454889507,579,,false,0.02715175570655468,0.043432746216128915,1.4570154672721805,-0.10111353272781964,-0.10465980734436552,-16.550376900397527,,0.018353967856696907,1.0,,,,,,,,,false,,,false,false,true,tier3_exhaustive_current_cst_record,CST coefficients were not exported by the screening artifact; coordinate_path is preserved for full-alpha build.
cst_root_nsga2_g01_child_0008_f8014903,root,cst_screening,,false,,,,/Volumes/Samsung SSD/hpa-mdo/output/airfoil_db/overnight_cst_zone_search/coordinates/cst_root_nsga2_g01_child_0008_f8014903.dat,3235192e10ae2229,1,current_cst_record,cst_xfoil_candidate_not_mission_grade,0.32838111028346334,965,,false,0.03026161986667775,0.03535590213861169,1.313480685320058,-0.24464831467994208,-0.041058903528786876,-86.1443653509815,,0.0030563034155705257,1.0,,,,,,,,,false,,,false,false,true,tier3_exhaustive_current_cst_record,CST coefficients were not exported by the screening artifact; coordinate_path is preserved for full-alpha build.
cst_root_nsga2_g01_child_0009_07ed2999,root,cst_screening,,false,,,,/Volumes/Samsung SSD/hpa-mdo/output/airfoil_db/overnight_cst_zone_search/coordinates/cst_root_nsga2_g01_child_0009_07ed2999.dat,355e4e62a86bed5c,1,current_cst_record,cst_xfoil_candidate_not_mission_grade,0.1765908018282898,784,,false,0.050318101639374564,0.06827928638279154,1.469381932244397,-0.08874706775560304,-0.07465805826659645,-28.587798608002547,,0.0,1.0,,,,,,,,,false,,,false,false,true,tier3_exhaustive_current_cst_record,CST coefficients were not exported by the screening artifact; coordinate_path is preserved for full-alpha build.
cst_root_nsga2_g01_child_0010_e9e3c5d9,root,cst_screening,,false,,,,/Volumes/Samsung SSD/hpa-mdo/output/airfoil_db/overnight_cst_zone_search/coordinates/cst_root_nsga2_g01_child_0010_e9e3c5d9.dat,e383306f9d76480d,1,current_cst_record,cst_xfoil_candidate_not_mission_grade,0.3268362163470012,964,,false,0.07622527995438823,0.09270245634356218,1.3094790290573297,-0.24864997094267038,-0.05653188740511532,-69.17724463770601,,0.0,1.0,,,,,,,,,false,,,false,false,true,tier3_exhaustive_current_cst_record,CST coefficients were not exported by the screening artifact; coordinate_path is preserved for full-alpha build.
cst_root_nsga2_g01_child_0011_f7de5e52,root,cst_screening,,false,,,,/Volumes/Samsung SSD/hpa-mdo/output/airfoil_db/overnight_cst_zone_search/coordinates/cst_root_nsga2_g01_child_0011_f7de5e52.dat,4508652cf4778949,1,current_cst_record,cst_xfoil_candidate_not_mission_grade,0.23504678144281693,888,,false,0.05726716366689278,0.0813864160919743,1.3508963519210957,-0.2072326480789044,-0.07105743344069554,-43.73257708599112,,0.0062766024277999405,1.0,,,,,,,,,false,,,false,false,true,tier3_exhaustive_current_cst_record,CST coefficients were not exported by the screening artifact; coordinate_path is preserved for full-alpha build.
cst_root_nsga2_g01_child_0012_55e03a93,root,cst_screening,,false,,,,/Volumes/Samsung SSD/hpa-mdo/output/airfoil_db/overnight_cst_zone_search/coordinates/cst_root_nsga2_g01_child_0012_55e03a93.dat,6464bddf8d1be2d8,1,current_cst_record,cst_xfoil_candidate_not_mission_grade,0.23171732811045143,884,,false,0.062178665573993194,0.08217526811195922,1.4071913883207547,-0.15093761167924535,-0.08144535413321373,-42.344142429928645,,0.0,1.0,,,,,,,,,false,,,false,false,true,tier3_exhaustive_current_cst_record,CST coefficients were not exported by the screening artifact; coordinate_path is preserved for full-alpha build.
cst_root_nsga2_g01_child_0013_d7f71a98,root,cst_screening,,false,,,,/Volumes/Samsung SSD/hpa-mdo/output/airfoil_db/overnight_cst_zone_search/coordinates/cst_root_nsga2_g01_child_0013_d7f71a98.dat,7b7f37c8602d38b2,1,current_cst_record,cst_xfoil_candidate_not_mission_grade,0.15106938307023693,701,,false,0.046186294791693866,0.08252118894305105,1.2761615668360153,-0.28196743316398476,-0.1313882857152742,-12.381845590125769,,0.06637064071047757,1.0,,,,,,,,,false,,,false,false,true,tier3_exhaustive_current_cst_record,CST coefficients were not exported by the screening artifact; coordinate_path is preserved for full-alpha build.
cst_root_nsga2_g01_child_0014_2332d8ae,root,cst_screening,,false,,,,/Volumes/Samsung SSD/hpa-mdo/output/airfoil_db/overnight_cst_zone_search/coordinates/cst_root_nsga2_g01_child_0014_2332d8ae.dat,4d9de7c5eaedc1be,1,current_cst_record,cst_xfoil_candidate_not_mission_grade,0.23701041350205737,894,,false,0.09619498991603344,0.10508911703913867,1.3455728251284746,-0.21255617487152545,-0.10096503051567442,-33.61518847080419,,0.0,1.0,,,,,,,,,false,,,false,false,true,tier3_exhaustive_current_cst_record,CST coefficients were not exported by the screening artifact; coordinate_path is preserved for full-alpha build.
cst_root_nsga2_g01_child_0015_5385c09c,root,cst_screening,,false,,,,/Volumes/Samsung SSD/hpa-mdo/output/airfoil_db/overnight_cst_zone_search/coordinates/cst_root_nsga2_g01_child_0015_5385c09c.dat,63afdbb21bbc8377,1,current_cst_record,cst_xfoil_candidate_not_mission_grade,0.23544271192838595,890,,false,0.08024698097573557,0.10812106438855108,1.4399533921277348,-0.11817560787226533,-0.11207489747465414,-36.382127365228556,,0.0050298324807441785,1.0,,,,,,,,,false,,,false,false,true,tier3_exhaustive_current_cst_record,CST coefficients were not exported by the screening artifact; coordinate_path is preserved for full-alpha build.
cst_root_nsga2_g01_child_0016_27ca72f1,root,cst_screening,,false,,,,/Volumes/Samsung SSD/hpa-mdo/output/airfoil_db/overnight_cst_zone_search/coordinates/cst_root_nsga2_g01_child_0016_27ca72f1.dat,1572f6d7dc7512f3,1,current_cst_record,cst_xfoil_candidate_not_mission_grade,0.2851970851625823,941,,false,0.06893580757018469,0.08607271680799261,1.3353779930953056,-0.22275100690469452,-0.07922067215936826,-57.77767172937159,,0.0,1.0,,,,,,,,,false,,,false,false,true,tier3_exhaustive_current_cst_record,CST coefficients were not exported by the screening artifact; coordinate_path is preserved for full-alpha build.
cst_root_nsga2_g01_child_0017_07d8e009,root,cst_screening,,false,,,,/Volumes/Samsung SSD/hpa-mdo/output/airfoil_db/overnight_cst_zone_search/coordinates/cst_root_nsga2_g01_child_0017_07d8e009.dat,2cf25f0894efd04c,1,current_cst_record,cst_xfoil_candidate_not_mission_grade,0.2078762531980063,849,,false,0.08217419993574338,0.09982002201156756,1.4511828601220487,-0.10694613987795143,-0.10854707309057458,-28.245270099874,,0.0,1.0,,,,,,,,,false,,,false,false,true,tier3_exhaustive_current_cst_record,CST coefficients were not exported by the screening artifact; coordinate_path is preserved for full-alpha build.
cst_root_nsga2_g01_child_0018_c2da20aa,root,cst_screening,,false,,,,/Volumes/Samsung SSD/hpa-mdo/output/airfoil_db/overnight_cst_zone_search/coordinates/cst_root_nsga2_g01_child_0018_c2da20aa.dat,51bb21fa9feee793,1,current_cst_record,cst_xfoil_candidate_not_mission_grade,0.4032223129355317,984,,false,0.04910528407419842,0.08909510020408143,1.4610623102197209,-0.09706668978027921,-0.11893624357825702,-99.40460919519133,,0.02900725749290041,1.0,,,,,,,,,false,,,false,false,true,tier3_exhaustive_current_cst_record,CST coefficients were not exported by the screening artifact; coordinate_path is preserved for full-alpha build.
cst_root_nsga2_g01_child_0019_84c59cf5,root,cst_screening,,false,,,,/Volumes/Samsung SSD/hpa-mdo/output/airfoil_db/overnight_cst_zone_search/coordinates/cst_root_nsga2_g01_child_0019_84c59cf5.dat,d3e65667f86bdd3e,1,current_cst_record,cst_xfoil_candidate_not_mission_grade,0.14378332825336482,679,,false,0.034506386582895184,0.06003806593733988,1.404511451689427,-0.15361754831057306,-0.08465939389181033,-20.006533602039365,,0.018963783042934362,1.0,,,,,,,,,false,,,false,false,true,tier3_exhaustive_current_cst_record,CST coefficients were not exported by the screening artifact; coordinate_path is preserved for full-alpha build.
cst_root_nsga2_g01_child_0020_c076c487,root,cst_screening,,false,,,,/Volumes/Samsung SSD/hpa-mdo/output/airfoil_db/overnight_cst_zone_search/coordinates/cst_root_nsga2_g01_child_0020_c076c487.dat,d523042f09d908da,1,current_cst_record,cst_xfoil_candidate_not_mission_grade,0.12264309944503288,585,,false,0.05654449821490031,0.06058220060365942,1.2374245465190739,-0.32070445348092624,-0.056464558818711735,-8.64417632384536,,0.0,1.0,,,,,,,,,false,,,false,false,true,tier3_exhaustive_current_cst_record,CST coefficients were not exported by the screening artifact; coordinate_path is preserved for full-alpha build.
cst_root_nsga2_g01_child_0021_23777fbc,root,cst_screening,,false,,,,/Volumes/Samsung SSD/hpa-mdo/output/airfoil_db/overnight_cst_zone_search/coordinates/cst_root_nsga2_g01_child_0021_23777fbc.dat,4ea2fc551c7a6ed1,1,current_cst_record,cst_xfoil_candidate_not_mission_grade,0.12713338743358993,604,,false,0.04115989952278859,0.04696657935375853,1.3514330085507342,-0.20669599144926587,-0.07824584703627915,-15.57194922881375,,0.0024876294892704556,1.0,,,,,,,,,false,,,false,false,true,tier3_exhaustive_current_cst_record,CST coefficients were not exported by the screening artifact; coordinate_path is preserved for full-alpha build.
cst_root_nsga2_g01_child_0022_b346738f,root,cst_screening,,false,,,,/Volumes/Samsung SSD/hpa-mdo/output/airfoil_db/overnight_cst_zone_search/coordinates/cst_root_nsga2_g01_child_0022_b346738f.dat,b0da6e6e84947b17,1,current_cst_record,cst_xfoil_candidate_not_mission_grade,0.1733517749183125,776,,false,0.03600878550828252,0.06044272416869384,1.521863747361081,-0.03626525263891911,-0.0736173288502507,-31.874700617668708,,0.0,1.0,,,,,,,,,false,,,false,false,true,tier3_exhaustive_current_cst_record,CST coefficients were not exported by the screening artifact; coordinate_path is preserved for full-alpha build.
cst_root_nsga2_g01_child_0023_facf12ff,root,cst_screening,,false,,,,/Volumes/Samsung SSD/hpa-mdo/output/airfoil_db/overnight_cst_zone_search/coordinates/cst_root_nsga2_g01_child_0023_facf12ff.dat,e2029717345804be,1,current_cst_record,cst_xfoil_candidate_not_mission_grade,0.22267559853935354,867,,false,0.033330912281596056,0.04437865497360368,1.3845501544919516,-0.17357884550804847,-0.07103346448897481,-49.860066206153334,,0.0,1.0,,,,,,,,,false,,,false,false,true,tier3_exhaustive_current_cst_record,CST coefficients were not exported by the screening artifact; coordinate_path is preserved for full-alpha build.
