zone,generation_index,evaluated_candidate_count,best_score,best_score_airfoil_id,median_score,best_mean_cd,best_mean_cd_airfoil_id,best_cd_p90,best_cd_p90_airfoil_id,best_stall_margin_cl,best_stall_margin_airfoil_id,best_roughness_sensitivity,best_roughness_airfoil_id,mission_grade_count,mission_grade_fraction,pareto_front_size,unique_geometry_count,duplicate_rate,top16_id_overlap_with_previous_generation,top16_geometry_overlap_with_previous_generation,best_score_delta_from_previous_generation,best_score_delta_vs_generation0,best_candidate_changed_from_previous_generation,late_generation_window,late_best_candidate_changed,late_best_score_slope_per_generation,late_median_score_slope_per_generation,global_zone_pareto_front_size,zone_classification,nsga_v2_need,immediate_recommendation
root,0,128,0.0409152505,cst_root_seedless_sobol_0404_5d5c31fd,0.176674619,0.0231913114,cst_root_seedless_sobol_0164_6cb797d6,0.0301531582,cst_root_seedless_sobol_0698_89d1ede7,0.0571017959,cst_root_seedless_sobol_0404_5d5c31fd,0,cst_root_seedless_sobol_0623_3fda12ee,2,0.015625,1,128,0,,,,1.95079439e-11,,g5-g7,true,-0.000855704071,-0.0042132436,106,feasibility-saturated but performance still improving,needs NSGA v2 later,build full-alpha database first
root,1,128,0.0466607938,cst_root_nsga2_g01_child_0034_f2e46ead,0.196067465,0.0211755941,cst_root_nsga2_g01_child_0070_0a6493bd,0.0275341072,cst_root_nsga2_g01_child_0070_0a6493bd,0.0582792141,cst_root_nsga2_g01_child_0034_f2e46ead,0,cst_root_nsga2_g01_child_0074_de6d348f,2,0.015625,2,128,0,0,0,0.00574554335,0.00574554332,true,g5-g7,true,-0.000855704071,-0.0042132436,106,feasibility-saturated but performance still improving,needs NSGA v2 later,build full-alpha database first
root,2,128,0.0307261879,cst_root_nsga2_g02_child_0124_2ae90580,0.170468713,0.0218664184,cst_root_nsga2_g02_child_0119_e7707f7e,0.0272021996,cst_root_nsga2_g02_child_0093_c8a6ad34,0.061352884,cst_root_nsga2_g02_child_0097_14711946,0,cst_root_nsga2_g02_child_0091_8b2253d6,9,0.0703125,7,128,0,0,0,-0.015934606,-0.0101890626,true,g5-g7,true,-0.000855704071,-0.0042132436,106,feasibility-saturated but performance still improving,needs NSGA v2 later,build full-alpha database first
root,3,128,0.0307004018,cst_root_nsga2_g03_child_0069_0277894f,0.12421408,0.0212962427,cst_root_nsga2_g03_child_0060_95358e41,0.0271537696,cst_root_nsga2_g03_child_0060_95358e41,0.061877006,cst_root_nsga2_g03_child_0004_80b00acd,0,cst_root_nsga2_g03_child_0085_003d04d5,41,0.3203125,13,128,0,0,0,-2.57860821e-05,-0.0102148487,true,g5-g7,true,-0.000855704071,-0.0042132436,106,feasibility-saturated but performance still improving,needs NSGA v2 later,build full-alpha database first
root,4,128,0.0296430717,cst_root_nsga2_g04_child_0008_d8bd0d80,0.0725173839,0.0214316022,cst_root_nsga2_g04_child_0127_51f7f279,0.0248003974,cst_root_nsga2_g04_child_0127_51f7f279,0.0699718015,cst_root_nsga2_g04_child_0029_460464d2,0,cst_root_nsga2_g04_child_0011_d9fd29c9,81,0.6328125,23,128,0,0,0,-0.00105733008,-0.0112721788,true,g5-g7,true,-0.000855704071,-0.0042132436,106,feasibility-saturated but performance still improving,needs NSGA v2 later,build full-alpha database first
root,5,128,0.0296340685,cst_root_nsga2_g05_child_0042_253b24ef,0.0429116779,0.0218015315,cst_root_nsga2_g05_child_0072_40882261,0.0289810399,cst_root_nsga2_g05_child_0018_b8ebbdaf,0.063490979,cst_root_nsga2_g05_child_0058_b43243ac,0.00100668161,cst_root_nsga2_g05_child_0007_c57249c8,95,0.7421875,33,128,0,0,0,-9.00323142e-06,-0.011281182,true,g5-g7,true,-0.000855704071,-0.0042132436,106,feasibility-saturated but performance still improving,needs NSGA v2 later,build full-alpha database first
root,6,128,0.0281400518,cst_root_nsga2_g06_child_0037_2ed236ac,0.037145728,0.0213611288,cst_root_nsga2_g06_child_0036_a17c32c5,0.0292272408,cst_root_nsga2_g06_child_0033_c45a39d2,0.0680865311,cst_root_nsga2_g06_child_0093_102143e2,0,cst_root_nsga2_g06_child_0054_b0749fb1,115,0.8984375,46,128,0,0,0,-0.00149401669,-0.0127751987,true,g5-g7,true,-0.000855704071,-0.0042132436,106,feasibility-saturated but performance still improving,needs NSGA v2 later,build full-alpha database first
root,7,128,0.0279226603,cst_root_nsga2_g07_child_0117_6874eb7b,0.0344851906,0.0212294298,cst_root_nsga2_g07_child_0113_af0c4fa1,0.0279742949,cst_root_nsga2_g07_child_0058_7b5c9763,0.0645419048,cst_root_nsga2_g07_child_0066_306f22f4,0.00189741296,cst_root_nsga2_g07_child_0077_4c03df9b,116,0.90625,50,128,0,0,0,-0.000217391455,-0.0129925902,true,g5-g7,true,-0.000855704071,-0.0042132436,106,feasibility-saturated but performance still improving,needs NSGA v2 later,build full-alpha database first
mid1,0,128,0.0838254593,cst_mid1_seedless_sobol_0022_74bfd709,0.169790777,0.0211498948,cst_mid1_seedless_sobol_0300_8060966a,0.0249804228,cst_mid1_seedless_sobol_0300_8060966a,0.00692130767,cst_mid1_seedless_sobol_0130_45113a1c,0,cst_mid1_seedless_sobol_0130_45113a1c,0,0,1,128,0,,,,-1.68450809e-11,,g5-g7,true,-0.000143451266,-0.0174805684,43,still improving,needs NSGA v2 later,build full-alpha database first
mid1,1,128,0.0801419997,cst_mid1_nsga2_g01_child_0041_e7f365e2,0.185136596,0.0222139459,cst_mid1_nsga2_g01_child_0080_a8cf1245,0.0295814073,cst_mid1_nsga2_g01_child_0094_63335d28,0.0474811797,cst_mid1_nsga2_g01_child_0041_e7f365e2,0,cst_mid1_nsga2_g01_child_0042_e85dc863,2,0.015625,2,128,0,0,0,-0.00368345965,-0.00368345962,true,g5-g7,true,-0.000143451266,-0.0174805684,43,still improving,needs NSGA v2 later,build full-alpha database first
